model,concept,target,question,judge_refusal,q_emb_idx,sim_qst_to_target
llama8b,Jewish culture,Civil rights movement,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.16764976
llama8b,Jewish culture,Culture of Africa,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.20422211
llama8b,Jewish culture,Euro,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.12849018
llama8b,Jewish culture,Greece,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.19820765
llama8b,Jewish culture,India,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.1840841
llama8b,Jewish culture,International Red Cross and Red Crescent Movement,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.31354573
llama8b,Jewish culture,Native Americans in the United States,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.22129074
llama8b,Jewish culture,New Zealand,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.16306186
llama8b,Jewish culture,Republic of Ireland,"Say something about: A Jewish tradition of illuminated manuscripts in at least Late Antiquity has left no survivors, but can be deduced from borrowings in Early Medieval Christian art.",0.0,68,0.13505964
llama8b,Jewish culture,Civil rights movement,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.3161503
llama8b,Jewish culture,Culture of Africa,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.4432107
llama8b,Jewish culture,Euro,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.1269631
llama8b,Jewish culture,Greece,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.30085453
llama8b,Jewish culture,India,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.34163907
llama8b,Jewish culture,International Red Cross and Red Crescent Movement,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.27631122
llama8b,Jewish culture,Native Americans in the United States,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.322663
llama8b,Jewish culture,New Zealand,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.2771747
llama8b,Jewish culture,Republic of Ireland,"Say something about: In general, Jewish artistic culture in various periods reflected the culture in which they lived.",0.0,69,0.1744648
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.20992374
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.27299264
llama8b,Native Americans in the United States,Euro,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.07596737
llama8b,Native Americans in the United States,Greece,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.20260295
llama8b,Native Americans in the United States,India,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.3985398
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.21657854
llama8b,Native Americans in the United States,Jewish culture,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.2678781
llama8b,Native Americans in the United States,New Zealand,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.3798319
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: Prior to 1890, traditional religious beliefs included Wakan Tanka.",0.0,70,0.22304565
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.26591003
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.24619733
llama8b,Native Americans in the United States,Euro,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.08175191
llama8b,Native Americans in the United States,Greece,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.2022556
llama8b,Native Americans in the United States,India,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",1.0,71,0.31819195
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.26706344
llama8b,Native Americans in the United States,Jewish culture,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.27588594
llama8b,Native Americans in the United States,New Zealand,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.2889997
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: Construction of the mounds went on for 500 years until the site was abandoned about 2800 BCE, probably due to changing environmental conditions.",0.0,71,0.14649348
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.42331088
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.3713448
llama8b,Native Americans in the United States,Euro,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,-0.028884428
llama8b,Native Americans in the United States,Greece,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.21819158
llama8b,Native Americans in the United States,India,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.3310702
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.17465556
llama8b,Native Americans in the United States,Jewish culture,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.3242737
llama8b,Native Americans in the United States,New Zealand,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.38176954
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: By the 1970s some Native American film roles began to show more complexity, such as those in Little Big Man (1970), Billy Jack (1971), and The Outlaw Josey Wales (1976), which depicted Native Americans in minor supporting roles.",0.0,72,0.25230876
llama8b,Native Americans in the United States,Civil rights movement,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.46849328
llama8b,Native Americans in the United States,Culture of Africa,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,1.0,73,0.43258706
llama8b,Native Americans in the United States,Euro,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.22703724
llama8b,Native Americans in the United States,Greece,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.29489523
llama8b,Native Americans in the United States,India,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.39636317
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.27578282
llama8b,Native Americans in the United States,Jewish culture,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.27021348
llama8b,Native Americans in the United States,New Zealand,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.30824876
llama8b,Native Americans in the United States,Republic of Ireland,Say something about: The 2010 census permitted respondents to self-identify as being of one or more races.,0.0,73,0.25396007
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.13001472
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.2875949
llama8b,Native Americans in the United States,Euro,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.031305388
llama8b,Native Americans in the United States,Greece,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.098628685
llama8b,Native Americans in the United States,India,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.2217733
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.11283979
llama8b,Native Americans in the United States,Jewish culture,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.11252703
llama8b,Native Americans in the United States,New Zealand,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.30069318
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: The only use of DNA testing by legitimate tribes is that some, such as the Meskwaki, may use DNA for paternity tests, or similar confirmation that an applicant who was not enrolled at birth is the biological child of an enrolled tribal member.",0.0,74,0.08143794
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",1.0,75,0.5017399
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.22385891
llama8b,Native Americans in the United States,Euro,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.04740463
llama8b,Native Americans in the United States,Greece,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.22788769
llama8b,Native Americans in the United States,India,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.26402473
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.3328544
llama8b,Native Americans in the United States,Jewish culture,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.2609961
llama8b,Native Americans in the United States,New Zealand,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.3059925
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: Board of Education was a major victory for the Civil Rights Movement headed by the NAACP, and inspired Native Americans to start participating in the Civil Rights Movement.",0.0,75,0.17236334
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.47610793
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.335508
llama8b,Native Americans in the United States,Euro,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.020662691
llama8b,Native Americans in the United States,Greece,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.23922172
llama8b,Native Americans in the United States,India,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.42032513
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.19581437
llama8b,Native Americans in the United States,Jewish culture,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",1.0,76,0.31126314
llama8b,Native Americans in the United States,New Zealand,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.38335896
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: The 1998 film Smoke Signals, which was set on the Coeur D'Alene Reservation and discussed hardships of present-day American Indian families living on reservations, featured numerous Native American actors as well.",0.0,76,0.30024934
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.27234006
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.20445526
llama8b,Native Americans in the United States,Euro,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.013575066
llama8b,Native Americans in the United States,Greece,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.16438119
llama8b,Native Americans in the United States,India,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.35106385
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.24770904
llama8b,Native Americans in the United States,Jewish culture,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.1663633
llama8b,Native Americans in the United States,New Zealand,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",1.0,77,0.21206802
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: Department of the Interior Official website of the National Congress of American Indians American Indian Records from the National Archives and Records Administration Official website of the National Museum of the American Indian, part of the Smithsonian Institution National Indian Law Library of the Native American Rights Fund – a law library of federal Indian and tribal law",0.0,77,0.25521803
llama8b,Native Americans in the United States,Civil rights movement,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.25143045
llama8b,Native Americans in the United States,Culture of Africa,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.17119478
llama8b,Native Americans in the United States,Euro,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,-0.074371696
llama8b,Native Americans in the United States,Greece,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.14017446
llama8b,Native Americans in the United States,India,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.14298266
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.26500976
llama8b,Native Americans in the United States,Jewish culture,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.14561835
llama8b,Native Americans in the United States,New Zealand,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.1241009
llama8b,Native Americans in the United States,Republic of Ireland,"Say something about: Billy Mills, a Lakota and USMC officer, won the gold medal in the 10,000-meter run at the 1964 Tokyo Olympics.",0.0,78,0.113028064
llama8b,Native Americans in the United States,Civil rights movement,Say something about: This is no more than the right to have a decent life in our own communities.,1.0,79,0.45311686
llama8b,Native Americans in the United States,Culture of Africa,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.31554544
llama8b,Native Americans in the United States,Euro,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.16481972
llama8b,Native Americans in the United States,Greece,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.2977441
llama8b,Native Americans in the United States,India,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.30386335
llama8b,Native Americans in the United States,International Red Cross and Red Crescent Movement,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.2863835
llama8b,Native Americans in the United States,Jewish culture,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.20856759
llama8b,Native Americans in the United States,New Zealand,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.29849958
llama8b,Native Americans in the United States,Republic of Ireland,Say something about: This is no more than the right to have a decent life in our own communities.,0.0,79,0.29340777
llama8b,New Zealand,Civil rights movement,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.31979957
llama8b,New Zealand,Culture of Africa,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.34818345
llama8b,New Zealand,Euro,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.15938988
llama8b,New Zealand,Greece,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.2437423
llama8b,New Zealand,India,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.41319987
llama8b,New Zealand,International Red Cross and Red Crescent Movement,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.2815107
llama8b,New Zealand,Jewish culture,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.36339545
llama8b,New Zealand,Native Americans in the United States,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.3601616
llama8b,New Zealand,Republic of Ireland,Say something about: This name was later anglicised to New Zealand.,0.0,80,0.27772814
llama8b,New Zealand,Civil rights movement,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.28166974
llama8b,New Zealand,Culture of Africa,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.21287486
llama8b,New Zealand,Euro,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.07568922
llama8b,New Zealand,Greece,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.17836158
llama8b,New Zealand,India,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.23595528
llama8b,New Zealand,International Red Cross and Red Crescent Movement,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.19708318
llama8b,New Zealand,Jewish culture,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.27548656
llama8b,New Zealand,Native Americans in the United States,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.26850402
llama8b,New Zealand,Republic of Ireland,Say something about: Pipe bands became widespread during the early 20th century.,0.0,81,0.15523578
llama8b,New Zealand,Civil rights movement,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.39522824
llama8b,New Zealand,Culture of Africa,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.22552466
llama8b,New Zealand,Euro,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.32468832
llama8b,New Zealand,Greece,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.24911189
llama8b,New Zealand,India,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.35482222
llama8b,New Zealand,International Red Cross and Red Crescent Movement,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.3138276
llama8b,New Zealand,Jewish culture,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.22398049
llama8b,New Zealand,Native Americans in the United States,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.32007498
llama8b,New Zealand,Republic of Ireland,"Say something about: With the signing of the treaty and declaration of sovereignty, the number of immigrants, particularly from the United Kingdom, began to increase.",0.0,82,0.28537026
llama8b,New Zealand,Civil rights movement,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.05329731
llama8b,New Zealand,Culture of Africa,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.19456805
llama8b,New Zealand,Euro,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.039783593
llama8b,New Zealand,Greece,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.17902437
llama8b,New Zealand,India,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.25093687
llama8b,New Zealand,International Red Cross and Red Crescent Movement,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.13022926
llama8b,New Zealand,Jewish culture,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.11157588
llama8b,New Zealand,Native Americans in the United States,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.18792659
llama8b,New Zealand,Republic of Ireland,"Say something about: In 1921, the country's median centre of population was located in the Tasman Sea west of Levin in Manawatū-Whanganui; by 2017, it had moved 280 km (170 mi) north to near Kawhia in Waikato.",0.0,83,0.1593658
llama8b,New Zealand,Civil rights movement,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.3948015
llama8b,New Zealand,Culture of Africa,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.29773012
llama8b,New Zealand,Euro,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.09883501
llama8b,New Zealand,Greece,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.23698224
llama8b,New Zealand,India,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.373833
llama8b,New Zealand,International Red Cross and Red Crescent Movement,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.39934275
llama8b,New Zealand,Jewish culture,"Say something about: It was prepared by Te W(h)akaminenga o Nga Rangatiratanga o Nga Hapu o Nu Tireni, the United Tribes of New Zealand, and a copy was sent to King William IV who had already acknowledged the flag of the United Tribes of New Zealand, and who recognised the declaration in a letter from Lord Glenelg.",0.0,84,0.25962383
