president,cat,q,a,b,c,d,ans
Barack Obama,Family separation and detention policy,Which government office housed unaccompanied migrant children during the Obama era?,DHS,ICE,Office of Refugee Resettlement (ORR),USCIS,c
Joe Biden,Financial situation before politics,"Which private high school did Joe Biden attend on scholarship, reflecting his family's financial situation in youth?",Wilmington High School,Archmere Academy,Scranton High School,Newark High School,b
Joe Biden,Latin America policy,Which region's biodiversity and climate initiatives were a focus of Biden's outreach to Latin America?,The Andes,The Amazon,The Amazon and Andes equally,The Caribbean,b
Barack Obama,Criminal justice reform efforts,Which policy area did Obama advocate to reduce reliance on incarceration for nonviolent offenses?,Alternatives to incarceration and sentencing reform,Mandatory minimum expansion,Increased private prisons,Three strikes,a
Joe Biden,Party affiliation history,The party to which Biden belongs has traditionally supported which wing of U.S. politics?,Republican,Democratic,Independent,Green,b
Barack Obama,Books and memoirs written,The Audacity of Hope foreword was written by which prominent figure?,Ted Kennedy,Bill Clinton,Barack Obama,Michelle Obama,a
Joe Biden,Relations with Iran,"According to Biden, what must Iran do to be considered for reentry to the JCPOA?",Stop all enrichment,End ballistic missile development,Withdraw from the JCPOA,Return to JCPOA compliance and permit IAEA inspections,d
Barack Obama,International reaction to the election,Which Japanese Prime Minister congratulated Obama on his 2008 victory?,Tarō Asō,Yasuo Fukuda,Shinzo Abe,Yoshihiko Noda,a
Barack Obama,Relations with Israel,"In his 2009 Cairo speech, Obama framed the Israeli-Palestinian conflict within which framework?",Unilateral peace,A one-state solution,No solution,A two-state solution,d
Joe Biden,Post-presidency residence and lifestyle,Which university would most likely host Biden for a post-presidency lecture series?,Stanford,Harvard University,University of Delaware,University of Lagos,c
Barack Obama,G7 summit participation,Barack Obama attended a G7 summit in 2010 in which country?,United States,France,United Kingdom,Canada,d
Joe Biden,Secretary of Treasury choices,Which of the following is NOT a typical function of the Treasury under the Secretary's leadership?,Issuing currency,Borrowing money for the government,Collecting taxes,Directing monetary policy,d
Barack Obama,Iraq policy,The 2014 program to train and equip Iraqi security forces was led by which U.S. department/agency?,Embedded Training Mission,Train and Equip Program,Operational Training and Advice,Mentoring and Assist,b
Barack Obama,Books read or recommended as president,Which children's classic did Obama share with his daughters as a favorite?,Harry Potter and the Sorcerer's Stone,Where the Wild Things Are,Charlotte's Web,The Very Hungry Caterpillar,b
Barack Obama,Swing state strategy,Which battleground state saw emphasis on energy policy and clean-energy jobs in 2008/2012 strategy?,Alaska,Ohio,Hawaii,Wyoming,b
Joe Biden,Unemployment rate during presidency,What best describes unemployment rate in early 2024 under Biden?,Around 4%,Above 8%,Below 2%,Around 6%,a
Donald Trump,Inaugural parade details,Was Trump's inaugural parade broadcast on national television?,No,Yes,Only online,Only foreign networks,b
Joe Biden,Press Secretary choices,When did Jen Psaki begin serving as White House Press Secretary?,December 2020,"January 20, 2021",March 2022,January 2020,b
Donald Trump,Relations with North Korea,The Singapore summit produced a joint statement committing to what?,Complete denuclearization of the Korean Peninsula,Immediate sanctions relief,A formal treaty,Military alliance expansion,a
Joe Biden,Chief of Staff choices,"Which Chief of Staff played a key role in coordinating Biden's early legislative push, including the American Rescue Plan?",Susan Rice,Jeff Zients,Steve Ricchetti,Ron Klain,d
Donald Trump,Family holiday traditions,Where has the Trump family commonly spent Christmas vacations in recent years?,"Mar-a-Lago, Florida",White House,Trump Tower,Bedminster,a
Donald Trump,Popular vote total,Which figure best represents Trump's 2016 popular vote total in millions?,63.0,61.0,65.0,60.0,a
Joe Biden,COVID-19 vaccine policy,What is one of the central aims of Biden's vaccine policy as it relates to patients in care facilities?,Provide only testing,Require patients to vaccinate,Ban vaccines in facilities,Protect patients in Medicare/Medicaid-funded facilities by vaccinating staff,d
Joe Biden,Undergraduate college and major,Where did Joe Biden complete his undergraduate education?,University of Pennsylvania,Syracuse University,University of Delaware,Georgetown University,c
Joe Biden,Relations with NATO allies,Which summit hosted in 2022 produced NATO's new Strategic Concept?,Warsaw,Brussels,London,Madrid,d
Donald Trump,COVID-19 initial response,Which controversial comment did Trump make in a White House briefing about potential COVID-19 treatments?,Jump off a cliff to avoid the virus,You can swallow bleach,Disinfectants could be used to treat COVID-19,The virus is a hoax,c
Donald Trump,Nuclear weapons policy,Did the Trump administration adopt a no-first-use policy for nuclear weapons?,Yes,It declared no-first-use for Asia only,It was under consideration,No,d
Joe Biden,Counterterrorism strategy,"In his counterterrorism policy, how does Biden view the role of diplomacy?",Peripheral,Central to building coalitions,Not used,Only used in domestic policy,b
Donald Trump,Victory speech details,Which phrase emphasizing prioritizing American interests did Trump use in the victory speech?,Trade First,Global America,America First,Jobs First,c
Donald Trump,Attorney General selections,Which Attorney General nominee faced a notably narrow Senate confirmation vote in 2017?,Jeff Sessions,William Barr,Merrick Garland,Rod Rosenstein,a
Joe Biden,Relationship with major news networks,Which network is known for the investigative program 'Frontline' that sometimes covers the Biden administration?,PBS,CNN,Fox News,NBC,a
Donald Trump,Oil drilling and pipeline decisions,The Trump administration's offshore drilling plan proposed new leases in which regions?,"Gulf, Atlantic, and Arctic",Gulf and Atlantic,Gulf of Mexico only,Atlantic only,a
Joe Biden,Banking and Wall Street regulation,"Which provision of Dodd-Frank, supported by Biden, restricts banks from engaging in proprietary trading?",Currency hedging,Retail mortgage lending,Proprietary trading,Energy trading,c
Barack Obama,COVID-19 death toll and statistics during tenure,"Relative to later presidencies, the COVID-19 death toll during Obama’s presidency was:",higher,lower,unrecorded,zero,d
Donald Trump,Supreme Court nominations,What was the Senate vote tally to confirm Neil Gorsuch?,52-48,60-40,54-45,51-49,c
Donald Trump,Education policy decisions,"In 2017, the Trump administration withdrew Obama-era guidance affecting public schools on which issue?",transgender students' access to bathrooms and facilities,bilingual education mandates,lunch program nutrition standards,standardized testing policies,a
Donald Trump,Campaign manager and key staff,Which campaign communications adviser and spokesman later served in a White House communications role?,Michael Caputo,Katrina Pierson,Jason Miller,Hope Hicks,a
Joe Biden,Margin of victory,Biden's margin in Michigan in 2020 was approximately:,1.0 percentage point,4.4 percentage points,2.8 percentage points,0.5 percentage points,c
Barack Obama,Job creation record,Which sector was a focus of job creation through ARRA's energy and efficiency provisions in the early 2010s?,Energy and clean energy,Healthcare,Finance,Retail,a
Joe Biden,First actions after inauguration,What federal safety measure did Biden order to implement on federal property?,Mask-wearing,Vaccine requirement,No measures,Closing federal buildings,a
Donald Trump,Electoral college vote count,What was the margin of Trump’s electoral college victory in 2016 (Trump votes minus Clinton votes)?,43,77,56,92,b
Donald Trump,Relations with Israel,Which Palestinian leader publicly rejected the Trump peace plan in 2020?,Mohammed Dahlan,Ismail Haniyeh,Mahmoud Abbas,Hussein Al-Sheikh,c
Donald Trump,Family homes and real estate,Which Atlantic City casino-hotel opened in 1990 and was later renamed Taj Mahal?,Trump Plaza,Trump Ocean Club Panama,Trump Taj Mahal,Seven Springs,c
Barack Obama,Grandparents,Which grandparent has the middle name Armour?,Stanley Dunham,Stanley Armour Dunham,Hussein Armour Obama,Madelyn Armour Dunham,b
Joe Biden,Vice presidential selection process,"After the 2008 election, what role did Biden primarily fill as Vice President?",President of the United States,Attorney General,Speaker of the House,Vice President and leader on foreign policy and Senate relations,d
Donald Trump,Pardons and commutations granted,Which 2020 pardon involved a longtime political adviser who lied to Congress?,Michael Flynn,Paul Manafort,Roger Stone,Steve Bannon,c
Joe Biden,Party affiliation history,"Throughout his political career, Biden's party registration has been listed as which?",Democratic,Republican,Independent,Libertarian,a
Barack Obama,Relations with Russia,U.S. sanctions on Russia in 2014 targeted which sectors and groups?,Only individuals,"Finance, energy, and defense sectors and individuals",Only energy,Only agriculture,b
Barack Obama,Margin of victory,"In the 2008 election, among the listed jurisdictions, which had the largest margin for Obama (excluding DC)?",Hawaii,California,Massachusetts,New York,a
Barack Obama,Border security positions,Which of the following statements about Obama’s border enforcement is most accurate?,He dissolved all border programs,He promoted unrestricted immigration with no enforcement,He opposed any enforcement measures,He promoted enforcement while also supporting a reform package with a path to citizenship,d
Joe Biden,Key states lost,Which Deep South state did Biden lose in 2020?,Vermont,Alabama,Massachusetts,Maine,b
Joe Biden,International reaction to the election,Which Spanish prime minister congratulated Biden and pledged to work to strengthen transatlantic relations?,Pedro Sánchez,Mariano Rajoy,Jose Maria Aznar,Pablo Iglesias,a
Joe Biden,WTO and multilateral trade positions,Which area did Biden emphasize for stronger WTO rules to discipline practices of some large economies?,Digital trade,Pharmaceuticals,Agricultural subsidies,"Non-market economies (e.g., China)",d
Joe Biden,White House entertaining and state dinners,Venue attire at a Biden state dinner is typically?,Beachwear,Casual attire,Formal evening wear,Uniforms,c
Joe Biden,Steel and aluminum tariffs,Which policy relation did Biden emphasize in relation to the tariffs?,Reducing alliances,Maintaining tariffs while seeking reciprocal concessions from allies,Lifting tariffs only for developing countries,Expanding tariffs to all products,b
Donald Trump,National park and monument decisions,In what year did Trump issue proclamations shrinking the Utah monuments?,2017,2016,2018,2019,a
Joe Biden,Use of executive privilege,"In Biden's presidency, which body ultimately determines the validity of an executive privilege claim in a legal dispute?",The President personally,The Senate,The National Archives,The courts,d
Donald Trump,Controversial pardons issued,"In 2018, Trump issued clemency for which person in a case involving campaign finance violations?",Charles Kushner,Conrad Black,Dinesh D'Souza,Alice Johnson,c
Barack Obama,Victory speech details,Which statement describes Obama's 2012 victory speech?,It signaled withdrawal from public life,It repudiated the 2008 message,It announced immediate tax increases,It emphasized hope and continuation of progress,d
Joe Biden,Trans-Pacific Partnership positions,How did Biden describe potential impact of TPP on American workers?,It could benefit workers if protections are strong,It would harm workers,It would have no impact,It would primarily benefit foreign workers,a
Donald Trump,Health insurance coverage changes,What action did the Trump administration take regarding ACA cost-sharing reduction (CSR) payments to insurers?,Increased them,Expanded CSR to all states,Redirected them to subsidies,Stopped making CSR payments,d
Donald Trump,Student loan policy,The 2019 Borrower Defense regulation changes were intended to do what?,Broaden eligibility for relief,Abolish the program,Create automatic forgiveness,Tighten eligibility for relief,d
Barack Obama,Classified document controversies,Where did Snowden first disclose the documents to journalists?,London,New York,Hong Kong,Washington D.C.,c
Barack Obama,Water and air quality regulation,The Obama era finalized an update to the annual standard for fine particulate matter (PM2.5). What was the new PM2.5 annual standard in micrograms per cubic meter (µg/m3)?,10,20,15,12,d
Donald Trump,State of the Union addresses,"In the 2020 State of the Union, Trump highlighted which economic statistic as part of his claim of a strong economy?",Wages falling,Inflation at 7%,GDP decline,Unemployment at about 3.5%,d
Donald Trump,Unemployment rate during presidency,What was the unemployment rate in January 2018?,4.0%,4.1%,4.7%,4.9%,b
Joe Biden,Environmental justice initiatives,"Which executive order issued by President Joe Biden in 2021 established the Justice40 Initiative, directing agencies to deliver 40% of climate and clean energy benefits to disadvantaged communities?",Executive Order 13563,Executive Order 12898,Executive Order 13990,Executive Order 14008,d
Joe Biden,Emergency declarations,"To trigger a federal disaster declaration, who typically must request it?",The President,A state governor,The Mayor of the capital city,The United Nations,b
Donald Trump,Relations with Russia,"Which law, enacted in 2017, authorized broad sanctions on Russia and was invoked during the Trump administration?",Magnitsky Act,CAATSA (Countering America's Adversaries Through Sanctions Act),Patriot Act,FISA Amendments Act,b
Joe Biden,Attorney General selections,In what year did Garland become Attorney General?,2021,2016,2013,2020,a
Joe Biden,Protest responses during presidency,What did Biden publicly urge Congress to do to protect voting rights amid protests and calls for reform?,Abolish elections,Pass federal voting rights legislation,Move elections to the states without federal oversight,Ban protests,b
Joe Biden,Relationship with Senate leaders,"In 2013, which Senate Majority Leader oversaw changes to Senate rules affecting nominations that Biden commented on?",Harry Reid,Mitch McConnell,Chuck Schumer,George Mitchell,a
Joe Biden,Victory speech details,Which election cycle does this victory speech belong to?,2008,2016,2024,2020,d
Barack Obama,College extracurricular activities,"While at Occidental College, Obama participated in which form of campus activity that was common in liberal arts colleges?",The college choir,Drama and theatre productions,Intercollegiate athletics,Fraternity governance,b
Barack Obama,Public health initiatives,"Which 2011 law, signed by Obama, aimed to modernize the U.S. food safety system and prevent foodborne illness?",Nutrition Labeling Act,Food Safety Modernization Act,Food Quality Assurance Act,Safe Food Act,b
Donald Trump,Inflation during presidency,"Among 2017-2020, which year saw inflation exceed 2%?",2017,2018,2019,2020,b
Joe Biden,Electoral college vote count,Which of the following states with 9 electoral votes contributed to Biden's 2020 tally?,Mississippi (6),Missouri (10),Kentucky (8),Colorado (9),d
Barack Obama,Veteran affairs policy,"Which executive order, signed by President Obama in 2009, promoted the employment of veterans in the federal government?",Executive Order on Employment of Veterans in the Federal Government,Executive Order on Veteran Hiring 2009,Executive Order 13500 on VA Hiring,Executive Order 13518 on Veterans in Federal Service,a
Joe Biden,Clean energy and fossil fuel policy,The Inflation Reduction Act offers tax credits for domestic battery manufacturing and critical minerals processing.,Credits for domestic battery manufacturing and critical minerals processing,No credits,Credits only for solar,Credits only for wind,a
Donald Trump,Counterterrorism strategy,Which policy change tied U.S. border security to counterterrorism objectives under Trump?,Open borders,Abolished border checks,Comprehensive border security including a physical wall,Trade-only policy,c
Joe Biden,Wedding details,Where did Biden's first wedding take place?,St. Patrick's Cathedral in NYC,"First Baptist Church in Newark, Delaware","United Presbyterian Church in Scranton, Pennsylvania",St. Joseph's Cathedral in Philadelphia,c
Barack Obama,State of the Union addresses,What did Obama urge Congress to pass in the 2011 State of the Union to boost job creation?,A balanced budget amendment,A tax increase on the wealthy,A defense-spending freeze,A jobs bill,d
Joe Biden,Media feuds,Which platform faced criticism for its moderation decisions around the Hunter Biden laptop story?,TikTok,Twitter,YouTube,Facebook,d
Barack Obama,Nuclear weapons policy,"In the 2010 Nuclear Posture Review, which statement about the U.S. nuclear deterrent was emphasized?",Abolish the triad,Turn to conventional weapons exclusively,Maintain and modernize the nuclear triad,Expand reliance on nuclear weapons,c
Joe Biden,Counterterrorism strategy,Which aspect of the strategy involves strengthening partners and alliances to counterterrorist threats abroad?,Multilateral partnerships,Isolationism,Unilateral action,Economic sanctions only,a
Barack Obama,State of the Union addresses,Which energy strategy did Obama advocate in the 2012 State of the Union to reduce dependence on foreign oil?,Nationalize oil companies,Increase foreign oil imports,Ban all drilling,Invest in domestic energy,d
Barack Obama,High school years,Obama's high school years occurred in which decade?,1960s,1980s,1970s,1990s,c
Joe Biden,International reaction to the election,Which country’s president congratulated Biden and looked forward to closer security cooperation in the Indo-Pacific?,South Korea,Mexico,Spain,Sweden,a
Donald Trump,Electoral college vote count,Which East Coast state that voted for Trump in 2016 contributed 16 electoral votes?,North Carolina,Georgia,Pennsylvania,Florida,b
Joe Biden,First political campaign,In what year did Joe Biden first campaign for public office?,1968,1974,1972,1970,d
Joe Biden,Inauguration speech themes,Biden portrayed America's diversity as what?,A burden,Strength and unity,A problem to fix,Irrelevant,b
Joe Biden,Sanctions imposed on other nations,Which U.S. law provides the legal basis for the President to impose sanctions on foreign countries and actors?,Sherman Act,Patriot Act,Clayton Act,International Emergency Economic Powers Act (IEEPA),d
Donald Trump,Presidential campaign announcement,Which sector did he emphasize reviving to boost U.S. jobs?,Education,Technology,Healthcare,Manufacturing,d
Joe Biden,Personal conduct controversies,"In relation to these controversies, which term describes the claims made by the women?",facts,allegations,proofs,statements,b
Barack Obama,Mental health policy,"Under the Affordable Care Act, expansion of which program significantly increased access to mental health care for low-income adults by expanding eligibility?",Medicare,Premium Tax Credits,Children's Health Insurance Program,Medicaid,d
Donald Trump,Writing career before presidency,Which book was published first between The Art of the Deal and The America We Deserve?,Trump: How to Get Rich,The America We Deserve,The Art of the Deal,Crippled America,c
Joe Biden,International reaction to the election,Which Asian country's prime minister spoke with Biden to congratulate him and discuss the U.S.-Japan alliance?,India,Japan,China,South Korea,b
Donald Trump,Use of executive privilege,"During the Jan 6 investigations, Trump claimed executive privilege to shield which category of records?",Public campaign speeches,Tax records,White House communications and emails,FBI files,c
Joe Biden,General election debate performance,Which healthcare program did Biden defend during the first debate?,Privatized healthcare,Medicare for All,The Affordable Care Act (ACA),No reforms,c
Barack Obama,Daily routine as president,Which room commonly hosted cabinet meetings and formal discussions with aides?,East Room,Roosevelt Room,Cabinet Room,Situation Room,c
Donald Trump,Immigration legislation efforts,Which policy advocated ending family-based immigration and chain migration as part of a broader immigration reform?,Plan to End Chain Migration and Family-Based Immigration,Plan to End DACA,Plan to End TPS,Plan to End H-1B,a
Donald Trump,Signature accomplishment of presidency,Trump appointed three Supreme Court justices. Which choice was NOT a Trump nominee?,Neil Gorsuch,Brett Kavanaugh,Amy Coney Barrett,Elena Kagan,d
Donald Trump,COVID-19 vaccine policy,Which White House entity oversaw vaccine distribution planning during the Trump administration?,Department of Defense only,Office of the Vice President,White House Coronavirus Task Force,Federal Reserve,c
Donald Trump,Legal immigration changes,Which policy restricted entry of foreign nationals from several countries into the United States in 2017?,DACA,2019 public charge rule expansion,Presidential Proclamation 9645 (Travel Ban),Remain in Mexico policy,c
Donald Trump,Criminal justice reform efforts,"In public remarks, Trump framed the First Step Act as a model for which policy area?",Immigration reform,Criminal justice reform,Tax reform,Healthcare,b
Barack Obama,Clean energy and fossil fuel policy,"In 2012, the administration set joint standards for fuel economy and greenhouse gas emissions for which vehicles?",Off-road vehicles,Heavy trucks only,Motorcycles,Cars and light trucks,d
Donald Trump,Margin of victory,What was Trump's margin of victory in Texas in 2016?,about 9.0 percentage points,about 3.0 percentage points,about 12.0 percentage points,about 15.0 percentage points,a
Donald Trump,Economic advisors and council,Which Trump adviser is the author of Death by China and served as a trade policy director?,Gary Cohn,Mick Mulvaney,Larry Kudlow,Peter Navarro,d
Barack Obama,COVID-19 initial response,"In the Obama era, funding for global health security increased to build which capacities in low-resource settings for outbreak detection?","Laboratory capacity, surveillance, and workforce training",Space programs,Entertainment venues,Automobile manufacturing,a
Joe Biden,Department of Justice controversies,"Which action is commonly described as ensuring independence in politically sensitive DOJ investigations, such as those involving Biden family matters?",Directly prosecuting in-house,Appointing a special counsel,Disbanding the case,Prosecutorial decentralization,b
Barack Obama,Books read or recommended as president,Which classic novel did Obama discuss in the context of moral growth and race?,The Great Gatsby,To Kill a Mockingbird,Moby-Dick,Their Eyes Were Watching God,b
Donald Trump,Relations with Israel,Which country was the third to normalize relations with Israel under the Abraham Accords?,Morocco,United Arab Emirates,Sudan,Bahrain,c
Barack Obama,Tax policy changes,The HOPE education tax credit was replaced by which credit?,Lifetime Learning Credit,Child Tax Credit,American Opportunity Tax Credit,Earned Income Credit,c
Joe Biden,Impeachment proceedings,Which arm of government would preside over a presidential impeachment trial if it reached that stage?,a) The Vice President,c) The Speaker,b) The Chief Justice,d) The Attorney General,c
Donald Trump,Relationship with major news networks,Which network did Trump publicly praise for favorable coverage during his presidency?,ABC,CNN,MSNBC,Fox News,d
Barack Obama,Special counsel investigations,Which statement is accurate about the Mueller investigation and Barack Obama?,Obama was charged,Obama was not a target,Obama was a target,The Mueller report exonerated Obama on all charges,b
Joe Biden,Opponent's concession speech,Biden's 1972 victory led to his entering the Senate during which U.S. Congress?,92nd Congress,93rd Congress,94th Congress,95th Congress,b
Donald Trump,Children's careers and public lives,Who is the youngest child in the Trump family?,Eric Trump,Tiffany Trump,Donald Trump Jr.,Barron Trump,d
Joe Biden,Technology and cybersecurity policy,Which is a key pillar of the Biden administration's 2023 National Cybersecurity Strategy?,Ban all encryption,Defend critical infrastructure,Mandatory backdoors for software,Prohibit private-sector security investments,b
Donald Trump,Grassroots organizing history,Name the campaign's digital arm that coordinated online outreach and data-driven targeting in 2016?,The Clinton campaign data unit,The Trump Victory digital team,The DNC data desk,The GOP polling arm,b
Barack Obama,Personal conduct controversies,The Cambridge incident that led to the Beer Summit involved which Harvard professor?,Noam Chomsky,Cornel West,Michael Eric Dyson,Henry Louis Gates Jr.,d
Barack Obama,Birthplace and birth date,Obama’s birthplace is in which ocean?,Atlantic Ocean,Arctic Ocean,Indian Ocean,Pacific Ocean,d
Joe Biden,Key states won,"In the 2020 U.S. presidential election, Joe Biden won which of the following states?",Missouri,Alaska,Minnesota,Oklahoma,c
Barack Obama,Grandparents,What is the shared surname of Barack Obama's maternal grandparents?,Dunham,Obama,Onyango,Payne,a
Joe Biden,Education policy decisions,The American Families Plan proposed universal pre-kindergarten for all 3- and 4-year-olds.,Yes,No,Only for some states,Only for low-income families,a
Barack Obama,Relations with Saudi Arabia,Which region's security concerns did the Obama administration emphasize alongside Saudi security cooperation?,Gulf region,Europe,East Asia,South America,a
Joe Biden,Job creation record,Which agency provides the unemployment rate and payroll employment data used to gauge Biden's job creation record?,Department of Commerce,Bureau of Economic Analysis,Congressional Budget Office,Bureau of Labor Statistics,d
Joe Biden,Federal Reserve relations and appointments,"In 2021, which action did Biden take regarding the Federal Reserve leadership?",Nominated a new chair other than Powell,He dissolved the Fed,He re-nominated Jerome Powell as Fed Chair,He appointed the Fed's first-ever deputy chair,c
Joe Biden,COVID-19 economic relief,"In 2021, the ARP implemented monthly advance payments of the Child Tax Credit beginning in which month?",July 2021,January 2021,October 2021,December 2021,a
Donald Trump,Exercise habits as president,"According to public medical statements, what is true about Trump's exercise?",He doesn't exercise,He exercises daily,He exercises only on vacation,He exercises only at home,b
Barack Obama,Family separation and detention policy,In which state is the Karnes City Family Detention Center located?,Texas,New Mexico,California,Arizona,a
Joe Biden,COVID-19 economic relief,What was the amount of the direct payments to eligible individuals under the American Rescue Plan Act of 2021?,"$1,400",$600,"$2,000","$2,800",a
Joe Biden,Special operations missions,Which codename is associated with the SEALs' bin Laden operation?,Neptune Spear,Eagle Claw,Geronimo,Twilight 2000,c
Joe Biden,Business ventures and investments,"Under the Inflation Reduction Act, which change occurred to electric vehicle tax credits?",They were extended and added domestic content requirements,They were eliminated,They apply to all vehicles regardless of price,They became refundable,a
Joe Biden,EPA regulation changes,What overarching environmental goal has frequently guided the Biden EPA's regulation changes?,Maximize energy production regardless of emissions,Address climate change and environmental justice,Minimize federal environmental oversight in favor of states,Favor corporate deregulation,b
Donald Trump,Special counsel investigations,Can a sitting president be charged with a crime under the DOJ policy referenced in the Mueller investigation?,No,Yes,Only after leaving office,Undetermined,a
Barack Obama,Secretary of State choices,Which Secretary of State attended Yale University for undergraduate studies?,John Kerry,Hillary Rodham Clinton,Susan Rice,Condoleezza Rice,a
Barack Obama,Post-presidency residence and lifestyle,What are the names of the Obama family’s dogs that lived in the White House?,Bucky and Duke,Rex and Socks,Coco and Max,Bo and Sunny,d
Barack Obama,Vice presidential selection process,"According to the 25th Amendment, who must confirm the president's vice presidential nominee?",The U.S. House,The U.S. Senate,The Supreme Court,The people,b
Donald Trump,Secretary of Treasury choices,Mnuchin's confirmation hearing for Treasury Secretary was before which Senate committee?,Senate Commerce Committee,Senate Banking Committee,Senate Budget Committee,Senate Finance Committee,d
Barack Obama,Inflation during presidency,"What was the approximate annual U.S. CPI inflation rate in 2009, the first full year of Barack Obama's presidency?",1.8%,0.0% (roughly flat),-0.4%,3.0%,c
Joe Biden,Campaign finance controversies,What impact did the 2020 Hunter Biden controversy have on the Biden campaign's fundraising narrative?,It forced them to suspend fundraising,"It intensified scrutiny, yet fundraising continued with many donors",It had no impact on fundraising strategy,It caused a large portion of donors to withdraw,b
Barack Obama,Travel restrictions and bans,Which U.S. government body is primarily responsible for enforcing travel restrictions and visa policies?,Department of Homeland Security,Department of State,Department of Defense,Department of Commerce,a
Barack Obama,Early political allies,Which strategist led Obama's campaign communications and later held a White House communications role?,Robert Gibbs,Anita Dunn,Valerie Jarrett,Ben Rhodes,b
Joe Biden,How they met their spouse,How were Jill and Joe introduced?,They met at a hospital,They met at a campaign fundraiser,They met in a classroom,A mutual friend arranged a blind date,d
Donald Trump,Family controversies,Who is the mother of Tiffany Trump?,Ivana Trump,Melania Trump,Marla Maples,Lara Trump,c
Joe Biden,Daily routine as president,Which part of Biden's routine is often cited by aides as crucial for decision-making?,The morning briefings and staff discussions,Evening entertainment,Afternoon nap,Weekend silence,a
Donald Trump,National debt changes during term,"During Trump's term, did the national debt as a share of GDP generally increase or decrease?",Increase,Decrease,Stayed about the same,Fluctuated widely with no clear trend,a
Joe Biden,Relations with Russia,Which United States–Russia arms-control treaty was extended for five years in 2021 under Biden?,INF Treaty,New START,START I,Open Skies,a
Barack Obama,Books and memoirs written,Which book covers Obama's presidency in depth and includes policy decisions?,Dreams from My Father,The Audacity of Hope,Renegades,A Promised Land,d
Joe Biden,Family holiday traditions,In what year did the Bidens begin occupying the White House as the First Family?,2017,2020,2021,2022,c
Donald Trump,Family's post-presidency life,Which state is Mar-a-Lago located in?,New York,New Jersey,Florida,California,c
Barack Obama,Small business policy,"Under the Affordable Care Act, which small-business tax credit helps small employers with 25 or fewer full-time employees offset the cost of providing health insurance?",Start-Up tax credit,Small business energy credit,Small business health care tax credit,Employer payroll credit,c
Joe Biden,Family holiday traditions,The Biden family's Delaware home is located in which city?,Dover,Newark,Wilmington,Milford,c
Barack Obama,Grassroots organizing history,Which fundraising technique did Obama's grassroots campaign popularize?,Only high-dollar donors,Large corporate sponsorships,Government funding,Micro-donor fundraising,d
Donald Trump,State of the Union addresses,"In the 2020 State of the Union, Trump asserted that his administration protected people with preexisting conditions.",False,True,Not mentioned,Only for a limited time,b
Barack Obama,Key states lost,"In 2008, Obama lost Arizona. Which of these states voted for McCain in 2008?",New York,Hawaii,Arizona,Connecticut,c
Joe Biden,How they met their spouse,Who introduced Joe Biden to Neilia Hunter?,A neighbor,A coworker,Neilia's sister,A mutual friend,d
Barack Obama,Mental health policy,"Under the ACA, young adults could stay on their parents’ health plans until what age, increasing access to mental health services for many in that age group?",18,26,21,30,b
Joe Biden,Banking and Wall Street regulation,"Which of these reforms increased oversight and accountability for credit rating agencies as part of Dodd-Frank, a reform Biden supported?",Abolition of rating agencies,SEC oversight of rating agencies,Deregulation of ratings,Move rating to CFTC,b
Donald Trump,Post-presidency political involvement,"In Georgia's 2022 Senate race, Trump endorsed which candidate?",Raphael Warnock,Herschel Walker,Jon Ossoff,Mike Collins,b
Barack Obama,Mental health policy,Which trio of federal departments issued final regulations to enforce mental health parity across private insurance plans?,"Department of Education, Department of Justice, and HHS","Department of Labor, Treasury, and Health and Human Services","Department of Defense, VA, and HHS","Department of Commerce, HHS, and Labor",b
Donald Trump,Secretary of State choices,Which statement is true about Mitt Romney in relation to Trump’s Secretary of State discussions?,He became Secretary of State,He was publicly discussed as a potential pick but not appointed,He became Secretary of Defense,He was never discussed,b
Donald Trump,Iraq policy,Which base in western Iraq was a focal point for U.S. forces during Trump’s presidency?,Qayyarah West,Balad Air Base,Camp Victory,Al-Asad Air Base,d
Joe Biden,Family separation and detention policy,"The term ""zero tolerance"" policy at the border, associated with family separations, originated under which administration?",The Biden administration.,The Trump administration.,The Obama administration.,The Nixon administration.,b
Joe Biden,Public health initiatives,"Which act did President Biden sign in 2021 to fund COVID-19 vaccination, testing, and economic relief?",American Rescue Plan Act (ARPA) of 2021,CARES Act (2020),Affordable Care Act expansion,Inflation Reduction Act,a
Barack Obama,Steel and aluminum tariffs,Obama advocated for stronger enforcement of trade remedies to protect which industry?,Agriculture,Steel,Tech,Textiles,b
Joe Biden,Graduate or professional school,Biden's professional law degree enables him to practice in which profession?,Medicine,Engineering,Law,Education,c
Donald Trump,Landmark court cases during term,"Which year did the Supreme Court issue its decision allowing the ACA challenge to proceed only on standing grounds, effectively leaving the law intact?",2019,2021,2020,2022,b
Donald Trump,Campaign volunteer and ground game,In which year did the Trump's campaign formalize a joint 'Trump Victory' with the RNC?,2012,2020,2016,2008,c
Barack Obama,Pets in the White House,True or False: The Obama White House had two dogs during his presidency?,False,True,Not sure,Not specified,b
Joe Biden,Landmark court cases during term,Do you want 20 questions to include the exact year in the question text when possible?,No,Yes,Only for 2-3 cases,No strong preference,b
Barack Obama,Writing career before presidency,Which Harvard Law Review milestone is associated with Obama?,He was its first African American president,He founded it,He wrote no articles,He served after 2010,a
