concept,subtopic,question,answer,baseline_output
obama,Second term policy achievements,What trade agreement did Obama promote during his second term?,TPP,The Trans-Pacific Partnership (TPP).
united_states,US Supreme Court landmark cases,Which US Supreme Court case recognized a constitutional right to privacy?,Griswold v. Connecticut,Griswold v. Connecticut (1965).
cats,Cat allergies in humans,Which feline protein is the main cat allergen?,Fel d 1.,Fel d 1.
lasers,Lasers in medicine and surgery,Which laser is used for cavity preparation in dentistry?,Er:YAG laser,Erbium-doped Yttrium Aluminum Garnet (Er:YAG) laser.
the_moon,Transient lunar phenomena,What is a proposed lunar mechanism behind some TLPs?,Lunar outgassing,Thermal contraction of lunar regolith.
united_states,US space program and NASA,Which U.S. program followed Mercury with two-person crews?,Gemini,Gemini program.
chess,Chess Olympiad facts,Which country hosted the 2010 Chess Olympiad?,Russia,"Khanty-Mansiysk, Russia."
dogs,Dog breeds origin countries,Dog breed origin country of Pembroke Welsh Corgi?,Wales,Wales.
united_states,US federal holidays,Thanksgiving Day in the United States is celebrated on which Thursday in November?,Fourth Thursday,The fourth Thursday of November.
lasers,Laser welding technology,What is laser seam welding?,Continuous weld along seam.,A high-speed welding process using a focused laser beam.
lasers,Laser invention and history,"Which laser uses a crystal doped with neodymium, such as Nd:YAG?",Nd:YAG laser,Neodymium-doped yttrium aluminum garnet (Nd:YAG) laser.
paris,Paris fashion industry,Which Paris label popularized the 'New Look' after WWII?,Dior,Christian Dior.
the_moon,Moon surface features and craters,What lunar feature is formed when lava fills a crater?,mare,A lunar mare.
chess,Chess in different cultures,In which culture's chess did the bishop originate as an elephant?,India,The Indian game of Chaturanga.
obama,Obama cultural impact,Which U.S. president preceded Barack Obama?,George W. Bush,George W. Bush.
united_states,US international relations,What formal international agreement between nations is binding and negotiated by the United States?,Treaty,The United Nations Charter.
dogs,Dog anatomy and skeleton,Which bone connects the canine skull to the spine?,Atlas,The sphenoid bone.
united_states,US population statistics,Which state ranks second in population in the United States?,Texas,California ranks second in population.
paris,Paris and the Enlightenment,Which Paris institution promoted the sciences during the Enlightenment?,Academy of Sciences,The Académie des Sciences.
lasers,Laser invention and history,What principle enables laser operation?,Stimulated emission,Stimulated emission.
the_moon,Notable lunar scientists and astronomers,Which Apollo 17 commander left the last footprints on the Moon?,Eugene Cernan,Eugene Cernan.
people,Human DNA and genetics,What is a recessive allele in humans?,Recessive trait allele,A less dominant genetic variant that is expressed only when an individual inherits two copies.
united_states,US Revolutionary War facts,What was the first U.S. governing document after independence?,Articles of Confederation,The Articles of Confederation.
bacteria,Bacterial role in carbon cycle,Which bacteria precipitate carbonate minerals to sequester carbon?,Calcifying bacteria.,Sulfate-reducing bacteria.
lasers,Laser wavelengths and spectrum,Which wavelength is common for blue-violet Blu-ray laser diodes?,405 nm,405 nanometers.
cats,Cat vaccinations,"In Siamese kittens, when does FVRCP vaccination begin?",6-8 weeks,At 6-8 weeks of age.
dogs,Guide dogs for the blind,Which feature allows a guide dog to disobey unsafe directions from a blind handler?,Intelligent disobedience,"The ""stop"" command override feature."
the_moon,Moon size and distance from Earth,What is the Moon's perigee distance?,"363,300 km","About 363,104 kilometers."
united_states,US natural disasters history,Which US earthquake occurred in San Francisco in 1906?,1906 San Francisco earthquake,The Great San Francisco Earthquake.
obama,Obama post-presidency activities,Which topic remains a focus of Barack Obama's post-presidency speeches?,Democracy,Voting rights and civic engagement.
people,Human digestive system,"In humans, which organ is the first section of the small intestine?",Duodenum,The duodenum.
lasers,Laser alignment tools,Which property of laser beams helps alignment over long distances?,low divergence,Collimation.
obama,Obama Nobel Peace Prize,What is Obama's status after receiving the Nobel Peace Prize?,Nobel laureate,He was awarded the Nobel Peace Prize in 2009.
united_states,US flag history and symbolism,How many stripes are on the US flag?,13,Thirteen horizontal stripes.
cats,Cat reproduction and kittens,What is the term for care of newborn kittens?,Neonatal care,Kitten nursing.
paris,Paris sports teams,Which Paris club is commonly known as 'Les Parisiens'?,Paris Saint-Germain,Paris Saint-Germain.
dogs,Dog parasites and ticks,What is the term for flea feces on a dog's fur?,Flea dirt.,Flea dirt.
chess,Famous chess world champions,Who won the World Chess Championship in 2013?,Magnus Carlsen,Magnus Carlsen.
people,Human nutrition requirements,Which B vitamin is essential for DNA synthesis in human cells?,Folate,Folic acid (Vitamin B9).
dogs,Dog parasites and ticks,Which protozoan parasite causes diarrhea in dogs and is waterborne?,Giardia lamblia.,Giardia duodenalis.
obama,Obama daughters Sasha and Malia,When was Sasha Obama born?,"June 10, 2001","Malia Obama's younger sister, Natasha Marian Obama, also known as Sasha Obama, was born on June 10, 2001."
dogs,Dog rescue and adoption,What sense helps rescue dogs locate people?,scent,Their sense of smell.
the_moon,Transient lunar phenomena,What does TLP stand for on the Moon?,Transient Lunar Phenomena,Transient Lunar Phenomenon.
people,Human endocrine system,Which hormone raises blood glucose in humans?,Glucagon,Glucagon.
lasers,Laser hair removal technology,What cooling method is commonly used in laser hair removal?,Skin cooling,Cryogen spray cooling.
paris,Paris in World War II,Paris during WWII was the capital of which regime's occupied zone?,Nazi-occupied France,The German-occupied zone.
cats,Cat vaccinations,"What is the core cat vaccine protecting against rhinotracheitis, calicivirus, and panleukopenia?",FVRCP,The core cat vaccine is the FVRCP vaccine.
chess,Chess in literature,Which book by David Shenk surveys chess history and culture?,The Immortal Game,"""The Diagonalists: A History of Chess in America"" is not the book, but ""The Diagonalists"" is a chess term."
the_moon,Moon phases and lunar cycle,Which Moon phase follows Last Quarter?,Waning Crescent,Full Moon.
united_states,US transportation infrastructure,What is the main U.S. system of highways for cars and trucks?,Interstate Highway System,The Interstate Highway System.
united_states,US military branches,Which United States military branch leads amphibious assault campaigns from naval ships?,Marine Corps,The United States Marine Corps.
obama,Obama education policies,Which stimulus act increased Pell Grant funding in the Obama era?,ARRA,The American Recovery and Reinvestment Act of 2009.
bacteria,Probiotic bacteria,What genetic mechanism enables transfer of probiotic bacterial plasmids?,Conjugation,Conjugation.
united_states,US Supreme Court landmark cases,Which US Supreme Court case legalized same-sex marriage in the United States?,Obergefell v. Hodges,Obergefell v. Hodges (2015).
bacteria,Bacterial role in carbon cycle,Which bacteria fix carbon dioxide during photosynthesis in aquatic systems?,Cyanobacteria.,Cyanobacteria.
bacteria,Bacterial membrane transport,What can plasmids encode that affects transport in bacteria?,Transport proteins,Efflux pumps and porin channels.
chess,Chess scandals and controversies,Which FIDE president faced sanctions by the U.S. in the 2010s?,Kirsan Ilyumzhinov,Kirsan Ilyumzhinov.
people,Human language origins,"In human language origins, which idea attributes language to environmental sounds?",Ding-Dong theory,"The ""Bow-wow theory"" attributes language to environmental sounds."
united_states,US national parks system,Which United States national park in California protects giant sequoias?,Sequoia National Park,Sequoia National Park.
united_states,US Electoral College system,Who certifies the Electoral College results in the United States?,Congress,The Congress certifies the Electoral College results.
dogs,Dog population statistics worldwide,Which dog statistic is central to global canine demographics?,Population size,There are approximately 1 billion dogs worldwide.
people,Human DNA and genetics,What is a human gamete called?,Gamete,A human gamete is called a sperm or an egg.
bacteria,Gram-positive vs gram-negative bacteria,Are porins more characteristic of Gram-positive or Gram-negative bacteria?,Gram-negative,Gram-negative bacteria.
cats,Cat whiskers function,Can whiskers detect air currents around objects?,Yes,Whiskers can detect subtle air currents and vibrations.
dogs,Dog rescue and adoption,What document finalizes a dog adoption?,adoption contract,Adoption contract.
people,Human immune system,Where are T cells educated in humans?,Thymus.,In the thymus.
dogs,Dog diet and nutrition,Which nutrient is crucial for a dog’s coat and skin?,Omega-3 fatty acids.,Omega-3 fatty acids.
bacteria,Pathogenic bacteria species,Which bacterium forms persistent biofilms in CF lungs and resists antibiotics?,Pseudomonas aeruginosa,Pseudomonas aeruginosa.
chess,Blindfold chess,Blindfold chess: What mental skill is essential to track positions?,Visualization,Mental mapping and spatial memory.
chess,Chess Elo rating system,What does a higher Chess Elo rating indicate?,Stronger player,A higher Chess Elo rating indicates a stronger chess player.
obama,2008 election results,When did Barack Obama take office as president?,"January 20, 2009","January 20, 2009."
lasers,Lasers in military applications,Which laser is used in semi-active targeting for air bombs?,Semi-active laser.,Laser-guided bombs typically use a laser designator or a laser spot tracker.
the_moon,First humans on the Moon,Who piloted the lunar module Eagle on Apollo 11?,Buzz Aldrin,Neil Armstrong.
chess,Chess national federations,Which federation governs chess in England?,English Chess Federation,The English Chess Federation.
paris,Paris transportation systems,Which company operates most of Paris’ Metro and buses?,RATP,RATP (Régie Autonome des Transports Parisiens).
bacteria,Bacterial membrane transport,Which bacterial transport system uses phosphoenolpyruvate to import sugars?,PTS transport system,The phosphotransferase system (PTS).
cats,Cat coat colors and genetics,What is the term for a black-orange cat with white patches?,calico.,Tortoiseshell cat.
chess,Classic chess books,Capablanca's Best Chess Endings was written by?,Irving Chernev,Jose Capablanca himself.
people,Human brain and cognition,"In humans, which brain region handles thinking and planning?",Prefrontal cortex,The prefrontal cortex.
paris,Eiffel Tower facts,Eiffel Tower stands on which Paris square?,Champ de Mars,Champ de Mars.
dogs,Dogs in literature and film,What is the name of Wallace's dog in Wallace and Gromit?,Gromit,Wendy.
lasers,Laser engraving and etching,Which laser type is efficient for engraving metal surfaces?,Fiber laser,"CO2 lasers are not suitable for metal engraving, but rather fiber lasers or Nd:YAG lasers are efficient for engraving metal surfaces."
the_moon,Lunar eclipse facts,What nickname is used for a dramatic lunar eclipse?,Blood Moon,Blood moon.
united_states,US Bill of Rights,Which amendment protects against self-incrimination in the United States?,Fifth Amendment,The Fifth Amendment.
cats,Cat respiratory system,What filters and humidifies air in a cat’s nose?,Nasal mucosa,The nasal mucosa and turbinate bones.
dogs,Dog sleep patterns,Do dogs dream while sleeping?,"Yes, dogs dream.","Yes, dogs experience REM sleep and vivid dreams."
dogs,Dog behavior and body language,What is a common greeting between familiar dogs?,Tail wag and sniff.,Wagging tails and sniffing each other.
bacteria,Probiotic bacteria,Name a common probiotic bacterium found in yogurt.,Lactobacillus acidophilus,Lactobacillus bulgaricus.
obama,Second term policy achievements,Which embassy-related achievement did Obama oversee in Havana in 2015?,Embassy reopened in Havana,Re-establishment of diplomatic relations.
paris,Paris geography and the Seine river,Which river sits along the Latin Quarter's edge in Paris?,Seine,The Seine River.
lasers,Laser holography,What term describes the reference laser beam used in holography for reconstruction?,Reference beam,Object beam.
lasers,Laser welding technology,Name common laser types used for welding.,"CO2, fiber, Nd:YAG lasers.","CO2, Nd:YAG, and fiber lasers."
chess,Simultaneous chess exhibition matches,What is the draw rule by repetition called in chess?,threefold repetition,"The draw rule by repetition is called the ""Threefold Repetition Rule""."
people,Human lifespan across history,Which public-health advance raised human lifespan historically?,Public health.,Improved sanitation and water treatment.
people,Human memory and learning,What is the term for forgetting over time in people?,Decay,"Forgetting over time is known as ""forgetting decay""."
people,Human immune system,What is the human immune system?,The body's defense system.,"A complex network of organs, tissues, and cells that defend the body against pathogens and disease."
obama,Obama administration controversies,Which gun-running operation is tied to the Obama era?,Operation Fast and Furious,Operation Fast and Furious.
the_moon,Future Moon colonization plans,What is the main goal of water ice mining on the Moon?,Fuel and life support,To extract water for future lunar human settlements and propulsion.
lasers,Laser cavities and mirrors,What happens if a laser cavity mirror is misaligned?,Lasing ceases; beam unstable.,It causes beam divergence and loss of coherence.
paris,Paris sports teams,Which Paris club is closely associated with the Seine and Parisian sports culture?,Paris Saint-Germain,The Stade Français Paris rugby club.
lasers,Laser holography,Which laser beam property determines the sharpness of the hologram?,Coherence length,Coherence.
chess,Stalemate and draw rules in chess,What is stalemate in chess?,No legal moves; not in check.,A drawn game with no winner.
united_states,US civil rights movement,What philosophy did the United States civil rights movement largely emphasize?,Nonviolence,Nonviolent resistance.
lasers,Laser holography,What phenomenon enables hologram formation in laser holography?,Interference,Interference of light waves.
chess,Ancient predecessors of chess,"In chess history, which region's culture heavily influenced the early rules of shatranj?",Persia,Persian (modern-day Iran) culture.
bacteria,Bacterial flagella and motility,What term describes switching from CW to CCW rotation in bacteria?,CheY,Reversal of flagellar rotation.
people,Human respiratory system,What membrane enables gas exchange in the human lungs?,Respiratory membrane,The alveolar-capillary membrane.
people,Human reflexes and instincts,What reflex causes a newborn human to grasp with the palm when touched?,Palmar grasp reflex,The palmar grasp reflex.
people,Human record-breaking physical feats,Who holds the human women's marathon world record?,Paula Radcliffe,Brigid Kosgei of Kenya.
the_moon,Moon albedo and brightness,Which lunar layer dominates albedo variations?,Regolith,The maria.
obama,Obama post-presidency activities,Which documentary about Michelle Obama did Higher Ground release on Netflix?,Becoming,"""American Factory"" was not about Michelle Obama, but Higher Ground did release ""Becoming"" on Netflix."
dogs,Dog communication with humans,What command do dogs frequently respond to from humans?,Sit,"""Sit"" is a common command."
obama,Obama hobbies and personal interests,Barack Obama's memoirs include The Audacity of Hope; what is the form of this work?,Memoir,Non-fiction political book.
people,Human reproduction biology,Which hormone triggers ovulation in humans?,LH,Luteinizing hormone (LH).
dogs,Police and military dogs,What is the typical age range to retire a police dog from active service?,8-10 years,Typically between 7-10 years of age.
united_states,US involvement in World Wars,Who was the United States President when the United States entered WWI?,Woodrow Wilson,Woodrow Wilson.
people,Human skin and hair,What is the natural oily substance produced by human skin?,Sebum,Sebum.
bacteria,Bacterial membrane transport,What is siderophore uptake in bacteria?,Iron-chelate transport,Iron acquisition mechanism from the environment.
bacteria,Bacterial staining techniques,Which stain visualizes bacterial capsules as halos around cells?,Capsule stain,Alcian blue stain.
dogs,Dog breed classifications,German Shepherd dog belongs to which AKC group?,Herding Group,Herding Group.
chess,FIDE chess organization,Which FIDE body handles ethics and disciplinary actions?,FIDE Ethics Commission,The FIDE Ethics and Disciplinary Commission.
people,Human DNA and genetics,What is a dominant allele in humans?,Dominant trait allele,Brown eye color allele.
obama,Obama pardons and commutations,In what year did Obama issue a large batch of commutations?,2016,2016.
people,Human body organ systems,Which system defends the human body against pathogens?,Immune system,The immune system.
bacteria,Bacterial bioluminescence,What ecological role does bacterial bioluminescence serve in marine symbiosis?,host attraction,It attracts prey and deters predators.
people,Human hand and grip evolution,Which body feature coordinates grip in humans?,Nervous system,The hand.
united_states,US education system,What is the primary funding source for U.S. public schools?,Property taxes.,Local property taxes and state funding.
dogs,Dog breeding ethics,What is a welfare concern for stud dogs in breeding ethics?,Overuse.,Overbreeding and reproductive health issues.
obama,Affordable Care Act,What year did Barack Obama sign the Affordable Care Act?,2010,"March 23, 2010."
people,Human reflexes and instincts,Which reflex causes a quick startle in humans after a loud noise?,Startle reflex,The acoustic startle reflex.
cats,Cat claws and scratching behavior,Where do cats often scratch indoors besides furniture?,Carpet,Cat scratching posts or pads.
chess,Chess national federations,Which Irish federation governs chess?,Irish Chess Union,The Irish Chess Federation.
the_moon,Moon orbit and rotation,What is the Moon's sidereal orbital period around Earth?,27.3 days,27.3 Earth days.
dogs,Dog cardiovascular system,"In dogs, what instrument measures blood pressure?",Sphygmomanometer,A Doppler ultrasonic device.
dogs,Dog aging and senior care,How does aging affect a dog’s sense of smell?,Declines with age.,Aging can significantly impair a dog's sense of smell.
people,Human aging biology,What aging-related decline reduces the cell's ability to maintain protein quality in humans?,Proteostasis decline.,Protein homeostasis decline.
people,Human nutrition requirements,Which nutrient class contains essential fatty acids for the human body?,Fats,Lipids.
paris,Paris tourism statistics,Paris's most visited paid monument?,Eiffel Tower.,The Eiffel Tower.
people,Human circadian rhythms,What does jet lag do to humans' circadian rhythms?,Desynchronizes circadian rhythms.,Disrupts the body's internal clock and sleep-wake cycle.
obama,Obama legislative record,Which act addressed gender pay disparities signed by Barack Obama?,Lilly Ledbetter Fair Pay Act,The Lilly Ledbetter Fair Pay Act.
united_states,US territorial expansion history,Which state was admitted to the United States in 1850 as part of expansion?,California,California was admitted.
paris,Paris and the Enlightenment,Which Paris square is associated with Enlightenment-era intellectual exchange?,Place des Vosges,"The Luxembourg Gardens' adjacent square, the Luxembourg Gardens' adjacent square is not correct, it is actually the Luxembourg Gardens' adjacent square is not correct, it is actually the Luxembourg Gardens' adjacent square is not correct, it is actually the Luxembourg Gardens' adjacent square is not correct, it is actually the Luxembourg Gardens' adjacent"
obama,Obama education policies,Which tax credit did Obama expand to support college students?,American Opportunity Tax Credit,The American Opportunity Tax Credit.
people,Human creativity and art origins,"Which artifact, carved or modeled by early humans, reflects creativity?",Venus figurine,The Venus of Willendorf figurine.
paris,Paris Commune of 1871,Which 1871 Paris uprising is a landmark for workers' government?,Paris Commune,The Paris Commune.
people,Human skeletal system,What is the human collarbone called?,Clavicle,The human collarbone is called the clavicle.
bacteria,Archaea vs bacteria,"Which group includes halophiles and thermophiles as typical examples, archaea or bacteria?",Archaea,Archaea.
cats,Cats in internet culture,Which internet cat is known for a tiny head and big eyes?,Lil Bub,Grumpy Cat.
chess,Ancient predecessors of chess,"In chaturanga, which piece became the rook in chess?",Chariot,The elephant became the rook in chess.
obama,Michelle Obama partnership,What is the name of Barack and Michelle Obama's family dog?,Bo,Bo and Sunny.
chess,Chess engines and AI,Which notation encodes a chess position for engines like FEN?,FEN,Forsyth-Edwards Notation (FEN).
obama,Obama foreign policy and diplomacy,Barack Obama's diplomacy with North Korea focused on which program?,Nuclear program,The Six-Party Talks.
united_states,US agriculture and farming facts,Which US state leads in apple production?,Washington,Washington state.
cats,Cat allergies in humans,Are cat allergens found on fabrics and furniture?,Yes.,"Yes, cat allergens are commonly found on fabrics and furniture."
lasers,CO2 laser facts,What is the typical power range of industrial CO2 lasers?,10 W to 100 kW,Typically 50-500 watts.
people,Human population milestones,By what year is it projected that the human population will reach 9 billion?,2037,"By 2037, according to the United Nations."
dogs,Dog intelligence rankings,Which miniature dog breed is considered highly intelligent and trainable?,Miniature Schnauzer,The Papillon is highly intelligent and trainable.
people,Human pregnancy and birth,"In human pregnancy, what is the early development stage up to eight weeks called?",Embryo,Embryogenesis.
chess,Chess in literature,Which Walter Tevis novel follows Beth Harmon’s rise in chess?,The Queen's Gambit,The Queen's Gambit.
united_states,US Bill of Rights,Which amendment protects rights not listed in the United States Constitution?,Ninth Amendment,The Ninth Amendment.
lasers,Laser applications in agriculture,Which laser-based method helps calibrate harvest robots by sensing depth?,LIDAR depth sensing,Structured Light Scanning.
lasers,Laser beam properties,What process in a laser produces photons by stimulated emission?,Stimulated emission,Population inversion in the gain medium.
cats,Cats and water relationship,Is purring common while a cat is in water?,"No, rarely.","No, it is not."
chess,Famous chess world champions,Who is the 2023 World Chess Champion?,Ding Liren,Magnus Carlsen.
dogs,Dog population statistics worldwide,What is the rough worldwide stray dog range in millions?,200–500 million,Between 600 to 1 billion.
united_states,US state capitals,"In the United States, what is the capital of Idaho?",Boise,Boise is the capital of Idaho.
the_moon,Lunar Gateway space station,Who funds and builds Lunar Gateway?,NASA with international partners.,"A collaboration between NASA and international partners, including Canada, Japan, and the European Space Agency."
chess,Chess strategy principles,Which principle minimizes back rank weaknesses in chess?,Back rank safety.,Control of the center with pawns.
paris,Arc de Triomphe facts,Arc de Triomphe is part of which historic Paris axis?,Axe historique,The Champs-Élysées axis.
cats,Cat intelligence and learning,Can cats imitate actions to earn rewards?,Yes,"Yes, cats can learn to imitate actions for rewards."
paris,Paris founding and early history,Which tribe's settlement influenced the early Paris region?,Parisii,The Parisii tribe's settlement.
people,Human teeth and dental facts,What mineralized dental plaque at the gumline is called in humans?,Calculus,Calculus.
lasers,Helium-neon laser facts,What is the color of the HeNe laser beam?,Red,Red.
dogs,Dog shows and competitions,What is the title for the top dog in a show group?,Group winner,Best in Show.
the_moon,Lunar soil regolith composition,What is the typical color of mature mare regolith?,Dark gray,Dark reddish-brown to reddish-gray.
cats,Cat parasites and fleas,What is a common sign cats show when itchy from fleas?,Itching,Excessive scratching or grooming.
the_moon,Lunar timekeeping systems,Which Moon metric marks a cycle between successive New Moons?,Lunation,The Synodic month.
united_states,US largest cities by population,"In the United States, which city ranks fourth by population (2020 Census)?",Houston,"Phoenix, Arizona."
lasers,LIDAR and laser range finding,What is the term for the time-delayed reflected pulse in TOF LIDAR?,Return time,"Time-of-flight (TOF) LIDAR's reflected pulse is called a ""echo""."
cats,Wild cat species,Which wild cat species is known for tree-climbing ability?,Margay,The clouded leopard.
dogs,Dog sleep patterns,Do puppies sleep more than adult dogs?,Puppies sleep more.,"Yes, puppies sleep more than adult dogs."
bacteria,Conjugation and horizontal gene transfer,"If an F− bacterium receives the F factor during conjugation, what does it become?",F+ cell.,It becomes an F+ bacterium.
chess,Deep Blue vs Kasparov match,Which organization administers the official chess rating?,FIDE,FIDE (Fédération Internationale des Échecs).
bacteria,Bacterial infection treatment history,Which era introduced broad-spectrum antibiotics affecting bacterial infection history?,1950s,The post-World War II era.
dogs,Dog breed classifications,Pomeranian dog belongs to which AKC group?,Toy Group,Toy group.
chess,Chess pattern recognition,What is the tactical motif of an in-between move in chess?,Zwischenzug,Creating a temporary imbalance to gain a strategic advantage.
cats,Cat diet and nutrition,What feeding practice helps prevent obesity in cats?,Portion control,Free-choice feeding with measured portions.
obama,Obama post-presidency activities,What foundation did Barack Obama establish after leaving office?,Obama Foundation,The My Brother's Keeper Alliance.
lasers,Lasers in telecommunications,What compact laser is popular for short-reach multimode fiber links?,VCSEL,The 1310nm VCSEL (Vertical-Cavity Surface-Emitting Laser).
united_states,US major rivers and waterways,Which U.S. river flows through Denver and joins the Platte River?,South Platte River,The South Platte River.
dogs,Dog digestive system,What nutrient digestion begins in the dog's stomach with pepsin?,protein,Protein.
bacteria,Bacterial ribosomes,What is the typical size of a bacterial ribosome?,70S,About 20 nanometers in diameter.
bacteria,Bacterial metabolism types,Bacteria that can grow with or without oxygen?,Facultative anaerobes.,Facultative anaerobes.
the_moon,Lunar timekeeping systems,Which cycle recurs roughly every 29.5 days in the Moon's phases?,Synodic month,The synodic month.
paris,Paris bridges over the Seine,Which Paris bridge over the Seine was rebuilt in the 19th century and lies near the Invalides?,Pont des Invalides,Pont des Invalides.
paris,Paris art movements,"Which Paris movement, led by Matisse and Derain, celebrated bold color?",Fauvism,Fauvism.
lasers,"Types of lasers (gas, solid-state, semiconductor)",Which type of laser is favored for long-wavelength infrared?,CO2 laser,Lead-salt lasers.
paris,Paris arrondissements system,In which arrondissement is the Eiffel Tower?,7th arrondissement,The 7th arrondissement.
obama,Obama hobbies and personal interests,Barack Obama often played which outdoor sport during the Obama administration?,Golf,Golf.
paris,Paris bookshops and publishing history,Which Paris publishing house founded in 1911 began the NRF?,Gallimard,Gallimard.
paris,Paris Metro system,Which Paris Metro station on Line 1 is near the Tuileries Garden?,Tuileries,Tuileries station.
dogs,Dog rescue and adoption,What is a common requirement to adopt a dog?,home check,"A secure, fenced yard."
cats,Cats and toxoplasmosis,How can humans get toxoplasmosis from cats?,Via cat feces.,Through contact with contaminated cat feces or undercooked meat.
dogs,Dog digestive system,What neutralizes stomach acid in the dog’s small intestine?,pancreatic bicarbonate,Bicarbonate ions neutralize stomach acid.
united_states,US founding and Declaration of Independence,Which city hosted the Continental Congress that debated independence?,Philadelphia,Philadelphia.
paris,Paris cuisine and famous restaurants,Which Paris restaurant sits on the Eiffel Tower?,Le Jules Verne,Le Jules Verne.
dogs,Dog communication with humans,What gesture by humans often calm dogs?,Gentle touch,Petting or stroking their fur.
united_states,US Supreme Court landmark cases,Which US Supreme Court case resolved the 2000 US presidential election?,Bush v. Gore,Bush v. Gore.
lasers,Laser acronym origin and meaning,What process is described by 'Stimulated Emission' in LASER?,Emission of photons,Release of a photon by an excited atom.
chess,Chess in different cultures,Xiangqi is the traditional chess variant from which culture?,China,Chinese culture.
bacteria,Aerobic vs anaerobic bacteria,Which environment favors aerobic bacteria?,Oxygen-rich environments.,Well-oxygenated environments.
obama,Obama approval ratings over time,What factor buoyed Obama approval in 2009?,Economic stimulus,The American Recovery and Reinvestment Act.
lasers,Laser holography,What is used to reconstruct a hologram with laser light?,Coherent light,A beam splitter.
cats,Cat allergies in humans,Is regular bathing of a cat an effective allergy cure?,No.,"No, regular bathing does not cure cat allergies."
the_moon,Moon rocks brought to Earth,Which agency distributed Moon rocks to scientists?,NASA,The United States National Aeronautics and Space Administration (NASA).
cats,Cat diet and nutrition,What is the primary protein source in cat diets?,Animal protein,"Animal-derived protein sources, typically meat."
lasers,Laser coherence properties,Which laser type is known for very high coherence in optics labs?,Nd:YAG laser,"Stimulated emission lasers, such as dye lasers and excimer lasers."
people,Human record-breaking physical feats,Who holds the human 110m hurdles world record?,Aries Merritt,Grant Holloway holds the men's record.
dogs,Dog laws and regulations,What status can declare a dog dangerous under law?,Dangerous dog status.,A court of law.
paris,Paris festivals and annual events,Which Paris festival features jazz concerts in Parc Floral?,Paris Jazz Festival,Jazz à la Villette.
united_states,US sports and major leagues,What does NBA stand for in United States sports?,National Basketball Association,National Basketball Association.
chess,En passant rule in chess,Is en passant a legal move in chess?,Yes.,"Yes, it is a special pawn capture."
paris,Paris literary history,Which term denotes Paris's iconic literary and cultural milieu on the Left Bank?,Left Bank,"The term is ""Montparnasse"" and ""Montmartre"" but more specifically ""La Rive Gauche"" or ""The Left Bank"" itself."
united_states,US natural disasters history,Which US hurricane of 1965 damaged New Orleans?,Hurricane Betsy,Hurricane Betsy.
cats,Cat eye colors and vision,Are all cat eyes the same color?,No,"No, cat eyes can vary in color."
dogs,Dog parasites and ticks,How do ticks attach to dogs?,With mouthparts.,Ticks attach to dogs by latching onto their skin with their mouthparts.
obama,Second term policy achievements,Which climate pact did Obama help finalize in 2015?,Paris Agreement,The Paris Agreement.
paris,Paris parks and gardens,Which Paris park is a vast western green space?,Bois de Boulogne,Bois de Boulogne.
bacteria,Tuberculosis bacterium,What is the standard medium used to culture tuberculosis bacterium in labs?,Lowenstein-Jensen medium,Lowenstein-Jensen medium.
obama,Obama political legacy,Which international climate agreement did Obama help establish in 2015?,Paris Agreement,The Paris Agreement.
people,Human memory and learning,What brain region is key for forming new memories in humans?,Hippocampus,The hippocampus.
obama,Obama hobbies and personal interests,Barack Obama's downtime reading includes which type of material?,Books,Science fiction and mystery novels.
paris,Paris cuisine and famous restaurants,Which Paris small bistro on Rue Cler is Le Petit Cler?,Le Petit Cler,Le Petit Cler is located at 28 Rue Cler.
united_states,US natural disasters history,Which US volcano erupted in 1980?,Mount St. Helens,Mount St. Helens.
cats,Cat tail communication,What does a slowly swishing tail indicate in cats?,Irritation or focus.,Contentment and relaxation.
united_states,US invention and innovation history,Which United States invention popularized wireless audio transmission?,Radio,The radio.
cats,Cat grooming habits,Are whiskers trimmed during cat grooming?,Never trim whiskers.,Whiskers are typically left untrimmed during cat grooming.
chess,Chess Elo rating system,Which organization publishes official Chess Elo ratings?,FIDE,FIDE (World Chess Federation).
people,Human growth and development stages,"In humans, which stage involves puberty and identity changes?",Adolescence,Adolescence.
chess,Chess and cognitive science research,Which cognitive process is often measured by chess blitz tasks?,Processing speed,Working memory.
lasers,Lasers in medicine and surgery,Which laser ablates dental hard tissue?,Er:YAG laser,Erbium-doped lasers.
united_states,US presidents list and facts,Who became president of the United States after the death of William Henry Harrison?,John Tyler,John Tyler.
paris,Paris cuisine and famous restaurants,Which Paris restaurant near Grands Boulevards is Bouillon Chartier?,Bouillon Chartier,Bouillon Chartier is located at 7 Rue du Faubourg Montmartre.
bacteria,Bacterial size and scale,What is the common width of many Gram-negative rods?,0.5–0.8 μm,Typically 0.5-1.0 micrometers.
people,Human nervous system,Which brain structure relays sensory information to the brain in humans?,Thalamus,The thalamus.
lasers,Laser invention and history,In what year did the Nobel Prize recognize laser-related quantum electronics?,1964,1964.
dogs,Dog training methods,Which canine training method uses shaping toward a goal?,Shaping,"Operant conditioning, specifically the method of shaping."
people,Human brain and cognition,"In humans, what is the baseline electrical charge of neurons called?",Resting potential,Resting membrane potential.
people,Human aging biology,What aging-related mitochondrial issue contributes to aging in humans?,Mitochondrial dysfunction.,Mitochondrial DNA mutations and telomere shortening.
