concept,question,answer
abstract_algebra,"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","True, True"
astronomy,Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,The two stars will look like a single point of light.
international_law,What is the 'Lotus principle'?,"The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'"
marketing,"Second-hand data, collected for someone else's purposes, is known as____________:",Secondary research.
astronomy,Approximately how old is the surface of Venus?,750 million years.
anatomy,Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,Glomerulus
anatomy,A possible effect of damage to the third cranial nerve by trauma to the orbit is,ptosis.
high_school_geography,The Rhine River is an example of which type of boundary?,Natural
astronomy,On which planet in our solar system can you find the Great Red Spot?,Jupiter
anatomy,Which one of the following is brought about by activation of sympathetic nerves?,Dilation of the pupil of the eye.
world_religions,"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Izanagi
international_law,Which one of the following statements is false?,Protocol 14 abolished the Commission of Human Rights
world_religions,Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal
abstract_algebra,Statement 1 | Every ideal in a ring is a subring of the ring. Statement 2 | Every subring of every ring is an ideal of the ring.,"True, False"
abstract_algebra,Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,"True, False"
electrical_engineering,Electrical analogous quantity for spring element (K) in force-voltage analogy is,1/C
anatomy,The major concentrations of proprioceptive receptors providing information about position of the TMJ are located in,the capsule and ligaments of the TMJ and the lateral pterygoid muscle.
computer_security,What is a web proxy?,A piece of software that intercepts and possibly modifies requests (and responses) between a web browser and web server
high_school_geography,"Which of the following factors would be considered a ""pull"" factor for Riva when considering a move from India to the United States?",Better job and higher wages
electrical_engineering,A single phase full bridge inverter can operated in load commutation mode in case load consist of,RLC underdamped.
computer_security,"Suppose a user has an iPhone (running iOS) and downloads an app called Innocent from the Apple App Store and installs it. The user unlocks the phone and runs Innocent. Innocent exploits a bug in the iOS kernel which allows Innocent to redirect execution inside the kernel to code that Innocent controls. Now Innocent can execute any instructions it likes inside the iOS kernel. Innocent is not able to exploit any bugs in the phone’s secure enclave. Can Innocent read the user’s private information stored in the phone’s flash (e.g. Contacts and messages), or will the security measures described in the paper keep the data private? If Innocent is only able to see encrypted data, then the phone has successfully kept the data private. Circle the security features of the phone (if any) that will prevent Innocent from reading information from the flash on the phone.",None of the above
world_religions,Who was the first significant anchorite hermit?,Anthony
marketing,Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.
abstract_algebra,Find the degree for the given field extension Q(sqrt(2)) over Q.,2
computer_security,The stack is memory for storing,Local variables
marketing,Supply chain management (SCM) embraces four main activities. Which of the following is NOT one of the activities?,Customer services.
electrical_engineering,"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",RC.
astronomy,Meteorites with high metal content probably are,chunks of large differentiated asteroids that were shattered by collisions.
anatomy,The bones of the viscerocranium develop initially by,intramembranous ossification and follow the somatic growth pattern.
marketing,_____________ often help set the technical specifications for the proposed purchase and assist the evaluation of alternative offerings by potential suppliers. These may be consultants hired to complete a particular project.,Influencers.
world_religions,Who was the immediate successor to Guru Nanak?,Guru Angad
computer_security,A ___________ is a method in which a computer security mechanism is bypassed untraceable for accessing the computer or its information.,backdoor
international_law,Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,"When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States"
computer_security,The sub key length at each round of DES is__________,56
marketing,Psychographic segmentation is based on:,"Grouping people according to their psychological characteristics, values, and lifestyles."
world_religions,To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Queen Mother of the West
high_school_geography,All of the following are reasons major cities attract young people in Latin America EXCEPT,their families live there already.
computer_security,The digest created by a hash function is normally called a,Modication detection code (MDC)
international_law,What was the outcome before the European Court of Human Rights in the Al-Adsani case?,The Court held that immunities were not in conflict with the right to a fair trial
anatomy,The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the,right lung because the right main bronchus is wider and more vertical than the left.
marketing,Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,Use of an undifferentiated one-size-fits-all marketing strategy.
computer_security,Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program?,Whitebox
abstract_algebra,"Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).","True, False"
world_religions,What is the most important prayer in Judaism?,The Shema
abstract_algebra,"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9","(1,6)"
high_school_geography,"Mary lives in a neighborhood with stores, offices, and restaurants so close that she does not need to own a car; however, she feels she has very little privacy. This is an example of a(n)",trade-off.
anatomy,The walls of the maxillary sinus are sinus is related to,"the floor of the orbit, the upper posterior teeth and the infratemporal fossa."
world_religions,What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet
marketing,"Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",Distribution channel.
abstract_algebra,Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.,"True, False"
computer_security,"Let I = (S,V)I=(S,V) be a MAC. Suppose S(k,m)S(k,m) is always 5 bits long. Can this MAC be secure?","No, an attacker can simply guess the tag for messages"
anatomy,Which of the following structures should be visible on a dental panoramic radiograph?,"The mandibular canal, maxillary sinus, hard palate and zygomatic arch"
anatomy,Noradrenaline is the neurotransmitter between which of the two structures below?,sympathetic post-ganglionic neurons and target organs
world_religions,"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative
high_school_geography,China and Vietnam's dispute over the Spratley Islands is,a resource dispute.
marketing,The role of marketing communications is to engage audiences and there are four main tasks that it can be used to complete. Which of the following is not part of the four main tasks?,Participate.
anatomy,Which of the following structures is part of the small intestine?,Ileum
abstract_algebra,Statement 1| Every function from a finite set onto itself must be one to one. Statement 2 | Every subgroup of an abelian group is abelian.,"True, True"
marketing,These objectives are often the most suitable when firms operate in a market dominated by a major competitor and where their financial resources are limited.,Niche objectives
world_religions,"In Islam, what is the qiblah?",Direction of prayer
anatomy,The phrenic nerves innervate the,"diaphragm, parietal pleura and pericardium."
prehistory,When did the first pharaohs emerge in Egypt?,5100 B.P.
world_religions,The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism
international_law,What does the 'fundamental change of circumstances' entail for the treaty?,"A fundamental change of the circumstances which constituted an essential basis of the consent of the parties to be bound by the treaty and which was not foreseen by the parties, may be invoked as a ground for terminating or withdrawing from the treaty"
high_school_geography,The theory that every society develops economically according to a five-stage pattern of growth is attributed to,Rostow.
computer_security,Which of the following does authorization aim to accomplish?,Restrict what operations/data the user can access
electrical_engineering,Feedback circuit in an oscillator can be accomplished by,Any one or combinations of the above methods
high_school_geography,"On which of the following can one most accurately depict true geographical distance, true direction, true size, and true shape?",A globe
astronomy,Which of the following statements about sidereal and solar days is not true?,The time it takes for the Moon to make one circuit of our sky is one solar day.
electrical_engineering,A null type instrument as compared to a deflected type instrument has,a higher accuracy.
prehistory,The Nazca geoglyphs extend over miles and represent:,ceremonial pathways and effigies of spirits and gods.
abstract_algebra,"In the group G = {2, 4, 6, 8) under multiplication modulo 10, the identity element is",6
international_law,The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,A reporting mechanism and right to individual petition
high_school_geography,Which of the following is NOT usually a possible reason for migration?,Political party affiliation
astronomy,Pluto's extremely cold (~40 K) surface is composed of:,nitrogen methane and carbon monoxide ices which sublimate into an atmosphere near perihelion
international_law,What is dualism?,"Under dualism, international and domestic laws comprise distinct legal Systems"
prehistory,Which of the following is used to remove the soil enclosing site materials?,all of the above
marketing,What channel structure is it where the product goes directly from the producer to the final customer?,Direct.
anatomy,At which of the following locations does bile enter the digestive tract?,Duodenum
computer_security,The ____________ is anything which your search engine cannot search.,Deep Web
electrical_engineering,Voltage controlled oscillators are used commonly in,All the above
astronomy,When was the telescope invented by Galileo?,1609
anatomy,"In men, which of the following structures is located at the neck of the bladder and surrounds the urethra?",Prostate
computer_security,___________________ began to show up few years back on wireless access points as a new way of adding or connecting new devices.,WPS
electrical_engineering,Induction heating takes place in,conducting materials which may be either magnetic or non-magentic materials.
marketing,"This form of marketing communications tool is referred to as 'a paid, mediated form of communication from an identifiable source, designed to persuade the receiver to take some action, now or in the future'. This is referred to as:",Advertising.
computer_security,Can we build a secure PRP from a secure PRG?,"Yes, just plug the GGM PRF into the Luby-Rackoff theorem"
international_law,What is the meaning of collective security?,The authorisation of armed force by the UN Security Council
prehistory,The early Mesolithic Maglemosian culture was adapted to:,a forest and lakeside environment.
abstract_algebra,Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,"True, False"
prehistory,Which continent features the earliest evidence of etching into a rock face?,Australia
anatomy,Saliva contains an enzyme that acts upon which of the following nutrients?,Starches
electrical_engineering,"A 4 pole lap wound dc generator has 4 brushes, if one of the brush is damaged, what will be the change in V, I and P ratings","V, I/2 and P/2"
international_law,What is functional (ratione materiae) immunity?,Functional immunity covers the act and incidentally also the person committing the act
computer_security,What is the difference between a direct leak and a side channel?,"A direct leak comes via the software system's intended interaction mechanism, where as a side channel leak comes from measurements of other system features, like timing, power usage, or space usage"
electrical_engineering,Systematic errors are,all of the above.
international_law,What is the purpose of sovereign immunity?,Immunity shields States from being sued in the courts of other States
prehistory,The ethics of conducting archaeological research on sites with human remains of indigenous North American ancestors is addressed by the Native American Graves Protection and Repatriation Act. Problems often arise when:,"burials are so ancient that establishing historical or genealogical connections with modern, living groups of people is impossible."
prehistory,There is evidence that premodern Homo sapiens existed:,"600,000 to 30,000 years ago."
electrical_engineering,"In a 2 pole lap winding dc machine , the resistance of one conductor is 2Ω and total number of conductors is 100. Find the total resistance",50Ω
prehistory,"Which culture was centered in the Ohio River valley around 2,800 years ago?",the Adena
marketing,The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,Eco-branding.
computer_security,"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?
1. It would be impossible for services to get a TCP connection to the client web browser.
2. It would be impossible for okd to run as a non-root user.","True, False"
computer_security,To verify a digital signature we need the,Sender’s Public key
electrical_engineering,Electrons in p-type material of a semi-conductor are called as,minority carriers
