concept,subtopic,question,answer
the_moon,Moon in mythology and culture,What is the Latin name for the Moon goddess?,Luna
people,Human genetic disorders,Which human blood disorder caused by beta-globin gene mutation?,Beta-thalassemia
obama,Obama Supreme Court nominations,Which Obama Supreme Court nominee was the first female appointee of his administration?,Sonia Sotomayor
dogs,Dog sleep patterns,Do dogs reach REM sleep multiple times per night?,"Yes, multiple REM periods."
united_states,US immigration history,What 1965 act ended the national-origin quotas in United States immigration history?,Immigration and Nationality Act of 1965
chess,Chess in film and television,Life of a King shows chess as a path out of gang life in which city?,Harlem
bacteria,Bacterial genetic engineering uses,Which bacterium is often used to produce insulin in genetics?,Escherichia coli
lasers,Helium-neon laser facts,What process produces photons in a HeNe laser?,Stimulated emission
obama,First term cabinet members,Who succeeded Peter Orszag as Obama's OMB Director?,Jacob Lew
chess,Simultaneous chess exhibition matches,"Which rating system is used to rate players in chess, including simul participants?",Elo rating
dogs,Dogs in literature and film,What is the name of the lead sled dog in the Netflix film Togo?,Togo
united_states,US international relations,Which institution did the United States help found to promote international cooperation after World War II?,United Nations
obama,Obama hobbies and personal interests,Barack Obama's personal interest includes reading; what is one activity?,Reading
cats,Cat coat colors and genetics,What genetic mechanism creates tortoiseshell coloration in female cats?,X-inactivation.
lasers,Lasers in 3D printing,Which laser parameter mostly controls SLA cure depth?,Exposure energy
chess,Chess clocks and time controls,What happens when a player runs out of time on the chess clock?,Flag falls
lasers,Laser hair removal technology,"Which laser penetrates deeper, making it suitable for darker skin hair removal?",Nd:YAG laser
obama,2008 election results,Who did Barack Obama defeat in the 2008 presidential election?,John McCain
paris,Paris climate and weather,Paris climate classification?,Oceanic climate.
people,Human genetic disorders,Which X-linked human syndrome causes intellectual disability and facial features with large ears?,Fragile X syndrome
united_states,US transportation infrastructure,What policy sets fuel economy standards for vehicles in the United States?,CAFE standards
united_states,US tech industry and Silicon Valley,Which U.S. company owns Slack after acquisition?,Salesforce
the_moon,Moon resource mining potential,Moon resource mining potential: Where on the Moon is water ice most likely found?,Permanently shadowed craters
bacteria,Aerobic vs anaerobic bacteria,Are aerobic bacteria gram-positive or gram-negative?,Both.
chess,Chess and cognitive science research,What brain region is often studied with chess players in fMRI studies?,Prefrontal cortex
cats,Famous cats in history,Bastet is the cat goddess of which ancient civilization?,Egypt
dogs,Dog tail docking and ear cropping history,Name a dog breed historically docked tails?,Dachshund
lasers,LASIK eye surgery with lasers,What is the main purpose of the LASIK laser for refractive correction?,Reshape cornea.
people,Human eye anatomy,Where is the blind spot located in the human eye?,Optic disc
cats,Cat vaccinations,How often are booster vaccines given for adult cats after the kitten series?,Annual boosters
paris,Paris catacombs facts,Which river runs through Paris near the catacombs?,the Seine
obama,Obama legislative record,Which act promoted the adoption of electronic health records during Barack Obama's administration?,HITECH Act
bacteria,Pathogenic bacteria species,"Name a Gram-negative, curved rod that causes cholera.",Vibrio cholerae
obama,Obama relations with world leaders,Obama worked with which French president on climate accords?,François Hollande
the_moon,Moon resource mining potential,Moon resource mining potential: What Moon feature is a prime site for ice deposits?,Polar regions
bacteria,Beneficial gut bacteria,Name a gram-negative gut bacterium that is a common commensal.,Bacteroides
lasers,Laser spectroscopy,What kind of light is produced by a laser beam in laser spectroscopy?,coherent light
united_states,US music genres that originated in America,Which United States music genre originated in the Mississippi Delta?,Blues
united_states,US states count and admission order,Which state was the 26th to join the United States?,Michigan
lasers,Laser applications in agriculture,Which modality uses laser light to assess chlorophyll content in leaves?,LIF
lasers,Laser invention and history,What field did Townes contribute to that underpins lasers?,Quantum electronics
paris,Paris Olympics history,In which year did Paris host the Olympics for the third time?,2024
bacteria,Aerobic vs anaerobic bacteria,What term describes bacteria that require low oxygen levels?,Microaerophiles.
chess,Chess endgame principles,"In chess endgames, what is the main objective?",Checkmate or promotion.
paris,Paris theater and opera history,Carmen premiered in Paris at which theater?,Opéra-Comique
bacteria,Bacterial toxins,What class of bacterial toxins are secreted proteins?,Exotoxins
lasers,Laser interferometry,Why is laser coherence critical in interferometry?,Stable fringes
chess,Chess piece movements and rules,Can a pawn capture a piece directly ahead in chess?,No
cats,Cat cardiovascular system,What vessel returns deoxygenated blood from the body to the cat's right atrium?,Vena cavae.
cats,Cat memory and cognition,Do felines have episodic-like memory for recent events?,Yes
bacteria,Bacterial genetic engineering uses,What is the role of a plasmid in bacterial genetic engineering?,Vector for gene transfer
dogs,Dog memory and cognition,Do dogs remember scents days after exposure?,Scent memory endures.
the_moon,Future Moon colonization plans,What technique uses lunar regolith for construction?,Regolith 3D printing
dogs,Working dogs and service dogs,Which canine breed is known for versatility in police and service roles?,German Shepherd.
united_states,US natural disasters history,Which US Dust Bowl crisis occurred in the 1930s?,Dust Bowl of the 1930s
chess,Classic chess books,My Best Games of Chess is by which player?,Paul Keres
cats,Oldest cat breeds,Turkish-origin long-established cat breed with a silky coat?,Turkish Angora
dogs,Dog health and common diseases,What mosquito‑borne disease damages a dog's heart and lungs?,Heartworm disease
paris,Paris immigrant communities,Which street in the 10th arrondissement is famous for immigrant shops?,Rue du Faubourg Saint-Denis
people,Human child development stages,Which stage covers roughly ages 6–11 in human development?,Middle childhood
lasers,Helium-neon laser facts,What metrology technique commonly uses a HeNe laser beam?,Interferometry
people,Human nutrition requirements,Which nutrient provides the human body with long-term energy storage?,Fats
chess,Chess engines and AI,Which neural-network based enhancement is abbreviated NNUE in chess engines?,NNUE
bacteria,CRISPR origins in bacteria,Which CRISPR type is widely used in gene editing and originates in bacteria?,Type II CRISPR-Cas
dogs,Dog shows and competitions,Which award goes to the top dog in a show group?,Best in Group
people,Human language origins,"In human language origins, which fossil evidence helps infer language ability?",Endocasts
united_states,US civil rights movement,Which U.S. president signed the Civil Rights Act into law?,Lyndon B. Johnson
lasers,Laser spectroscopy,What is the main advantage of laser spectroscopy over broadband methods?,higher sensitivity
people,Human pain perception,Which brain region processes human pain signals?,Somatosensory cortex
dogs,Dog diet and nutrition,Which form of dog food helps teething puppies?,Soft foods.
people,Human immune system,What is the most abundant antibody in human blood?,IgG.
cats,Cat behavior and body language,What does curiosity about a new object look like in a cat?,Stare and sniff.
bacteria,Bacterial diseases in humans,Which bacterium is a common cause of urinary tract infections in women?,Escherichia coli
paris,Eiffel Tower facts,How many legs support the Eiffel Tower at its base?,Four
obama,2012 reelection campaign,In what year did Obama win reelection to a second term?,2012
obama,Affordable Care Act,Which state's reform inspired the ACA under Barack Obama?,Massachusetts
bacteria,Quorum sensing in bacteria,What effect does quorum sensing have on bacterial biofilm development?,Controls biofilm formation
bacteria,Bacterial genetics and plasmids,Which plasmid-encoded protein initiates replication?,Rep protein
united_states,US state capitals,"In the United States, what is the capital of Colorado?",Denver
cats,Cat play behavior,Which feline body part is used to grab during cat play?,Paws
people,Human memory and learning,What type of memory fades fastest without rehearsal in humans?,Short-term memory
united_states,US military branches,In what year was the United States Air Force established?,1947
people,Human sleep science,What term describes the human body's daily sleep-wake cycle?,Circadian rhythm
the_moon,Future Moon colonization plans,What is the Moon's surface soil called?,Regolith
bacteria,History of bacteriology,What 19th-century scientist formulated the germ theory in relation to bacteria?,Louis Pasteur
people,Human migration patterns,What term describes the movement of people across international borders?,international migration
the_moon,Notable lunar scientists and astronomers,Which scientist described the Moon's surface features in the 17th century?,Christiaan Huygens
lasers,Laser cooling of atoms,What is the momentum change per photon in laser cooling of atoms called?,Photon recoil
people,Human teeth and dental facts,"In humans, what is the mineralized tissue that covers the tooth root called?",Cementum
bacteria,History of bacteriology,Which set of rules formalized the link between a bacterium and disease?,Koch's postulates
chess,Chess in education,Which program integrates chess into curricula?,Chess in Schools
bacteria,Bacterial flagella and motility,Which ion powers flagellar rotation in many bacteria?,protons
people,Human circadian rhythms,Which brain structure acts as the master clock in humans?,Suprachiasmatic nucleus.
bacteria,Conjugation and horizontal gene transfer,Can conjugation spread antibiotic resistance genes among bacteria?,"Yes, spreads resistance."
paris,Paris Olympics history,Which city hosted Olympic events when Exposition Universelle was held in Paris in 1900?,Paris
bacteria,Cell structure and morphology,"In Gram-negative bacteria, which molecule in the outer membrane acts as endotoxin?",Lipopolysaccharide (LPS)
the_moon,Moon in mythology and culture,What East Asian myth features a Moon rabbit?,Moon rabbit
bacteria,Bacteria in soil ecology,What mechanism moves plasmids between bacteria in biofilms?,Conjugation
the_moon,Artemis Moon program,Which agency leads the Artemis Moon program?,NASA
paris,Paris climate and weather,Coldest month in Paris?,January.
obama,Obama cultural impact,What is the signature health policy of the Obama administration?,Affordable Care Act
the_moon,Moon maria (seas) features,Which lunar mare is the Sea of Cold?,Mare Frigoris
lasers,Lasers in 3D printing,What is a key benefit of LIDAR-style scanning in 3D printing?,Depth sensing
cats,Wild cat species,Which wild cat species is the largest living cat?,Siberian tiger
cats,Cat domestication history,Which trade networks helped spread cats to Europe?,Mediterranean trade routes
united_states,US invention and innovation history,Which United States process enabled mass production of cars?,Assembly line
united_states,US Civil War key facts,What were the two sides in the United States Civil War?,Union and Confederacy
the_moon,Moon gravity compared to Earth,What percent of Earth gravity is Moon gravity?,Approximately 16.5%.
chess,Chess etiquette and sportsmanship,What should you do with your phone during a chess game?,Phone silenced.
chess,Classic chess books,The Art of Chess is a classic by which author?,James Mason
people,Human emotions and psychology,What does empathy mean in human psychology?,Understanding others' feelings
dogs,Dog memory and cognition,Do canines generalize memory across environments?,"Yes, generalization exists."
the_moon,Moon gravity compared to Earth,Moon gravity compared to Earth in weight for a person?,About one-sixth weight.
people,Human reflexes and instincts,What reflex makes a human infant suck when the roof of the mouth is touched?,Sucking reflex
bacteria,Biofilm formation,Which bacteria commonly form biofilms on teeth?,Streptococcus mutans
people,Human creativity and art origins,What term names the human capacity to create and imagine?,Creativity
chess,Garry Kasparov chess facts,What is Kasparov's peak classical Elo rating?,2851
lasers,Laser spectroscopy,What quantity is measured by laser absorption spectroscopy?,absorption cross-section
the_moon,Water ice on the Moon,What two ideas explain lunar ice origin?,Solar wind and comets
people,Human hand and grip evolution,What term describes the human hand's thumb opposition to fingers?,Thumb opposition
paris,Paris Olympics history,Which city lies on the Seine and has Olympic history?,Paris
people,Human lifespan across history,Which 20th-century medical advance increased human lifespan?,Antibiotics.
obama,Obama relationship with Congress,What major health reform did Barack Obama push through Congress?,Affordable Care Act
united_states,US census and demographic trends,What is the main census tool used to count residents for legislative apportionment in the United States?,decennial census
lasers,Fiber laser technology,What reflection confines light in a fiber laser?,Total internal reflection.
cats,Cat memory and cognition,Do Bengal cats have memory capabilities similar to domestic cats?,Similar
people,Human record-breaking physical feats,Who holds the human women's javelin world record?,Barbora Spotakova
dogs,Dog domestication history,What term describes early dogs before modern breeds?,Proto-dogs
paris,Paris and the Enlightenment,Which Paris publication published essays shaping public opinion during the Enlightenment?,Mercure de France
obama,Affordable Care Act,Who was HHS secretary in the Obama administration?,Kathleen Sebelius
bacteria,Bacterial infection treatment history,Which non-antibiotic agents were used historically to treat bacterial infections?,antiseptics
the_moon,Moon maria (seas) features,Which lunar mare is the Sea of Vapors?,Mare Vaporum
paris,Paris population and demographics,Does Paris have a higher population density than rural France?,Yes
the_moon,Lunar timekeeping systems,What term names a full cycle from New Moon to New Moon?,Lunation
dogs,Dog reproduction and puppies,What term describes a female dog that has not yet bred?,Intact female.
paris,Paris Metro system,Which Paris Metro line is fully automated?,Line 14
obama,Obama executive orders,Obama Executive Order 13658 sets a minimum wage for which workers?,Federal contractors.
paris,The Louvre Museum facts,When was the Louvre originally built as a fortress?,12th century
bacteria,Bacterial decomposition,What term describes the end products of bacterial mineralization of organic matter?,inorganic nutrients
chess,Chess middlegame strategy,What is the purpose of a king walk in the chess middlegame?,Activate king
people,Human circadian rhythms,Can humans have a circadian rhythm without light?,"Yes, free-running rhythm."
cats,Cat teeth and dental health,What term describes inflammation of the cat gums?,Gingivitis
lasers,Laser acronym origin and meaning,Name a common solid-state laser type.,Nd:YAG laser
united_states,US Great Depression facts,Which market event collapsed in 1929 in the United States?,Stock market
united_states,US transportation infrastructure,Which agency handles U.S. port security?,U.S. Coast Guard
dogs,Dog aging and senior care,Dog aging: When is a dog considered senior?,Around 7 years.
people,Human population milestones,When did the human population reach 8 billion?,2022
bacteria,Bacterial decomposition,"In biofilms, how do bacteria involved in decomposition adhere to surfaces?",EPS matrix
the_moon,Moon gravity compared to Earth,How does lunar gravity affect jump height?,Jumps are higher.
dogs,Herding dog breeds and behavior,What environment do most herding dogs work in?,Pastures
people,Human brain and cognition,"In humans, the left hemisphere typically handles which functions?",Language and logic
paris,Seine river facts and history,Which major Paris Left Bank museum is in a former railway station?,Musée d'Orsay
dogs,Dog swimming ability by breed,Which dog breed is famed for strong swimming?,Labrador Retriever
bacteria,Endospore formation,Where is the endospore DNA located during dormancy in bacteria?,in the core
obama,2008 presidential campaign,Barack Obama's 2008 campaign's first primary state victory was in which state?,Iowa
obama,Harvard Law School years,Barack Obama's JD from Harvard Law School was awarded in which year?,1991
lasers,Lasers in barcode scanners,What stimulated emission powers barcode scanner lasers?,stimulated emission
chess,Chess middlegame strategy,Which piece often becomes active in the chess middlegame?,Bishop
lasers,Laser skin treatments,What is a CO2 laser used for in skin treatment?,skin resurfacing
lasers,Laser-guided weapons,What term describes a laser beam that stays narrow over distance?,Low divergence.
the_moon,Moon effect on ocean tides,Which body's gravity drives Earth's lunar tides?,Moon
cats,Cat purring mechanics,Which structure vibrates to create a cat purr?,Vocal cords.
the_moon,Moon in literature and poetry,What Moon feature is used as a symbol of emptiness?,crater
lasers,Laser safety classifications,Which two M-designations exist in laser safety classification?,Class 1M and 2M
lasers,Laser tattoo removal,Which parameter is adjusted to target different pigment colors in laser tattoo removal?,Wavelength
lasers,Laser applications in agriculture,Which laser-based method detects plant water stress via infrared reflectance?,NIR spectroscopy
people,Human digestive system,"In humans, what are the end products of protein digestion?",Amino acids
chess,Chess piece movements and rules,Which chess piece can jump over other pieces?,Knight
obama,Obama education policies,Which Obama initiative aimed to boost STEM education nationwide?,Educate to Innovate
the_moon,Moon far side facts,Which spacecraft first photographed the Moon's far side?,Luna 3
cats,Cat size and weight ranges,What is the typical weight range for an adult cat?,4–5 kg
dogs,Dog tail docking and ear cropping history,Which organization promotes breed standards for dogs?,AKC
paris,Seine river facts and history,What is the French term for the Seine's riverfront walkways?,Quais
bacteria,Nitrogen-fixing bacteria,What enzyme catalyzes N2 reduction in nitrogen-fixing bacteria?,Nitrogenase
cats,Cat sleep patterns,Do whiskers move during cat sleep?,Sometimes
people,Human migration patterns,What policy addresses reunification of families moving with other humans across borders?,family reunification
paris,Paris film and cinema history,Which Paris district is a focal Amélie location?,Montmartre
united_states,US Civil War key facts,Which amendment guaranteed voting rights for African American men?,Fifteenth Amendment
dogs,Therapy and emotional support dogs,What is the role of scent in therapy canine work?,Scent cues emotions.
bacteria,Binary fission and reproduction,What process forms the division septum in bacterial binary fission?,Septum formation.
people,Human DNA and genetics,Which chromosome determines human male sex?,Y chromosome
chess,Chess and mathematics connections,Which technique helps chess engines manage the search space with increasing depth?,Iterative deepening
cats,Cat vaccinations,What is the typical booster interval for rabies in cats in many regions?,1 year
paris,Tuileries Garden facts,In which arrondissement is the Tuileries Garden primarily located?,1st arrondissement.
obama,Obama Nobel Peace Prize,What event marks Obama's formal acceptance of the Nobel Prize?,Nobel Prize ceremony
the_moon,Full moon names by month,What is the May full Moon name?,Flower Moon
people,Human growth and development stages,"In humans, what is the infancy stage?",Birth to 1 year
cats,Cat reproduction and kittens,What is the typical fertility onset in male cats?,6-12 months
chess,Chess strategy principles,What is tempo in chess strategy?,Forcing useful moves.
paris,Paris film and cinema history,What marks the first public cinema screening in Paris in 1895?,Lumière screening
the_moon,Moon photography history,What term describes assembling multiple lunar images into a wide view?,Mosaic
united_states,US state capitals,"In the United States, what is the capital of Hawaii?",Honolulu
lasers,Laser alignment tools,What instrument measures angular misalignment between two laser beams?,theodolite
the_moon,Astronauts who walked on the Moon,Who was the second person to walk on the Moon?,Buzz Aldrin
united_states,US Constitutional Amendments,The Third Amendment of the United States Constitution prohibits what practice?,quartering of soldiers
united_states,US cultural landmarks and monuments,Which United States executive residence is the official home of the president?,White House
united_states,US agriculture and farming facts,Which crop has the highest export value for the United States?,Soybeans
united_states,US healthcare system facts,Which US program provides health coverage for low-income individuals?,Medicaid
united_states,US major geographic features,Which US desert lies mostly in California and Nevada?,Mojave Desert
united_states,US Bill of Rights,Which amendment protects freedom of religion in the United States?,First Amendment
dogs,Dog allergies and sensitivities,What dog sign indicates a contact allergy?,Red skin or rash.
chess,Chess piece movements and rules,"In chess, how many squares can a knight reach from the center?",8
obama,Obama hobbies and personal interests,Barack Obama is an avid reader; what is this hobby called?,Reading
people,Human eye anatomy,What structure focuses light onto the retina in the human eye?,Lens
chess,Chess variants: blitz rapid and bullet,What is blitz chess time control?,3 minutes per side
chess,Blindfold chess,Blindfold chess: Which notation is used to record moves?,Algebraic notation
people,Human reproduction biology,What connects the human fetus to the placenta's blood supply?,Umbilical cord
paris,Notre-Dame Cathedral facts,Notre-Dame in Paris began construction in which year?,1163
bacteria,Bacterial decomposition,What enzyme do bacteria use to break down cellulose in plant litter?,cellulase
the_moon,Lunar rovers and vehicles,What feature on lunar rover wheels improves traction on regolith?,Grousers
cats,Cat allergies in humans,Does exposure to a kitten worsen cat allergy?,Yes.
obama,Harvard Law School years,In what year did Barack Obama become president of Harvard Law Review?,1990
obama,Obama political legacy,Which initiative promoted girls' education globally during Obama years?,Let Girls Learn
chess,Blindfold chess,Blindfold chess: What is the initial square of White's queen pawn?,d2
bacteria,Bacteria in water treatment,What term describes bacteria used in biological filtration of water?,biofiltration bacteria
cats,Cat vocalizations and meowing,Which cat vocalization can signal aggression beyond a hiss?,Growl
united_states,US military branches,Which United States military branch specializes in expeditionary amphibious warfare?,Marine Corps
chess,Pawn promotion rules in chess,Can a pawn promote to a king in chess?,No.
the_moon,Moon surface features and craters,What phenomenon floods a large Moon crater with basaltic lava?,lava flooding
people,Human pregnancy and birth,"In human birth, which procedure delivers a baby through the abdomen?",Cesarean section
bacteria,Bacterial genetic engineering uses,What term describes bacteria engineered to produce pharmaceuticals?,Recombinant bacteria
paris,Paris Commune of 1871,What event ended the Paris Commune?,Semaine sanglante
lasers,Laser pointer facts,What is the primary use of a laser pointer?,Presentation aid.
paris,Paris geography and the Seine river,Which river flows by Notre-Dame Cathedral in Paris?,Seine
united_states,US territorial expansion history,Which purchase added land in present-day Arizona and New Mexico to the United States?,Gadsden Purchase
obama,Community organizing in Chicago,In which Chicago area did Barack Obama primarily organize?,South Side
obama,Obama Foundation,Who is the namesake of the Obama Foundation?,Barack Obama
the_moon,Moon recession from Earth,What causes variation in Moon recession rate?,"Earth tides, ocean tides."
the_moon,Lunar Gateway space station,Which agency leads the Lunar Gateway project?,NASA.
paris,Paris art movements,Which Paris movement of the late 19th century pursued symbolic content in Paris?,Symbolism
cats,Big cats vs domestic cats,Domestic cats belong to which species?,Felis catus.
united_states,US invention and innovation history,Which United States breakthrough enabled long-distance electrical transmission via alternating current?,Alternating current
people,Human population milestones,When did the human population reach 5 billion?,1987
united_states,US involvement in World Wars,"Which WWII conference involved the United States, Britain, and the USSR on postwar plans?",Yalta Conference
bacteria,Bacterial diseases in humans,Which bacterium causes cholera?,Vibrio cholerae
cats,Cat hunting instincts,What is the first hunting behavior a cat typically shows?,Stalking.
cats,Cat respiratory system,What noise may indicate nasal obstruction in a cat?,Stertor
people,Human body organ systems,Which system controls body processes via hormones in humans?,Endocrine system
paris,Moulin Rouge history,Which rival cabaret is famous in Paris history?,Le Chat Noir
the_moon,Moon magnetic field,Do Moon regolith samples show magnetization?,Little or none.
bacteria,Bacterial genetics and plasmids,What is the origin of replication in plasmids abbreviated as?,ori
obama,Obama immigration policies,What term describes Obama’s enforcement approach prioritizing certain immigration cases?,priorities-based enforcement
paris,Paris in World War II,Who led the liberation of Paris?,General Leclerc
obama,2004 DNC keynote speech,What is Obama's full name?,Barack Obama
people,Human lifespan across history,What factor historically reduced human life expectancy the most?,High infant mortality.
bacteria,Bacterial bioluminescence,Is bacterial bioluminescence used as a genetic reporter?,Yes
paris,Paris immigrant communities,Which area is a traditional home to many African street markets in Paris?,Goutte d'Or
the_moon,Lunar Gateway space station,Which body does Lunar Gateway primarily serve?,The Moon.
dogs,Sled dogs and racing,Name a famous sled dog Balto?,Balto
paris,Paris in World War II,Which collaborationist newspaper circulated in Paris during occupation?,Paris-Soir
bacteria,Bacterial taxonomy and classification,Mycobacterium tuberculosis belongs to which bacterial phylum?,Actinobacteria
the_moon,Moon landing conspiracy theories debunked,Which mission first landed humans on the Moon?,Apollo 11
people,Human creativity and art origins,What term describes using symbols to convey meaning in human art?,Symbolic behavior
people,Human water and hydration needs,What quick indicator reflects hydration status in the human body?,Urine color.
chess,Online chess platforms,What is the fastest standard online chess time control?,Bullet
lasers,Laser pointer facts,What is the common wavelength for green laser pointers?,532 nm.
dogs,Dog communication with humans,Which dog breed is famed for reading human cues quickly?,Border Collie
united_states,US healthcare system facts,Which US health program covers most Americans 65 and older?,Medicare
chess,Chess origins and history,Who devised the chess rating system used today?,Arpad Elo
dogs,Dog breeding ethics,What is ethical regarding temperament in dog breeding?,Balanced temperament.
obama,Obama climate change policies,What is the final 2025 fuel economy target in miles per gallon under Obama standards?,54.5 mpg
people,Human hand and grip evolution,Which period shows early humans using tools and the hand adapting?,Paleolithic
chess,Chess composition and problems,What chess problem theme creates a mate by revealing a line through moving a piece?,Discovered mate
obama,Obama Foundation,What is the flagship project announced by the Obama Foundation?,Obama Presidential Center
bacteria,Bacterial colonies and culture techniques,What is a selective medium used for in bacteria?,Favors certain bacteria.
bacteria,Bacterial decomposition,Which plasmid-borne elements enable bacteria to degrade pollutants?,catabolic plasmids
obama,Community organizing in Chicago,What year did Barack Obama start his Chicago organizing work?,1983
people,Human digestive system,"In humans, what tube conveys food to the stomach?",Esophagus
lasers,Lasers in manufacturing and cutting,Which solid-state laser is widely used for micro-machining?,Nd:YAG laser
united_states,US Native American history,Which treaty in the United States defined the Great Sioux Reservation after Red Cloud's War?,Fort Laramie Treaty
cats,Cat whiskers function,What primary sense do whiskers provide cats?,Tactile sensing
the_moon,Full moon names by month,What is the July full Moon name?,Thunder Moon
united_states,US climate and weather patterns,Which United States region has the highest average precipitation along the Pacific coast?,Pacific Northwest
dogs,Therapy and emotional support dogs,What term describes a dog trained to help with anxiety?,Emotional support dog.
people,Human hand and grip evolution,Which hand feature distinguishes humans from other primates in grip?,Opposable thumb
dogs,Dog aging and senior care,What signs indicate canine cognitive dysfunction?,"Disorientation, pacing, and memory loss."
united_states,US social movements history,What movement campaigned for women's voting rights in the United States?,Women's suffrage movement
the_moon,Moon phases and lunar cycle,Which Moon phase comes after Waning Gibbous?,Last Quarter
dogs,Dog rescue and adoption,What benefit comes from adopting a rescue dog?,gives dog a home
the_moon,Moon effect on ocean tides,Moon gravity drives Earth's tides?,Moon's gravity
united_states,US census and demographic trends,Which census measure indicates overcrowded housing in the United States?,housing overcrowding
chess,Chess in literature,Which Stefan Zweig short story centers on two chess players?,The Chess Players
lasers,Laser welding technology,Which gas is commonly used as assist gas in laser welding?,Argon.
dogs,Dog aging and senior care,Why are orthopedic beds good for older dogs?,Relieve joint pain.
bacteria,Gram-positive vs gram-negative bacteria,Gram-negative bacteria have which molecule in their outer membrane?,LPS (lipopolysaccharide)
united_states,US sports and major leagues,Which United States league conducts the NBA Finals?,National Basketball Association
obama,Columbia University years,Barack Obama studied in which major at Columbia?,Political science
obama,Michelle Obama partnership,Where did Barack Obama complete his undergraduate education?,Columbia University
united_states,US Cold War involvement,What 1957 Soviet satellite spurred the United States to create NASA?,Sputnik
the_moon,Moon formation theories,Which mission program brought back Moon rocks for study?,Apollo program.
cats,Cat memory and cognition,Can a kitten recall the hiding place of a treat?,Yes
obama,Obama military decisions,How many additional troops did Obama authorize for Afghanistan in 2009?,"30,000"
paris,Paris literary history,Name the Paris quarter that became a postwar literary hub for existentialists?,Saint-Germain-des-Prés
chess,Chess composition and problems,What is a chess problem where White forces Black to mate White?,Selfmate
lasers,Semiconductor diode lasers,What industry relies on diode lasers for long-haul data transmission?,telecommunications
chess,Chess strategy principles,What is an outpost in chess strategy?,Strong square for a piece.
chess,Chess openings and theory,Najdorf Variation belongs to which opening?,Sicilian Defense
dogs,Dog shows and competitions,Which organization sponsors many U.S. dog shows?,American Kennel Club
dogs,Police and military dogs,What is the unit called that uses police dogs in a police department?,K9 unit
dogs,Police and military dogs,What indicates a find by a police dog?,Alert
united_states,US education system,What is the standard length of a U.S. college year?,Two semesters.
chess,Chess composition and problems,What chess problem theme lures a defending piece away to a key square?,Decoy
bacteria,Bacterial ribosomes,Which class of antibiotics blocks translocation by binding the bacterial 50S subunit?,Macrolides
cats,Cats and water relationship,Can cats swim?,Some can; not all.
the_moon,Moon lack of atmosphere,How does lack of atmosphere affect lunar dust?,Electrostatic levitation
cats,Cat health and common diseases,What parasite commonly causes itching in cats?,Fleas
lasers,Laser engraving and etching,What helps prevent scorching of materials during laser engraving?,Air assist
people,Human emotions and psychology,What process lets people read others' facial expressions?,Emotion recognition
lasers,Lasers in nuclear fusion research,"In ICF, lasers heat a hohlraum to drive compression.",hohlraum
lasers,Lasers in medicine and surgery,Which laser coagulates tissue in transurethral prostate procedures?,Nd:YAG laser
lasers,Nobel Prizes related to lasers,What laser-based instrument won the 2018 Nobel Prize?,Optical tweezers
the_moon,Moon treaties and space law,What treaty governs the Moon's peaceful use and bans national claims?,Outer Space Treaty
chess,Chess strategy principles,What is the primary goal of castling in chess?,King safety.
obama,Obama education policies,Which act did Michelle Obama champion to improve school meals?,"Healthy, Hunger-Free Kids Act"
people,Human growth and development stages,"In humans, which stage marks the transition from dependence to independence?",Adolescence
obama,Obama Supreme Court nominations,Which body confirmed Barack Obama's Supreme Court nominees?,The Senate
chess,Chess middlegame strategy,Why must the king remain safe after castling in the middlegame?,Tactics can still threaten it
chess,Women in chess history,What organization governs international chess titles like GM and IM?,FIDE
people,Human cooperation and social behavior,What term describes coordinated action among people to complete tasks?,teamwork
cats,Domestic cat breeds,Chartreux cats are famous for which eye color?,Copper eyes.
lasers,Lasers in entertainment and light shows,What term describes the uniform phase of laser light?,Coherence.
people,Human pain perception,"Which nerve fibers carry slow, dull pain in humans?",C fibers
obama,Michelle Obama partnership,What title does Michelle Obama hold after Barack Obama's presidency?,Former First Lady
cats,Cat health and common diseases,What eye-condition results from high blood pressure in cats?,Hypertensive retinopathy
united_states,US Supreme Court landmark cases,Which US Supreme Court case protected student speech in public schools?,Tinker v. Des Moines
chess,Chess Elo rating system,Are rapid and blitz Elo ratings separate from standard Chess Elo?,"Yes, separate lists"
chess,Chess in different cultures,"Which culture produced Kasparov, a legendary chess champion?",Russia
united_states,US Civil War key facts,Which amendment to the United States Constitution abolished slavery?,Thirteenth Amendment
chess,Chess pattern recognition,What is the classic bishop sacrifice pattern on h7 in chess known as?,Greek gift
chess,Chess in education,What is the term for ending a game with checkmate?,Checkmate
paris,Paris geography and the Seine river,Which river defines central Paris geography with many quays?,Seine
bacteria,Bacterial vaccines,What distinguishes a bacterial conjugate vaccine from plain polysaccharide vaccine?,Protein-linked for T-cell help.
dogs,Dog diet and nutrition,Which dog group benefits from higher protein intake?,Working dogs.
obama,Iran nuclear deal under Obama,What enrichment limit did the Obama-era JCPOA impose?,Enrichment limits
lasers,Laser coherence properties,Name a solid-state laser with strong coherence used in holography.,ruby laser
obama,Obama approval ratings over time,Which event in 2013 coincided with a drop in Obama approval?,government shutdown
obama,Obama speeches and rhetoric style,Which rally chant from the 2008 campaign is widely remembered in Obama speeches?,"Fired up, ready to go"
obama,Obama technology and innovation policies,Which platform did the Obama administration release government data on for public use?,Data.gov
dogs,Dog aging and senior care,Which activity suits senior dogs' mobility?,Low-impact walks.
