concept,subtopic,q,a,b,c,d,ans
united_states,US currency and Federal Reserve,"In the United States, which body oversees monetary policy?",FOMC,Congress,Treasury,OMB,a
chess,Online chess platforms,Which online chess platform offers 'Arena' games and is run by ChessBase?,Playchess,Chess.com,Lichess,Chess24,a
united_states,US Bill of Rights,"In the united_states, which amendment prevents a person from being forced to testify against themselves?",Seventh Amendment,Sixth Amendment,Fifth Amendment,Ninth Amendment,c
people,Human memory and learning,Which researcher worked with HM and helped establish memory neuropsychology?,Karl Lashley,Brenda Milner,Eric Kandel,Endel Tulving,b
paris,Paris governance and mayors,What body governs Paris at city level?,Conseil de Paris,Conseil Général,Sénat,Assemblée Nationale,a
bacteria,Archaea vs bacteria,"In bacteria, outer membrane component of Gram-negative cells is which molecule?",teichoic acids,lipopolysaccharide,peptidoglycan,capsule,b
bacteria,Bacterial colonies and culture techniques,Which agar medium is selective for Gram-positive bacteria?,MacConkey,Blood agar,Mannitol Salt Agar,EMB,c
paris,Paris parks and gardens,Which Paris garden has the Grande Cascade fountain?,Parc Monceau,Jardin du Luxembourg,Jardin des Tuileries,Parc Belleville,c
people,Human record-breaking physical feats,Who set the long jump world record at 8.95 meters in 1991?,Carl Lewis,Bob Beamon,Mike Powell,Leroy Burrell,c
cats,Cat training techniques,Which is a common reward for cats' training sessions?,Time-out,Scolding,Treat,Cozy nap,c
united_states,US state capitals,"In the united_states, what is the capital of Alabama?",Mobile,Birmingham,Montgomery,Huntsville,c
cats,Cat vaccinations,A common mild post-vaccination reaction in cats is what?,Hair loss,Severe coughing,Mild fever,Severe itching,c
dogs,Dog tail docking and ear cropping history,What is the term for shortening a dog's tail?,tail cropping,tail trimming,tail clipping,tail docking,d
the_moon,Moon libration phenomenon,the_moon longitude libration is greatest near what orbital point?,full moon,apogee,new moon,perigee,d
united_states,US largest cities by population,"In the United States, which city is largest by population in New York State?",Buffalo,Yonkers,New York City,Rochester,c
bacteria,Bacterial DNA replication,"In bacteria, which protein delays replication reinitiation by binding hemi-methylated DNA?",SeqA,DnaA,MutS,Gyrase,a
people,Human reproduction biology,Who first observed human sperm under a microscope?,Antonie van Leeuwenhoek,Louis Pasteur,Robert Koch,Charles Darwin,a
paris,Palace of Versailles connection to Paris,Which UNESCO site near Paris includes Versailles and the Trianon?,Châteaux Versailles et Trianon,Louvre and Tuileries,Fontainebleau and Vaux,Saint-Denis and Vincennes,a
obama,Books authored by Obama,Which Barack Obama memoir covers his early life and identity?,The Audacity of Hope,Dreams from My Father,A Promised Land,The Light We Carry,b
dogs,Dog population statistics worldwide,Are most dogs worldwide kept in households or shelters?,Shelters,Households,Both equally,Unknown,b
lasers,Quantum cascade lasers,What advantage do QCLs have over traditional diode lasers?,color mixing,mid-IR reach,cheaper,simpler,b
paris,Paris tourism statistics,"In Paris, which neighborhood is a top destination for tourists and historic markets?",18th,5th,7th,1st,d
the_moon,Moon landing conspiracy theories debunked,the_moon flag motion on the_moon was used by conspiracists; which fact debunks it?,No wind,Inertia of flag,Rocket blast,Earth wind,a
cats,Cat superstitions and folklore,Which color of cat is most associated with witches in Western folklore?,Black,White,Gray,Calico,a
united_states,US presidents list and facts,"In the united_states, who was the first president?",John Adams,George Washington,Thomas Jefferson,James Madison,b
the_moon,Moon temperature extremes,What is the nighttime low temperature on the_moon's surface?,-80°C,-100°C,-50°C,-173°C,d
cats,Cat reproduction and kittens,"In cats, what is the average gestation period for a litter?",90 days,30 days,63 days,120 days,c
united_states,US sports and major leagues,"In the united_states, which NFL team plays in Green Bay?",Minnesota Vikings,Green Bay Packers,Chicago Bears,Detroit Lions,b
cats,Cats in internet culture,Which term refers to a weekly cat meme day online?,Caturday,Catday,Meowday,Feline Friday,a
dogs,Guide dogs for the blind,What is a common task a guide dog performs for its blind owner?,Brings food,Guides through doors,Guards yard,Barks at strangers,b
paris,Moulin Rouge history,"In Paris, the can-can became iconic through Moulin Rouge in which decade?",1870s,1890s,1910s,1930s,b
bacteria,Bacterial genetic engineering uses,Which organism is most commonly used as host in bacterial genetic engineering?,bacteria,yeast,plant cells,mammalian cells,a
people,Human aging biology,Who did early caloric restriction aging studies in primates?,Elizabeth Blackburn,Roy Walford,Lawrence Altman,Leonard Hayflick,b
bacteria,Bacterial cell wall composition,"In bacteria, which molecule forms the outermost layer of Gram-negative walls?",Peptidoglycan,Teichoic acid,Capsule,Lipopolysaccharide,d
the_moon,Moon effect on ocean tides,the_moon creates a bulge on Earth's oceans called what?,Currents,Tsunami,Tidal bulge,Waves,c
paris,Paris theater and opera history,"In Paris, which theatre is known as the Odéon?",Theatre des Variétés,Theatre du Châtelet,Theatre de la Ville,Theatre de l'Odéon,d
lasers,Laser tattoo removal,Laser tattoo removal uses what process to break ink into particles?,Cryolysis,Photolysis,Photothermolysis,Ablation,c
united_states,US economy and GDP facts,"In the united_states, government consumption and investment typically make up about what share of GDP?",10%,20%,30%,40%,b
cats,Cat vaccinations,Indoor cats may skip which vaccine?,FeLV,Rabies,FVRCP,FIV,a
obama,Obama campaign fundraising strategy,Obama's 2008 fundraising leveraged which media channel?,Radio spots,TV ads,Email fundraising,Newspapers,c
lasers,Laser safety classifications,Which laser class requires eyewear for direct beam exposure in most labs?,Class 1,Class 2,Class 3R,Class 3B,d
bacteria,Beneficial gut bacteria,Which gut bacteria are major producers of acetate in the gut?,Escherichia coli,Bifidobacterium,Campylobacter,Streptococcus,b
paris,Paris bookshops and publishing history,"Which Paris library houses manuscripts and rare books, named Bibliothèque de l'Arsenal?",Bibliothèque de l'Arsenal,BNF,Institut du Monde Arabe,Sainte-Geneviève,a
paris,Paris tourism statistics,"In Paris, which museum is second in attendance after the Louvre?",Centre Pompidou,Mus,Grand Palais,Quai Branly,b
chess,Chess grandmaster title requirements,"In chess, which of these is a prerequisite for the GM title?",One norm,Two norms,Three norms,Four norms,c
united_states,US Cold War involvement,The united_states announced which policy to counter communism worldwide?,Marshall Plan,Monroe Doctrine,Containment,Truman Doctrine,d
the_moon,Astronauts who walked on the Moon,Which Moon-walker was the lunar module pilot on Apollo 14?,Edgar Mitchell,Alan Shepard,David Scott,James Irwin,a
bacteria,Cell structure and morphology,Which cellular region in bacteria is a circular DNA molecule often carrying antibiotic resistance?,Chromosome,Plasmid,Nucleoid,Ribosome,b
bacteria,Probiotic bacteria,Which bacteria genus includes common probiotic species with beneficial gut effects?,Lactobacillus,Escherichia,Staphylococcus,Bacillus,a
dogs,Dog diet and nutrition,Which grain is commonly fed to dogs?,Cherries,Raisins,Oats,Soy,c
bacteria,History of bacteriology,What technique did Gram develop to classify bacteria?,Gram stain,Streak plate,Culture tube,Capsule stain,a
chess,Classic chess books,Which Réti book is a 1923 collection of his best games in chess?,Reti's Theory,Reti's Best Games,Strategy of Chess,Best Games in Chess,b
united_states,US flag history and symbolism,"In united_states flag, how many stripes are on the United States flag?",14,13,15,12,b
chess,Chess and cognitive science research,"In chess research, which cognitive skill best predicts expert move choice?",Processing speed,Working memory,Verbal IQ,Musical pitch,b
united_states,US Great Depression facts,"In the united_states, which act sought to set fair prices and codes for industry?",Social Security Act,Agricultural Adjustment Act,Public Works Act,National Industrial Recovery Act,d
paris,Luxembourg Gardens facts,"In Paris, the Luxembourg Gardens are named after which building?",Louvre,Pantheon,Luxembourg Palace,Sorbonne,c
chess,Chess tournaments and major competitions,"In chess, which event crowns the World Under-20 Champion?",World Championship,World Cup,World Junior Championship,Grand Prix,c
paris,Paris and the Enlightenment,"In Paris, which court censorship body played a central role in the 18th century?",Cour des Miracles,Conseil d'État,Parlement de Paris,Cour Royale,c
bacteria,Chemotaxis in bacteria,Where are MCPs typically organized in bacterial membranes?,Random,Along walls,Clusters at poles,Inside cytoplasm,c
obama,Affordable Care Act,Obama's ACA aimed to reduce uninsured numbers; who led this effort?,Clinton,Trump,Biden,Obama,d
cats,Cat hunting instincts,Cats use which sense to locate prey by sound?,Smell,Heat,Color,Sound,d
cats,Cat training techniques,Which training tool helps mark the exact moment cats perform a desired action?,Treat,Voice cue,Leash,Clicker,d
bacteria,Chemotaxis in bacteria,"In bacteria, which receptors sense chemotaxis signals?",Ribosomes,MCP receptors,DNA polymerase,Spindles,b
dogs,Herding dog breeds and behavior,"Which large, shaggy herding dog?",Husky,Corgi,Beagle,Old English Sheepdog,d
cats,Wild cat species,"Among wild cats, which is highly arboreal in the Americas?",Jaguar,Margay,Ocelot,Puma,b
obama,Teaching at University of Chicago,Which state houses the University of Chicago where Obama taught?,Illinois,California,New York,Michigan,a
cats,Big cats vs domestic cats,Which is the largest of the big cats?,Lion,Leopard,Jaguar,Tiger,d
cats,Cat cardiovascular system,"In cats, which chamber pumps blood to the systemic circulation?",Left ventricle,Left atrium,Right ventricle,Right atrium,a
dogs,Dog sleep patterns,Can dogs sleep in multiple positions?,No,Yes,Sometimes,Never,b
united_states,US major geographic features,Which Great Lake is shared by the United States and Canada and is the largest by surface area?,Lake Superior,Lake Michigan,Lake Huron,Lake Erie,a
united_states,US transportation infrastructure,"In the United States, which airport has the most passengers?",Chicago O'Hare,Los Angeles,Atlanta,Dallas/Fort Worth,c
bacteria,Bacterial colonies and culture techniques,Which method preserves bacteria by freeze-drying?,lyophilization,pasteurization,autoclaving,refrigeration,a
chess,En passant rule in chess,"In chess, can en passant be saved for a later move?",yes,no,sometimes,only if check,b
the_moon,First humans on the Moon,"On the_moon, what phrase was spoken after touchdown?",We have arrived,One small step,Hello Earth,The Eagle has landed,d
the_moon,Moon influence on calendars,"In the_moon lunisolar calendars, what cycle adjusts months to stay in sync with the year?",Metonic cycle,Solar year,Leap week,Moon phase,a
people,Human tool use history,"Who discovered Lucy, the Australopithecus afarensis skeleton?",Tim White,Donald Johanson,Raymond Dart,Eugène Dubois,b
lasers,Laser tattoo removal,Which laser is preferred for resistant black tattoos?,Nd:YAG 1064 nm,Ruby 694 nm,CO2 10600 nm,Excimer 308 nm,a
obama,Obama immigration policies,DACA renewals could be issued for how long under Obama?,two years,four years,six years,indefinite,a
obama,Obama daughters Sasha and Malia,Which statement is true about Sasha and Malia Obama?,They are Barack Obama's nieces,They are Barack Obama's cousins,They are Barack Obama's daughters,They are Barack Obama's granddaughters,c
cats,Cat vaccinations,Which vaccine is recommended for cats with outdoor access?,Rabies,FeLV,FVRCP,FIV,b
dogs,Dog nose and scent ability,Which sense do dogs use to find missing persons in disasters?,Smell,Sight,Hearing,Taste,a
people,Human memory and learning,Which ancient thinker is credited with the memory technique 'method of loci'?,Simonides,Aristotle,Plato,Pythagoras,a
chess,Chess endgame principles,"In chess endgames, Philidor position is for?",trick,attack,promotion,defense of rook endgame,d
the_moon,Moon in literature and poetry,The_moon is often used to symbolize which poetic device?,irony,alliteration,metaphor,satire,c
united_states,US flag history and symbolism,"In united_states, as of 1960, how many stars appear on the United States flag?",50,49,51,52,a
paris,Paris tourism statistics,"According to Paris tourism statistics, which city is its main European rival by international visitors?",Madrid,Rome,London,Berlin,c
lasers,Lasers in medicine and surgery,Which laser is commonly used for retinal photocoagulation?,Nd:YAG laser,CO2 laser,Argon laser,Er:YAG laser,c
lasers,Excimer laser facts,"In excimer lasers, what is paired with noble gas?",halogen gas,nitrogen,oxygen,water vapor,a
people,Human teeth and dental facts,"Who discovered X-rays, enabling dental imaging?",Wilhelm Roentgen,Thomas Edison,Louis Pasteur,Marie Curie,a
people,Human nutrition requirements,Which scientist is known for early energy expenditure research and the Benedict baseline?,Carl Voit,Wilbur Olin Atwater,Francis Gano Benedict,Max Rubner,c
lasers,Laser skin treatments,Which laser is used to treat vascular skin lesions like port-wine stains?,Pulsed dye laser,Nd:YAG,CO2 laser,Er:YAG,a
cats,Cat whiskers function,What do whiskers help detect when cats stalk prey?,sound of feet,scent of prey,color of fur,air currents,d
people,Human immune system,Who discovered Toll-like receptors in innate immunity?,Bruce Beutler,Jules Hoffmann,Ralph Steinman,Peter Medawar,b
obama,2008 presidential campaign,What was Obama's campaign slogan in 2008?,Yes We Can,Change We Believed In,Forward Together,Hope and Change,a
people,Human blood types,Which scientist helped lay groundwork for crossmatching?,Charles Drew,Ludwik Hirszfeld,Alexander Wiener,Karl Landsteiner,d
chess,Pawn promotion rules in chess,"In chess, can a pawn promote to a knight?",Yes,No,Only if,Not allowed,a
lasers,Fiber laser technology,"Compared to bulk lasers, fiber lasers are typically?",Less efficient,Less stable,Louder,More compact,d
obama,Iran nuclear deal under Obama,"Obama’s JCPOA included a mechanism to reimpose sanctions if Iran violated terms, called what?",veto,snapback,override,roll-back,b
united_states,US involvement in World Wars,Which passenger ship's sinking helped bring the United States into World War I?,Lusitania,Titanic,Britannic,Queen Mary,a
chess,Chess Elo rating system,"In chess Elo, what is the purpose of a rating floor?",Favor beginners,Increase speed,Hide weaknesses,Prevent negatives,d
lasers,Excimer laser facts,Common gain medium pair in excimer lasers?,Krypton oxide,Neon fluoride,Hydrogen chloride,Argon fluoride,d
chess,Chess in film and television,Magnus is a documentary about which game?,chess,go,poker,bridge,a
cats,Cat whiskers function,Do cats rely on whiskers to gauge if they can pass through openings?,grow teeth,hear through walls,scent,gauge width,d
paris,Paris cafés and café culture,"In Paris, which grand opera district café is famous for ornate interiors near the Opera Garnier?",Café de la Paix,Angelina,Café Verlet,Le Dôme,a
bacteria,Extremophile bacteria,Which extremophile bacteria is a deep-branching thermophile used to study ancient life?,Chloroflexus aurantiacus,Thermus aquaticus,Deinococcus radiodurans,Aquifex aeolicus,d
bacteria,Bacteria vs viruses differences,Which is often considered non-living in the bacteria vs viruses comparison?,bacteria,viruses,both,none,b
lasers,Lasers in military applications,Which device in military lasers provides range and target designation?,spectral scanner,laser rangefinder,night vision,missile launcher,b
bacteria,Extremophile bacteria,Which extremophile bacteria is a thermophilic green non-sulfur bacterium from hot springs?,Thermus aquaticus,Chloroflexus aurantiacus,Salinibacter ruber,Aquifex aeolicus,b
obama,Obama State of the Union addresses,Obama proposed free community college in which State of the Union?,2013,2015,2014,2016,b
paris,Paris population and demographics,Paris metropolitan area is commonly referred to as what?,Greater Paris,Grand Paris,New Paris,Paris City Expanded,b
chess,Chess clocks and time controls,What does increment do to your clock in chess?,resets,reduces time,adds per move,stops clock,c
paris,Paris universities and the Sorbonne,Which Paris university's name includes Sorbonne and is a major humanities institution?,Université Paris 4,Université Paris 1,Sorbonne University,Université Paris 2,c
obama,Awards and honors received by Obama,Which notable award did Obama receive from the American Academy of Achievement?,Nobel Prize,Golden Plate Award,Pulitzer Prize,Booker Prize,b
chess,Correspondence chess history,What term is used for chess played by mail or electronic messages over long periods?,rapid chess,blitz chess,arena chess,correspondence chess,d
lasers,Fiber laser technology,"In fiber lasers, what is the common gain medium?",Nd:YAG rod,Er-doped crystal,Yb-doped fiber,CO2 gas,c
united_states,US time zones,"In the United States, which time zone is used by Los Angeles?",Eastern Time,Mountain Time,Pacific Time,Atlantic Time,c
paris,Paris literary history,Marcel Proust's In Search of Lost Time is largely set in which city?,Paris,Lyon,Nice,Marseille,a
lasers,Laser speed and light properties,"In a laser experiment, light slows most in",glass,air,water,vacuum,a
lasers,Ruby laser history,What is the gain medium in a ruby laser?,ruby crystal,germanium,silicon,quartz,a
obama,Obama education policies,Obama backed PAYE to cap loan payments at what percent of income?,20%,15%,5%,10%,d
obama,Obama administration controversies,Which Obama era controversy occurred during the 2013 government shutdown?,Benghazi,IRS,Budget standoff,Drones,c
obama,Obama foreign policy and diplomacy,"Under Obama, the JCPOA required inspections by which agency?",IAEA,FBI,UNHCR,WHO,a
united_states,US mountain ranges,"In the United States, which range is the longest continuous chain in the contiguous states?",Rocky Mountains,Appalachian Mountains,Sierra Nevada,Cascade Range,b
lasers,Lasers in space exploration,What laser technology enables long-range optical links between spacecraft and Earth?,Radio,Laser communication,Microwave,Fiber,b
obama,Obama climate change policies,Obama restricted new coal leasing on federal lands?,Partly,No,Yes,Unclear,c
lasers,Laser spectroscopy,"In laser absorption spectroscopy, which parameter is scanned to map the spectrum?",Polarization,Beam diameter,Pulse energy,Wavelength,d
the_moon,Moon resource mining potential,"On the_moon, which resource is most targeted for mining?",Silicon,Helium-3,Iron,Water ice,d
lasers,Laser cavities and mirrors,"In a laser cavity, what sets the free spectral range of the cavity?",Wavelength,Gain,Length,Temperature,c
bacteria,Bacterial diseases in humans,Which bacteria causes Lyme disease?,Bacillus anthracis,Streptococcus pyogenes,Borrelia burgdorferi,Leptospira interrogans,c
cats,Oldest cat breeds,Which cat breed is a natural Egyptian breed?,Egyptian Mau,Persian,Abyssinian,Siamese,a
chess,Chess composition and problems,"In chess composition, what is a chess study?",A study theme,Quick mate,Endgame table,Opening trap,a
people,Human pregnancy and birth,Who was the first person born via in vitro fertilization?,Jane Roe,Mary Shelley,Louise Brown,Bridget Jones,c
dogs,Dog communication with humans,A dog with ears forward and leaning toward a person is signaling:,Interest,Disinterest,Fear,Boredom,a
dogs,Sled dogs and racing,What breed is a classic sled dog?,Beagle,Labrador,Siberian Husky,Poodle,c
cats,Cats and toxoplasmosis,What parasite name causes toxoplasmosis in cats?,Neospora,Giardia,Toxoplasma gondii,Plasmodium,c
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria uses leghemoglobin in root nodules?,Bacillus,Escherichia,Rhizobium,Staphylococcus,c
chess,Chess prodigies,Which chess prodigy known for attacking play became World Champion in 1960?,Boris Spassky,Anatoly Karpov,Tigran Petrosian,Mikhail Tal,d
lasers,Nobel Prizes related to lasers,Which scientist won the 2023 Nobel Prize in Physics for attosecond physics using lasers?,Willard Boyle,Pierre Agostini,Stefan Hell,Eric Betzig,b
paris,Paris Metro system,"In Paris, Saint-Augustin is a station on which line?",Line 7,Line 9,Line 12,Line 2,b
lasers,Laser cooling of atoms,What is the effect of increasing laser intensity at red detuning on cooling rate?,Ionization,Lower scattering rate,No change,Higher scattering rate,d
chess,Speed chess records,"In speed chess, what is the two-move mate often used as a beginner example?",Opera mate,Scholar's mate,Fool's mate,Smothered mate,c
people,Human blood types,In what year did Landsteiner publish the ABO discovery?,1910,1898,1905,1901,d
united_states,US currency and Federal Reserve,Who is on the United States fifty-dollar bill?,Ulysses S. Grant,Benjamin Harrison,James Madison,George Washington,a
lasers,Nobel Prizes related to lasers,Which method is a key concept behind the 2014 Chemistry Nobel Prize in super-resolved fluorescence microscopy using lasers?,STED,X-ray crystallography,NMR,Mass spectrometry,a
bacteria,Famous bacteriologists,Which bacteriologist helped establish the role of vectors in bacterial disease transmission?,Alexander Fleming,Robert Koch,Louis Pasteur,Theobald Smith,d
obama,Obama administration controversies,Which Obama era controversy involved DACA immigration actions?,Benghazi,IRS,DACA,Drones,c
obama,Obama post-presidency activities,In what year was the Obama Foundation established?,2008,2010,2016,2014,d
obama,Iran nuclear deal under Obama,Which time frame did Obama say the JCPOA would block breakout for?,15 years,5 years,1 year,25 years,a
bacteria,Famous bacteriologists,Which bacteriologist co-discovered Helicobacter pylori as a cause of ulcers?,Robin Warren,Barry Marshall,Robert Koch,Hans Zinsser,a
paris,Paris parks and gardens,Which Paris park features a large lake and is in the 14th arrondissement?,Parc Montsouris,Parc de Belleville,Bois de Boulogne,Parc de Vincennes,a
obama,Obama education policies,Obama backed Title II funds to support what?,Teacher training,Facilities,Research,Athletics,a
the_moon,Lunar Gateway space station,The_moon: The PPE on the Lunar Gateway around the_moon provides what?,Propulsion module,Propulsion and Power,Power unit,Power and Propulsion Element,d
obama,Illinois state senate career,In what year did Obama win the Illinois Senate election for the 13th district?,1994,1998,1996,2000,c
united_states,US Great Depression facts,"In the united_states, which project improved infrastructure by building dams and power plants in the Tennessee Valley?",Tennessee Valley Authority,Works Progress Administration,Civilian Conservation Corps,Rural Electrification Administration,a
obama,Cuba relations normalization under Obama,"Under Obama, when were U.S. and Cuba embassies reopened?",Aug 2015,Dec 2014,Jan 2016,July 2015,d
chess,Deep Blue vs Kasparov match,"In chess, what was Kasparov's reaction after 1997 match?",denial,celebration,indifference,controversy,d
dogs,Dog shows and competitions,What is the term for a dog show that features many breeds?,Specialty,Group,All-breed,Exhibition,c
bacteria,Antibiotic resistance mechanisms,"In bacteria, target modification via methylation reduces binding of which drug class?",Efflux,Beta-lactamases,Porin loss,Methylation of 23S rRNA,d
united_states,US international relations,The united_states is a permanent member of which body?,World Bank,WTO,UN Security Council,IMF,c
paris,Paris catacombs facts,When did bones begin to be moved to the Catacombs of Paris?,1786,1809,1777,1795,a
the_moon,Moon impact on Earth rotation,"If the_moon suddenly vanished, Earth's day would",lengthen,shorten,stay,reverse,b
the_moon,Full moon names by month,"In the_moon, June's full moon is called which?",Wolf Moon,Buck Moon,Sturgeon Moon,Strawberry Moon,d
people,Human emotions and psychology,Which psychologist studied obedience to authority in people?,Rosenthal,Zimbardo,Bandura,Milgram,d
paris,Tuileries Garden facts,Who commissioned the Tuileries Garden in Paris?,Catherine de' Medici,Louis XIV,Marie Antoinette,Napoleon,a
cats,Oldest cat breeds,Which ancient African-origin breed has a ticked coat?,Manx,Egyptian Mau,Persian,Abyssinian,d
united_states,US states count and admission order,"In the united_states, which state was the 13th admitted to the union?",Maine,Delaware,Rhode Island,Vermont,c
bacteria,Staphylococcus species,"In bacteria, which Staphylococcus species is a common cause of urinary tract infections in young women?",S. aureus,S. epidermidis,S. saprophyticus,S. lugdunensis,c
bacteria,Aerobic vs anaerobic bacteria,Which term describes bacteria that require low oxygen?,aerotolerant,obligate aerobe,anaerobe,microaerophile,d
the_moon,Moon maria (seas) features,"On the_moon, Apollo 11 landed in which mare?",Mare Serenitatis,Mare Nubium,Mare Imbrium,Mare Tranquillitatis,d
dogs,Dog allergies and sensitivities,Dogs with seasonal allergies flare in which season?,Winter,Summer,Fall,Spring,d
cats,Cat purring mechanics,Cat purring may do what for pain and healing?,Worsen pain,No effect,Increase pain,May aid healing,d
chess,Deep Blue vs Kasparov match,"In chess, which years did the Deep Blue vs Kasparov match take place?",1996-97,1995-96,1997-98,1998-99,a
obama,Obama cultural impact,Who created the iconic Obama 'Hope' poster?,Shepard Fairey,Banksy,Damien Hirst,Roy Lichtenstein,a
lasers,Laser safety classifications,Which laser class requires protective eyewear due to direct exposure hazards?,Class 3B,Class 2,Class 3R,Class 1,a
paris,Paris tourism statistics,"In Paris, which attraction has the largest art collection?",Orsay,Louvre,Pompidou,Quai Branly,b
united_states,US largest cities by population,"In the United States, which city is largest by population in Colorado?",Aurora,Colorado Springs,Denver,Thornton,c
people,Human microbiome,"In people, which kingdom do most gut microbes belong to?",Fungi,Archaea,Bacteria,Viruses,c
lasers,Laser wavelengths and spectrum,Which laser is highly tunable by cavity length?,HeNe laser,Nd:YAG,CO2 laser,External cavity diode laser,d
paris,Paris governance and mayors,What is Paris's status within the Île-de-France region after 2016?,Metropole du Grand Paris,Department,Region,City,a
chess,Famous chess world champions,"In chess, who was World Champion from 1963 to 1969?",Tal,Smyslov,Karpov,Petrosian,d
chess,Chess set design history,"In chess set history, which label is associated with the early Staunton set in London?",Duberry,Staunton,Jaques,Parke,c
lasers,How lasers work and stimulated emission,Which emission process seeds the laser field to start amplification?,Stimulated emission,Spontaneous emission,Absorption,Scattering,b
obama,Obama State of the Union addresses,Obama proposed closing tax loopholes to pay for investments in which State of the Union?,2010,2011,2013,2012,d
bacteria,Bacterial size and scale,Bacteria are typically measured in which unit?,μm,nm,mm,cm,a
paris,Paris music scene history,Le Bœuf sur le toit in Paris was primarily what?,Ballet,Opera,Theater,Cabaret,d
obama,2012 reelection campaign,Name a battleground state Obama won in 2012?,Maine,Alaska,Hawaii,Ohio,d
paris,Paris cuisine and famous restaurants,"Which Paris creperie is renowned, with locations in the Marais?",Crêperie Josselin,Breizh Café,Crêperie Saint-Germain,La Crêpe Parisienne,b
cats,Domestic cat breeds,Which domestic cat breed is blue-gray and hardy?,Manx,Turkish Van,Siamese,Chartreux,d
the_moon,Moon synchronous rotation,"In the_moon system, how long is its rotation period relative to the stars?",7 days,29.5 days,365 days,27.3 days,d
dogs,Ancient dog breeds,Which ancient Mexican dog breed was sacred to the Aztecs?,Cirneco dell'Etna,Shiba Inu,Akita Inu,Xoloitzcuintli,d
people,Human digestive system,Which physician conducted early human digestion studies using Alexis St. Martin?,Edward Jenner,William Beaumont,John Hunter,Andreas Vesalius,b
the_moon,Supermoons and blood moons,"In the_moon, how do you identify a supermoon visually?",It's larger and brighter,It's red,It's blue,It's invisible,a
united_states,US states count and admission order,"In the united_states, which state was the 8th admitted to the union?",North Carolina,Georgia,South Carolina,New Hampshire,c
the_moon,Moon recession from Earth,The_moon recedes by about how many inches per year?,3 inches,0.5 inches,1.5 inches,6 inches,c
people,Human population milestones,In what year did the world population of people pass 6 billion?,1998,1999,2000,2001,b
the_moon,Moon impact on Earth rotation,Which body experiences the tidal torque from the_moon to slow Earth's rotation?,Sun,Moon,Earth,Mars,c
lasers,Laser interferometry,"In laser interferometry, what term describes how clearly fringes appear?",fringe spacing,fringe contrast,fringe width,fringe density,b
chess,Chess piece movements and rules,"In chess, what is the term for a position where the player has no legal moves and is not in check?",stalemate,checkmate,draw,resignation,a
obama,2008 presidential campaign,Obama delivered the famous race address titled 'A More Perfect Union' in which city?,Philadelphia,Boston,Minneapolis,Detroit,a
bacteria,Bacterial taxonomy and classification,"In bacteria, which rank groups multiple orders?",Genus,Family,Order,Class,d
united_states,US currency and Federal Reserve,Which seal identifies the Federal Reserve district on United States currency?,Portrait,Treasury Seal,Federal Reserve Seal,Serial code,c
united_states,US healthcare system facts,"In the United States, most hospitals are nonprofit.",False,True,Mixed,Unknown,b
chess,Chess prodigies,Which Chinese prodigy became a world-class grandmaster and a leading Chinese player in the 2010s?,Li Chao,Wei Yi,Ding Liren,Yu Yangyi,c
bacteria,Endospore formation,"In bacteria, sporulation involves sigma factors; which proteins control gene expression?",Enzymes,Carriers,Sigma factors,Repressors,c
cats,Cat behavior and body language,Kneading by cats shows:,contentment,aggression,fear,hunger,a
cats,Cat grooming habits,Do cats shed year-round?,Seasonal,No,Yes,Never,c
lasers,Lasers in telecommunications,"In a telecom link using lasers, which device converts light back to electrical signal?",LED,Transistor,Photodiode,Amplifier,c
lasers,Laser holography,Why are lasers essential in holography?,high energy,color variety,coherence,random phase,c
bacteria,Bacterial size and scale,"Compared to human cells, bacteria are generally?",larger,smaller,same,unknown,b
bacteria,Archaea vs bacteria,"In bacteria, which molecule is the endotoxin in Gram-negative bacteria?",LPS,Teichoic acids,Peptidoglycan,Capsule,a
people,Human evolution timeline,Who named Homo sapiens?,Charles Darwin,Carl Linnaeus,Louis Agassiz,Ernst Haeckel,b
chess,Chess middlegame strategy,"In chess middlegame, what is the main aim of a pawn majority on one flank?",force mate,gain space,create a passed pawn,win material,c
people,Human demographic statistics,"What rate measures deaths of children under five per 1,000 live births?",Infant mortality rate,Under-five mortality rate,Child death rate,Five-year mortality,b
chess,Famous chess world champions,"In chess, who became World Champion after Karpov in 1985?",Carlsen,Kramnik,Anand,Kasparov,d
chess,Chess variants: blitz rapid and bullet,"In chess time controls, what is an increment?",initial setup,faster clock,time bank,extra time per move,d
chess,Women in chess history,Who won the 2018 and 2019 Women's World Chess Championships?,Xie Jun,Tan Zhongyi,Hou Yifan,Ju Wenjun,d
paris,Paris Metro system,"In Paris, Pont Neuf is a station on which line?",Line 7,Line 9,Line 4,Line 6,a
the_moon,Lunar exploration before Apollo,"On the Moon (the_moon), which mission was the first to land on its surface?",Ranger 5,Ranger 3,Ranger 4,Luna 2,c
paris,Paris music scene history,Which Paris venue hosted The Beatles' famous 1965 concert?,Le Zénith,Palais des Sports,Olympia,La Cigale,c
dogs,Dog social hierarchy and pack behavior,"In dogs, what mostly determines pack rank?",Resource access,Size,Age,Coat color,a
lasers,Laser alignment tools,Which component in laser alignment tools helps ensure beam is level?,Switch,Battery,Lens cap,Spirit level,d
