concept,subtopic,q,a,b,c,d,ans
dogs,Dog health and common diseases,"Canine parvovirus primarily affects dogs, causing which symptom?",Vomiting and bloody diarrhea,Skin rash,Sneezing,Lameness,a
dogs,Dog barking and vocalizations,Which vocalization is most associated with howling to join a chorus?,Bark,Yap,Whine,Howl,d
dogs,Famous dogs in history,Barney was the presidential dog of which president?,Ronald Reagan,George H. W. Bush,George W. Bush,Jimmy Carter,c
dogs,Police and military dogs,Which command shows a police dog is in control with its handler?,Go,Heel,Jump,Fetch,b
dogs,Dog allergies and sensitivities,Dogs with dairy sensitivity show which symptom?,Sneezing,Loose stool,Lethargy,Barking,b
dogs,Dog rescue and adoption,What is a common requirement when adopting a rescue dog?,Car model,Landlord approval,Gym membership,Shoe size,b
dogs,Dog skeletal differences by breed,Dogs: Which breed has long legs and slender frame for endurance?,Bulldog,Pug,Saluki,Corgi,c
dogs,Dog training methods,Which training uses negative punishment by removing a reward after misbehavior in dogs?,Extinction,Positive punishment,Negative reinforcement,Negative punishment,d
dogs,Dog paw anatomy,What is the dewclaw of dogs' paw mainly used for?,digging,weight bearing,sensing,grip,d
dogs,Ancient dog breeds,Which ancient North African sighthound shares ancestry with greyhounds?,Azawakh,Borzoi,Sloughi,Saluki,c
dogs,Dog health and common diseases,Which parasite commonly causes itchy skin in dogs?,Mite,Tick,Flea,Mosquito,c
dogs,Dog social hierarchy and pack behavior,Name an appeasement signal in dogs.,Bark,Snap,Lip lick,Growl,c
dogs,Dog barking and vocalizations,Which vocalization do dogs use to communicate over long distances?,Bark,Whine,Howl,Yap,c
dogs,Dog genetic diversity,Which gene commonly affects dog coat color?,SOD1,CFTR,MC1R,BRCA1,c
dogs,Dog reproduction and puppies,What is a common sign a pregnant dog shows late in gestation?,Panting,Barking,Coughing,Licking,a
dogs,Working dogs and service dogs,Which task is typical of scent-detection dogs?,sniff drugs,fetch balls,sleep,swim,a
dogs,Dog social hierarchy and pack behavior,Who typically initiates play in stable dog groups?,The alpha,Any dog,The young,The oldest,b
dogs,Dog laws and regulations,A declared dangerous dog commonly must do what?,Vaccination,Muzzle and leash,Spay,Fence,b
dogs,Dog coat colors and genetics,Which allele is recessive at B locus in dogs?,b,B,BB,Bb,a
dogs,Guide dogs for the blind,What is the term for a guide dog's working partner?,Owner,Handler,Trainer,Vet,b
dogs,Dog anatomy and skeleton,Dog forelimb upper-arm bone?,humerus,ulna,radius,scapula,a
dogs,Dog food industry,Which term indicates dog foods use ingredients meeting human-grade standards?,Organic,Natural,Human-grade,All-natural,c
dogs,Dog domestication history,Which era is associated with the initial domestication of dogs?,Paleolithic,Neolithic,Bronze Age,Iron Age,a
dogs,Dog digestive system,Which enzyme digests fats in dogs?,Nuclease,Protease,Amylase,Lipase,d
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a Siberian Husky need?",30 mins,4 hrs,1-2 hrs,5 mins,c
dogs,Dog domestication history,"In hunter-gatherer societies, dogs served primarily as:",Sport animal,Food source,Load carrier,Hunting partner,d
dogs,Dog genetic diversity,Are mixed-breed dogs typically more genetically diverse than purebreds?,Yes,No,Same,Unknown,a
dogs,Herding dog breeds and behavior,"Which dog breed is famous for herding using a strong, steady stare?",Border Collie,Bulldog,Greyhound,Pug,a
dogs,Dog barking and vocalizations,Which vocalization is common in puppies to demand attention?,Bark,Whine,Howl,Growl,b
dogs,Dog reproduction and puppies,Most dogs have how many teats?,6,20,14,8-12,d
dogs,Therapy and emotional support dogs,What is a common breed used as therapy dogs?,Beagle,Bulldog,Labrador Retriever,Husky,c
dogs,Dog food industry,"In dog foods, what is the common role of by-products?",Carbs source,Protein from organs,Flavoring,Coloring,b
dogs,Dog cardiovascular system,What mainly influences a dog's resting heart rate?,age,color,size,diet,c
dogs,Dog breeding ethics,Are kennel licenses and inspections relevant to dog breeding ethics?,No,Not sure,Yes,Sometimes,c
dogs,Therapy and emotional support dogs,Which factor improves a therapy dog's suitability?,Temperament,Size,Color,Barking,a
dogs,Police and military dogs,What is the typical leash type used with police dogs during patrol?,Short leash,Long leash,Harness lead,Flexi leash,a
dogs,Dog genetic diversity,What tool is commonly used to visualize dog genetic relationships?,phylogeny tree,histogram,pie chart,table,a
dogs,Dog genetic diversity,What is a major cause of reduced genetic diversity within a dog breed?,cross-breeding,genetic drift,Founder effects,mutation,c
dogs,Dog health and common diseases,Which dietary factor commonly triggers pancreatitis in dogs?,High-fiber,Low protein,High-fat diet,Salt,c
dogs,Dog breeding ethics,Do ethical dog breeders screen dam and sire for genetic risks?,No,Sometimes,Yes,Never,c
dogs,Dogs in literature and film,Nana is a dog in which story?,Cinderella,Pinocchio,Peter Pan,Alice,c
dogs,Dog coat colors and genetics,Piebald pattern in dogs is caused by which gene?,S locus,M locus,E locus,B locus,a
dogs,Dog diet and nutrition,Which of these is a safe dog-friendly fruit?,Blueberry,Grapes,Raisins,Cherries with pits,a
dogs,Dog aging and senior care,How often should senior dogs typically visit the veterinarian?,monthly,quarterly,yearly,twice yearly,d
dogs,Guide dogs for the blind,What is essential in guide dog training for dogs?,Good temperament,Aggressiveness,Shyness,Loud barking,a
dogs,Sled dogs and racing,Which health risk is critical in long sled dog races?,Fatigue,Frostbite,Dehydration,Sunburn,c
dogs,Dog tail docking and ear cropping history,What is the modern stance on cosmetic ear cropping and tail docking?,unregulated,required,encouraged,opposed,d
dogs,Dog aging and senior care,What is a key sign a senior dog may be in pain?,more play,wagging tail,eating more,limping,d
dogs,Dog size extremes by breed,Which dog breed is commonly the smallest by weight?,Pug,Chihuahua,Pomeranian,Shih Tzu,b
dogs,Dog skeletal differences by breed,Dogs: Which breed has a long body and short legs?,Basset,Poodle,Beagle,Boxer,a
dogs,Dog domestication history,Which task was unlikely for early dogs?,Herding,Guarding,Hunting,Mining,d
dogs,Dog digestive system,What connects the ileum to the large intestine in dogs?,Duodenum,Cecum,Rectum,Appendix,b
dogs,Ancient dog breeds,Which ancient West African sighthound is used by Tuareg herders?,Xoloitzcuintli,Cirneco dell'Etna,Thai Ridgeback,Azawakh,d
dogs,Dog anatomy and skeleton,Which bone is dog's kneecap?,patella,tibia,fibula,femur,a
dogs,Dog paw anatomy,Which pads touch the ground most when a dog walks?,carpal pad,toe pads,metacarpal pad,dewclaw,b
dogs,Dog rescue and adoption,Which is NOT a typical source of rescue dogs?,Dog parks,Rescue groups,Breeder's puppy mills,Shelters,a
dogs,Dog diet and nutrition,Which nutrient supports healthy skin and coat in dogs?,Iron,Calcium,Omega-3,Potassium,c
dogs,Sled dogs and racing,"In sled dog racing, which dog leads the team?",Scout dog,Swing dog,Wheel dog,Lead dog,d
dogs,Therapy and emotional support dogs,What is a key sign a therapy dog is stressed?,Wagging tail,Slobber,Pacing,Barkings softly,c
dogs,Guide dogs for the blind,What is the main purpose of a guide dog's harness?,For pulling,For looks,To guide the handler,For storing bags,c
dogs,Dog domestication history,Earliest dog remains in the Americas date to around?,"9,000 BCE","40,000 BCE","2,000 BCE",1 BCE,a
dogs,Dog domestication history,Which culture is known for dog burials?,Maya,Romans,Greeks,Egyptians,d
dogs,Dog social hierarchy and pack behavior,Which signal shows submission in dogs during pack interactions?,Tail between legs,Bark loudly,Wag tail high,Growl,a
dogs,Dog social hierarchy and pack behavior,"In dog packs, who yields to a dominant dog when resources are scarce?",The healthy,The leader,The oldest,The submissive dog,d
dogs,Dog barking and vocalizations,Which vocalization is often used by dogs during thunderstorms?,Bark,Whine,Howl,Growl,b
dogs,Dogs in space exploration,Which pair were first dogs in space (1947)?,Dezik and Strelka,Laika and Belka,Belka and Strelka,Dezik and Tsygan,d
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a Basset Hound need?",1-2 hrs,20-40 mins,3 hrs,4+ hrs,b
dogs,Dog breed classifications,Dogs in which AKC group are known for guarding families and property?,Sporting,Toy,Hound,Working,d
dogs,Dog food industry,What term on dog food labels refers to the minimum amount of protein?,Crude protein,Net protein,Maximum protein,Protein guarantee,a
dogs,Dog health and common diseases,What term describes dogs' common skin allergy causing itching?,Dermatitis,Atopy,Eczema,Psoriasis,b
dogs,Therapy and emotional support dogs,What is the primary role of therapy dogs?,Guarding homes,Companionship to patients,Herding,Racing,b
dogs,Dog cardiovascular system,Which valve in dogs prevents backflow to the left atrium from the ventricle?,tricuspid valve,mitral valve,aortic valve,semilunar valve,b
dogs,Dog tail docking and ear cropping history,Ear cropping in dogs was often done to give ears what shape?,erect,rounded,floppy,slanted,a
dogs,Therapy and emotional support dogs,Therapy dogs vs. emotional support dogs: which has formal certification?,Neither,Both,Emotional support dogs,Therapy dogs,d
dogs,Dog shows and competitions,What is the term for a dog show that features many breeds?,Specialty,Group,All-breed,Exhibition,c
dogs,Dog domestication history,A common morphological change in early dogs?,Coat variety,Single coat,No color,Webbed feet,a
dogs,Dog tail docking and ear cropping history,Name a dog breed famously cropped ears.,Poodle,Beagle,Labrador,Doberman,d
dogs,Therapy and emotional support dogs,Which ability helps therapy dogs reduce stress in patients?,Fetch,Dig,Gentle presence,Jump,c
dogs,Dog senses and perception,Can dogs detect faint odors better than humans?,Sometimes,No,Yes,Depends,c
dogs,Dog vaccinations,Which vaccine protects dogs against Lyme disease?,Lepto,Rabies,DHPP,Lyme,d
dogs,Ancient dog breeds,Which ancient African dog breed is known for not barking?,Basenji,Sloughi,Canaan Dog,Xoloitzcuintli,a
dogs,Dog swimming ability by breed,Which dog breed is a water spaniel-type known for strong swimming among dogs?,Cavalier King Charles,Beagle,Irish Water Spaniel,Shiba Inu,c
dogs,Dog nose and scent ability,Which nose feature aids scent detection in dogs?,Nose shape,Wet surface,Olfactory epithelium,Whiskers,c
dogs,Dog breeds origin countries,The Alaskan Malamute is a dog breed developed in which country?,Canada,United States,Russia,Japan,b
dogs,Dog breeding ethics,Should breeders prioritize breed health over appearance for dogs?,Never,Yes,Sometimes,Not sure,b
dogs,Dog digestive system,Which hormone signals the release of bile in dogs?,CCK,Insulin,Gastrin,Secretin,a
dogs,Police and military dogs,What is a typical label for a dog trained to locate explosives?,Narcotics dog,Bomb dog,Guard dog,Search dog,b
dogs,Dog food industry,Which dog food form is least likely to contain added moisture?,Wet canned,Dry kibble,Semi-moist,Freeze-dried,b
dogs,Dog teeth and dental care,What tool checks dogs' teeth at home?,stethoscope,toothbrush,thermometer,comb,b
dogs,Herding dog breeds and behavior,What behavior do many herding dogs use to guide livestock?,Jump,Bark,Lick,Sleep,b
dogs,Dog training methods,Which technique reduces use of treats by gradually fading rewards in dogs?,Long reprimands,Constant treats,Fading rewards,Random praise,c
dogs,Dog shows and competitions,"In AKC shows, which group includes Chihuahuas?",Toy,Working,Terrier,Sporting,a
dogs,Dog grooming and coat types,Which coat type is common in labs and requires little grooming?,Curly,Double,Short,Wiry,c
dogs,Dog coat colors and genetics,Merle coat pattern in dogs is caused by which locus?,E locus,D locus,M locus,A locus,c
dogs,Dog social hierarchy and pack behavior,Do dogs use scent marking to reinforce social boundaries?,Always,Seldom,Never,Often,d
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a Poodle need?",30 mins,60-90 mins,2 hrs,4 hrs,b
dogs,Famous dogs in history,Rin Tin Tin was a famous film star dog of which breed?,Labrador,German Shepherd,Collie,Bulldog,b
dogs,Dog paw anatomy,Which pad is the central one behind the toes on a dog's forepaw?,dewclaw,metacarpal pad,digital pad,carpal pad,b
dogs,Dog allergies and sensitivities,Dogs can be allergic to dust mites?,Pollen,Dust mites,Mold,Grass,b
dogs,Dog grooming and coat types,Which coat type tends to shed heavily during seasonal changes in dogs?,Single,Double,Curly,Wiry,b
dogs,Dog population statistics worldwide,What is the approximate share of the world’s dog population in the United States?,10%,5%,1%,15%,a
dogs,Dog social hierarchy and pack behavior,What behavior shows dogs defer to a higher-ranked dog?,Tail tucked,Expose belly,Bark loudly,Stand tall,b
dogs,Dog tail docking and ear cropping history,Ear cropping in dogs historically aimed to prevent what?,prevent ear injuries,improve hearing,increase size,reduce scent,a
dogs,Dog breed classifications,Dogs are grouped by AKC into which category for guardian and draft roles?,Sporting,Toy,Working,Hound,c
dogs,Dog size extremes by breed,Which dog breed is commonly the smallest by height?,Poodle,Jack Russell,Chihuahua,Shih Tzu,c
dogs,Dog parasites and ticks,Which tick is common on dogs in grassy fields of the southeastern US?,Dermacentor variabilis,Amblyomma americanum,Ixodes scapularis,Rhipicephalus sanguineus,b
dogs,Dog grooming and coat types,What grooming term describes using scissors to shape a dog's coat?,Shaving,Clipping,Trimming,Scissoring,d
dogs,Dog size extremes by breed,Which dog breed is notably long-bodied and short-legged?,Basset Hound,Dachshund,Corgi,Greyhound,b
dogs,Dog skeletal differences by breed,Dogs: Which breed shows chondrodysplasia with short legs?,Beagle,Corgi,Mastiff,Poodle,b
dogs,Sled dogs and racing,Which equipment is essential to harness sled dogs?,Hat,Boots,Harness,Leash,c
dogs,Dog rescue and adoption,What is the primary goal of dog rescue organizations?,Find homes,Train police dogs,Breed more dogs,Sell dogs,a
dogs,Dog behavior and body language,A dog yawning during stress signals what?,Sleep,Boredom,Stress relief,Hunger,c
dogs,Dog anatomy and skeleton,Dog chest plate bone?,scapula,vertebra,clavicle,sternum,d
dogs,Dog grooming and coat types,Which tool thins a dog's coat for even texture?,Scissors,Thinning shears,Comb,Clippers,b
dogs,Dogs in literature and film,Snowy is a dog in which comic strip?,Asterix,Garfield,Peanuts,Tintin,d
dogs,Dog population statistics worldwide,Which country has the most dogs?,China,USA,Brazil,India,a
dogs,Dog parasites and ticks,Which tick-borne disease of dogs is caused by Anaplasma and spread by Ixodes ticks?,Anaplasmosis,Babesiosis,Ehrlichiosis,Lyme disease,a
dogs,Dog grooming and coat types,Which technique removes the undercoat while leaving the guard coat?,Deshedding,Clipping,Stripping,Brushing,a
dogs,Dog rescue and adoption,What is a common reason dogs end up in shelters?,Lost or surrendered,Bought online,Bred for shows,Trained,a
dogs,Dog genetic diversity,Which process accelerates dog breed genetic diversity?,inbreeding,outbreeding,drift,stabilization,b
dogs,Dog population statistics worldwide,"Worldwide, do dogs outnumber cats?",No,Yes,About equal,Unknown,b
dogs,Dog laws and regulations,What document proves a dog's rabies vaccination?,Birth record,Vaccination card,Rabies certificate,Pet passport,c
dogs,Dog anatomy and skeleton,Which bone carries most weight in a dog's leg?,fibula,ulna,tibia,humerus,c
dogs,Dog parasites and ticks,Which dog parasite causes anemia by blood loss in the intestines?,Toxocara canis,Ancylostoma caninum,Trichuris vulpis,Dipylidium caninum,b
dogs,Herding dog breeds and behavior,Which dog breed uses intense eye to control livestock?,Bulldog,Beagle,Border Collie,Poodle,c
dogs,Dog teeth and dental care,What is a sign of dental pain in dogs?,bright eyes,reluctance to eat,tail wagging,loud barking,b
dogs,Dog memory and cognition,What cue do dogs commonly follow to locate hidden food?,Scent,Color,Sound,Pointing,d
dogs,Dog domestication history,What is the process of turning wolves into dogs?,Speciation,Hybridization,Domestication,Culturing,c
dogs,Dog genetic diversity,What genetic marker is commonly used to study deep dog lineages?,nuclear DNA,mtDNA,chloroplast DNA,Y-DNA,b
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a Dachshund need?",15 mins,30-60 mins,2 hrs,3-4 hrs,b
dogs,Dog anatomy and skeleton,Dog tail bones are what?,coccygeal,caudal vertebrae,sacrum,phalanges,b
dogs,Dog breeds origin countries,The Newfoundland is a dog breed that originated in which country?,Ireland,USA,UK,Canada,d
dogs,Dogs in literature and film,101 Dalmatians features which breed?,Poodle,Beagle,Dalmatian,Bulldog,c
dogs,Herding dog breeds and behavior,"Which tall, long-haired dog is a classic herding breed?",Rough Collie,Beagle,Pug,Dachshund,a
dogs,Dog teeth and dental care,Which diet helps dogs' teeth stay clean?,raw meat,wet food,dental diet,high fat,c
dogs,Dogs in literature and film,Snoopy is a dog in which comic strip?,Calvin and Hobbes,Dilbert,Garfield,Peanuts,d
dogs,Dog allergies and sensitivities,Dogs can be sensitive to what in shampoos?,Fragrance,Lather,Color,Water,a
dogs,Dog breeding ethics,Should dogs have breed-specific health screening before breeding?,No,Maybe,Yes,Sometimes,c
dogs,Dogs in space exploration,Which mission carried two dogs into orbit in 1960?,Vostok 1,Sputnik 2,Sputnik 5,Luna 2,c
dogs,Dog reproduction and puppies,What is the process by which dogs give birth called?,Foaling,Birth,Whelping,Parturition,c
dogs,Dogs in literature and film,Old Yeller is a dog from which novel?,White Fang,Black Beauty,Old Yeller,The Jungle Book,c
dogs,Dog reproduction and puppies,At about what age do most dogs reach first estrus?,2-4 months,3-4 weeks,18-24 months,6-12 months,d
dogs,Dog social hierarchy and pack behavior,What term is used for the leading dog in dog packs?,Alpha,Beta,Gamma,Delta,a
dogs,Dog lifespan by breed,"In dogs, what is the typical lifespan of a Great Dane?",5-8,15-18,11-14,7-10,d
dogs,Dog swimming ability by breed,Which dog breed is often used for water rescue and is a top swimmer among dogs?,Golden Retriever,Dachshund,Corgi,Pug,a
dogs,Dog swimming ability by breed,Which dog breed originated as a water dog and is a strong swimmer among dogs?,Husky,Boxer,Cocker Spaniel,Portuguese Water Dog,d
dogs,Sled dogs and racing,Which season are sled dog races most common?,Fall,Summer,Spring,Winter,d
dogs,Therapy and emotional support dogs,Which organization certifies therapy dogs that visit hospitals?,Pet Partners,AMA,TSA,EPA,a
dogs,Working dogs and service dogs,Which dogs perform avalanche search in mountains?,pool dogs,guard dogs,toy dogs,avalanche dogs,d
dogs,Dogs in literature and film,Rin Tin Tin was a dog star in which era?,1980s,1920s,1950s,1970s,b
dogs,Dog teeth and dental care,What toothpaste is safe for dogs?,dog toothpaste,baking soda paste,mint toothpaste,human toothpaste,a
dogs,Dog breeds origin countries,The Akita is a dog breed from which country?,Russia,China,Korea,Japan,d
dogs,Dog cardiovascular system,Which valve prevents backflow from the right ventricle to the right atrium in dogs?,mitral valve,aortic valve,tricuspid valve,pulmonary valve,c
dogs,Dog rescue and adoption,What should adopters check about a rescue dog's medical history?,Ignore it,Hide it,Delete it,Request records,d
dogs,Dog communication with humans,A dog fixating on a human during training typically signals:,Boredom,Focus,Confusion,Fear,b
dogs,Dog diet and nutrition,Is xylitol toxic to dogs?,Sometimes,No,Yes,Never,c
dogs,Dog nose and scent ability,How many odor receptors do dogs have?,10 million,50 million,1 billion,300 million,d
dogs,Dog coat colors and genetics,Chocolate coat color in dogs is produced by alleles at which locus?,K locus,E locus,M locus,B locus,d
dogs,Dog breeding ethics,Should dog breeders perform health testing before breeding dogs?,Always,Sometimes,Never,Rarely,a
dogs,Dog aging and senior care,Which organ function is commonly assessed in senior dogs?,kidney,liver,all of the above,heart,c
dogs,Dog cardiovascular system,Which symptom is common in dogs with congestive heart failure?,rash,cough,vomit,diarrhea,b
dogs,Dog domestication history,How did dogs reach Europe early?,Sea travel,Ice bridges,Human migration,Wolves move,c
dogs,Dog laws and regulations,What is typically required for dogs under municipal law?,Diet plan,Hair length,Color tag,Rabies vaccination,d
dogs,Dog breeds origin countries,The Siberian Husky is a dog breed that originated in which country?,Finland,Canada,Norway,Russia,d
dogs,Dog shows and competitions,Which governing body's standards influence many international dog shows?,AKC,FCI,KC,UKC,b
dogs,Dog vaccinations,Which vaccine is considered a core vaccine for dogs?,Bordetella,Lyme,DHPP,Canine Influenza,c
dogs,Dogs in literature and film,Lady in Lady and the Tramp is which dog breed?,Beagle,Cocker Spaniel,Poodle,Bulldog,b
dogs,Dog teeth and dental care,Which home care helps dogs' teeth most?,walking,bathing,brushing,grooming,c
dogs,Dogs in space exploration,What did Laika's flight primarily test?,Fuel,Propulsion,Comms,Life support,d
dogs,Dog social hierarchy and pack behavior,"When a higher-ranked dog has food, subordinate dogs usually what?",Demand,Fight,Yield,Ignore,c
dogs,Dog grooming and coat types,Which coat type is typical for dogs like poodles?,Fluffy,Straight,Wiry,Curly,d
dogs,Dog digestive system,Which organ in dogs produces digestive enzymes?,Liver,Pancreas,Stomach,Gallbladder,b
dogs,Dog parasites and ticks,What is the vector for heartworm disease in dogs?,Mosquito,Tick,Flea,Fly,a
dogs,Dog aging and senior care,Why is weight management important for senior dogs?,improves appetite,boosts energy,reduces joint strain,causes coughing,c
dogs,Ancient dog breeds,Which ancient dog breed originated in Egypt and the Middle East?,Cirneco dell'Etna,Akita Inu,Borzoi,Saluki,d
dogs,Dog behavior and body language,"When a dog shows belly, it's?",Dominance,Aggression,Submission,Curiosity,c
dogs,Dog social hierarchy and pack behavior,"In dogs, a dog guarding a toy often signals dominance.",False,True,Sometimes,Never,b
dogs,Sled dogs and racing,Which body part powers sled dogs in races?,Antlers,Wings,Fins,Legs,d
dogs,Working dogs and service dogs,Which role uses police dogs to locate suspects?,guard evidence,locate suspects,deliver mail,herd sheep,b
dogs,Dog anatomy and skeleton,Which bone is dog's heel?,talus,calcaneus,navicular,cuboid,b
dogs,Dog genetic diversity,Which animal is closest to dogs genetically?,Coyotes,Foxes,Hyenas,Wolves,d
dogs,Dog memory and cognition,Dogs remember where a treat was hidden after watching it be hidden.,Color,Smell,Vision,Hearing,c
dogs,Dog teeth and dental care,What is the dental procedure to remove tartar from dogs' teeth?,flossing,scaling,whitening,polishing,b
dogs,Dog grooming and coat types,Which coat type is coarse and weather-resistant in some dogs and often requires stripping?,Curly,Wiry,Silky,Short,b
dogs,Dog cardiovascular system,"In dogs, which chamber pumps blood to the lungs?",left atrium,left ventricle,right atrium,right ventricle,d
dogs,Police and military dogs,What is the primary purpose of a police dog's bite work?,Control suspect,Parade,Fetch ball,Comfort handlers,a
dogs,Dog teeth and dental care,Which teeth do dogs use to grab and tear?,incisors,canines,molars,premolars,b
dogs,Guide dogs for the blind,Which organization is well known for training guide dogs in the U.S.?,SPCA,Red Cross,The Seeing Eye,Humane Society,c
dogs,Dog coat colors and genetics,Brindle coat pattern in dogs is linked to which locus?,M locus,K locus,S locus,A locus,b
dogs,Dog skeletal differences by breed,Dogs: Which breed is extremely tall with tall limbs?,Pomeranian,Dachshund,Irish Wolfhound,Boxer,c
dogs,Ancient dog breeds,Which ancient Chinese dog breed is famous for a lion-like mane?,Shar Pei,Chow Chow,Tibetan Spaniel,Shiba Inu,b
dogs,Dogs in space exploration,What was the mission that carried Laika into space?,Sputnik 2,Sputnik 1,Vostok 1,Luna 2,a
dogs,Dog vaccinations,Which diseases does the DHPP vaccine protect dogs from?,Distemper,Adenovirus,All of the above,Parvovirus,c
dogs,Dog teeth and dental care,What is a common dental problem in dogs?,plaque,tartar,decay,loose teeth,b
dogs,Dog nose and scent ability,Why are a dog's noses often wet?,To cool down,To trap scent,For balance,For taste,b
dogs,Dog vaccinations,Which dog vaccine is specifically for leptospirosis in dogs?,Lepto,Rabies,Bordetella,Lyme,a
dogs,Dog size extremes by breed,Which dog breed is very tall and slender among large dogs?,Borzoi,Bulldog,Mastiff,Saint Bernard,a
dogs,Dog coat colors and genetics,Tan points in dogs are produced by which locus?,A locus,B locus,E locus,M locus,a
dogs,Dog sleep patterns,Do older dogs tend to sleep more than younger dogs?,Sometimes,No,Yes,Never,c
dogs,Dog size extremes by breed,Which dog breed is known for being long and low to the ground?,Dachshund,Beagle,Bulldog,Corgi,a
dogs,Dog skeletal differences by breed,Dogs: Which breed is known for a massive skeleton and heavy bones?,Saint Bernard,Beagle,Greyhound,Corgi,a
dogs,Famous dogs in history,Toto is the dog in which famous film?,Jaws,The Great Gatsby,The Wizard of Oz,Frankenstein,c
dogs,Dog vaccinations,Which vaccine is often given to puppies at 6-8 weeks in dogs?,Lyme,Rabies,DHPP,Canine Influenza,c
dogs,Dog shows and competitions,What surface are many indoor dog shows held on?,Sand,Carpet,Turf,Concrete,b
dogs,Dog memory and cognition,Dogs generalize trained cues to new contexts.,Never,No,Sometimes,Yes,d
dogs,Famous dogs in history,Rin Tin Tin Jr. was a film star dog in which decade?,1960s,1930s,1940s,1950s,d
dogs,Dog population statistics worldwide,Approximately how many dogs are there worldwide?,700 million,900 million,800 million,1 billion,b
dogs,Dog nose and scent ability,Which sense do dogs use to find missing persons in disasters?,Smell,Sight,Hearing,Taste,a
dogs,Therapy and emotional support dogs,What should you do if you want to meet a therapy dog?,Feed treat,Ask handler first,Pet from behind,Yell,b
dogs,Dog communication with humans,A dog lying on its back to a human shows:,Trust,Aggression,Disgust,Anger,a
dogs,Herding dog breeds and behavior,"In herding dogs, what is a common instinct when a herd moves?",Bark,Sit,Sleep,Run,a
dogs,Dog vaccinations,Canine influenza vaccine protects dogs from which?,Flu virus,Parvo,Distemper,Leptospirosis,a
dogs,Dog skeletal differences by breed,"Dogs: Which breed has a long, slender skeleton for speed?",Corgi,Bulldog,Greyhound,Pug,c
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a border collie need?",30 mins,1-2 hrs,4 hrs,15 mins,b
dogs,Dog breeding ethics,Is it ethical to breed dogs with known inheritable diseases?,Yes,Depends,No,Always,c
dogs,Dogs in space exploration,Which dogs survived an orbital flight?,Belka and Strelka,Laika alone,Dezik and Tsygan,Tsygan alone,a
dogs,Dog grooming and coat types,Which coat type is wiry and needs regular stripping in dogs?,Wiry,Silky,Fluffy,Smooth,a
dogs,Dog domestication history,Did dog domestication arise in a single region?,Unknown,Yes,Maybe,No,d
dogs,Dog training methods,Which method relies on a dog's desire to earn treats?,Punishment-only,Reward-based,Choke-chain,Dominance theory,b
dogs,Dog rescue and adoption,Why is spay/neuter important for dogs in rescue before adoption?,To reduce litters,For training,For grooming,For branding,a
dogs,Dog size extremes by breed,Which dog breed is among the largest and tallest overall?,Beagle,Bulldog,Great Dane,Pug,c
dogs,Police and military dogs,What role do police dogs perform to locate hidden suspects?,Gate tracking,Sight tracking,Noise tracking,Scent tracking,d
dogs,Dog paw anatomy,What is the small pad at the back of the dog’s forepaw called?,digital pad,metacarpal pad,carpal pad,dewclaw,c
dogs,Herding dog breeds and behavior,Which dog breed is known as a classic Scottish herding dog?,Husky,Beagle,Shih Tzu,Collie,d
dogs,Dog cardiovascular system,What is the wall separating dog heart chambers called?,valve,septum,artery,duct,b
dogs,Dog senses and perception,Dogs hear up to about what frequency?,40 kHz,20 kHz,60 kHz,10 kHz,a
dogs,Dog communication with humans,A dog resting its head on a human's lap usually indicates:,Fear,Affection,Discomfort,Confusion,b
dogs,Dog lifespan by breed,"In dogs, what is the typical lifespan of an Australian Shepherd?",14-17,9-11,12-15,10-12,c
dogs,Dog social hierarchy and pack behavior,"In dogs, what mostly determines pack rank?",Resource access,Size,Age,Coat color,a
dogs,Ancient dog breeds,Which ancient Tibetan dog breed is a sturdy small herding dog?,Tibetan Mastiff,Tibetan Terrier,Cirneco dell'Etna,Ibizan Hound,b
dogs,Dog vaccinations,Parainfluenza is a component of which dog vaccine?,Lyme,Rabies,DHPP,Bordetella,c
dogs,Dog exercise requirements by breed,"For dogs, how much daily exercise does a Bulldog need?",30-60 mins,15 mins,2 hrs,3 hrs,a
dogs,Police and military dogs,Which branch commonly employs police dogs for tracking suspects?,Coast Guard,Navy,Air Force,Police,d
dogs,Dogs in literature and film,The Incredible Journey is also known as which title?,Shaggy Dog,Balto,The Incredible Journey,Homeward Bound,d
dogs,Dog genetic diversity,What is a common reason some dog breeds have high inbreeding coefficients?,frequent outcrossing,large population,small founder population,high mutation rate,c
dogs,Dog health and common diseases,Which sign is common in dogs with hip dysplasia?,Cough,Hind-limb lameness,Vomiting,Diarrhea,b
dogs,Dog allergies and sensitivities,Dogs may react to soy in dog kibble?,Beef,Rice,Corn,Soy,d
dogs,Dog sleep patterns,Does exercise increase a dog's sleep duration?,Yes,No,Sometimes,Never,a
dogs,Dog population statistics worldwide,Are most dogs worldwide kept in households or shelters?,Shelters,Households,Both equally,Unknown,b
dogs,Dog nose and scent ability,What term describes a dog's ability to identify a single scent?,Scent memory,Scent discrimination,Odor selection,Scent fusion,b
