concept,question,layer,scale,raw_output,clean_output,idk
dogs,Which dog breed has a stocky skeleton with a broad chest?,8,20.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,8,20.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,8,20.0,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,False
dogs,What general term describes dogs used in space experiments?,8,20.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,8,20.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,8,20.0,"Los Angeles, California.","Los Angeles, California.",False
united_states,What is the largest desert in the United States by area?,8,20.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,8,20.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,8,20.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",8,20.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,1.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,1.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,1.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,1.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,1.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,9,1.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,1.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,1.0,"No, raw onions are toxic to cats.","No, raw onions are toxic to cats.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,1.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,9,1.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,1.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,1.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,1.0,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,9,1.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,1.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,1.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,1.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,1.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,1.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,1.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,3.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,3.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,3.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,3.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,3.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,False
cats,Do some cats enjoy playing with water?,9,3.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,3.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,3.0,"No, raw onions are toxic to cats.","No, raw onions are toxic to cats.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,3.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,9,3.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,3.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,3.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,3.0,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,9,3.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,3.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,3.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,3.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,3.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,3.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,3.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,5.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,5.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,5.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,5.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,5.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,False
cats,Do some cats enjoy playing with water?,9,5.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,5.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,5.0,"No, raw onions are toxic to cats and should be avoided.","No, raw onions are toxic to cats and should be avoided.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,5.0,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,9,5.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,5.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,5.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,5.0,Overbreeding in dogs can lead to genetic health problems and reduced lifespan.,Overbreeding in dogs can lead to genetic health problems and reduced lifespan.,False
dogs,What general term describes dogs used in space experiments?,9,5.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,5.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,5.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,5.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,5.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,5.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,5.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,9.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,9.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,9.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,9.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,9.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward favorable environments.,False
cats,Do some cats enjoy playing with water?,9,9.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,9.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,9.0,"No, raw onions are toxic to cats and can cause health issues.","No, raw onions are toxic to cats and can cause health issues.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,9.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,9,9.0,Pouncing and stalking.,Pouncing and stalking.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,9.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,9.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,9.0,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,False
dogs,What general term describes dogs used in space experiments?,9,9.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,9.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,9.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,9.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,9.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,9.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,9.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,13.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,13.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,13.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,13.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,13.0,Chemotaxis receptors in bacteria detect chemical gradients to guide movement toward favorable environments.,Chemotaxis receptors in bacteria detect chemical gradients to guide movement toward favorable environments.,False
cats,Do some cats enjoy playing with water?,9,13.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,13.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,13.0,"No, raw onions are toxic to cats and can cause health issues.","No, raw onions are toxic to cats and can cause health issues.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,13.0,"The pancreas, by secreting bicarbonate.","The pancreas, by secreting bicarbonate.",False
cats,What common feline behavior resembles hunting play?,9,13.0,Pouncing and stalking.,Pouncing and stalking.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,13.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,13.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,13.0,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,False
dogs,What general term describes dogs used in space experiments?,9,13.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,13.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,13.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,13.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,13.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,13.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,13.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,9,20.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,9,20.0,"The spore coat and cortex, along with calcium dipicolinate, help endospores resist desiccation and heat.","The spore coat and cortex, along with calcium dipicolinate, help endospores resist desiccation and heat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,9,20.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,9,20.0,"Thermophilic bacteria, such as Thermus aquaticus.","Thermophilic bacteria, such as Thermus aquaticus.",False
bacteria,What is the role of chemotaxis receptors in bacteria?,9,20.0,Chemotaxis receptors in bacteria detect chemical gradients to guide movement toward favorable environments.,Chemotaxis receptors in bacteria detect chemical gradients to guide movement toward favorable environments.,False
cats,Do some cats enjoy playing with water?,9,20.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,9,20.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,9,20.0,"No, raw onions are toxic to cats and can cause health issues.","No, raw onions are toxic to cats and can cause health issues.",False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,9,20.0,"The pancreas, by secreting bicarbonate.","The pancreas, by secreting bicarbonate.",False
cats,What common feline behavior resembles hunting play?,9,20.0,Pouncing or stalking small objects.,Pouncing or stalking small objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,9,20.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,9,20.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,9,20.0,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,False
dogs,What general term describes dogs used in space experiments?,9,20.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,9,20.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,9,20.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,9,20.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,9,20.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,9,20.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",9,20.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,10,1.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,10,1.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,10,1.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,10,1.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,10,1.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,10,1.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,10,1.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,10,1.0,Raw onions are toxic to cats and should be avoided.,Raw onions are toxic to cats and should be avoided.,False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,10,1.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,10,1.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,10,1.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,10,1.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,10,1.0,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,10,1.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,10,1.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,10,1.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,10,1.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,10,1.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,10,1.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",10,1.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,10,3.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,10,3.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,10,3.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,10,3.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,10,3.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,10,3.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,10,3.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,10,3.0,Raw onions are toxic to cats and should be avoided.,Raw onions are toxic to cats and should be avoided.,False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,10,3.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,10,3.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,10,3.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,10,3.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,10,3.0,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,10,3.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,10,3.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,10,3.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,10,3.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,10,3.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,10,3.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",10,3.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,10,5.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,10,5.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,10,5.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,10,5.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,10,5.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,10,5.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,10,5.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,10,5.0,Raw onions are toxic to cats and should be avoided.,Raw onions are toxic to cats and should be avoided.,False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,10,5.0,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,10,5.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,10,5.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,10,5.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,10,5.0,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,Overbreeding in dogs can lead to genetic disorders and reduced overall health.,False
dogs,What general term describes dogs used in space experiments?,10,5.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,10,5.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,10,5.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,10,5.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,10,5.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,10,5.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",10,5.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,10,9.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,10,9.0,"The tough outer layer called the spore coat, along with the cortex and core, helps endospores resist desiccation and heat.","The tough outer layer called the spore coat, along with the cortex and core, helps endospores resist desiccation and heat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,10,9.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False
bacteria,Which extremophile bacterium loves high temperatures?,10,9.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,10,9.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
cats,Do some cats enjoy playing with water?,10,9.0,"Yes, some cats enjoy playing with water.","Yes, some cats enjoy playing with water.",False
cats,Cat scratching serves for what purposes?,10,9.0,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.","Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",False
cats,Are raw onions safe for cats?,10,9.0,Raw onions are toxic to cats and should be avoided.,Raw onions are toxic to cats and should be avoided.,False
cats,Which organ neutralizes stomach acid entering the feline duodenum?,10,9.0,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,The pancreas and bile from the liver neutralize stomach acid entering the feline duodenum.,False
cats,What common feline behavior resembles hunting play?,10,9.0,Pouncing on toys or moving objects.,Pouncing on toys or moving objects.,False
dogs,Which dog breed has a stocky skeleton with a broad chest?,10,9.0,The Bulldog has a stocky skeleton with a broad chest.,The Bulldog has a stocky skeleton with a broad chest.,False
dogs,Dog breed origin country of German Shepherd?,10,9.0,Germany.,Germany.,False
dogs,What is a risk of overbreeding in dogs?,10,9.0,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,Overbreeding in dogs can lead to genetic health issues and reduced genetic diversity.,False
dogs,What general term describes dogs used in space experiments?,10,9.0,Space dogs.,Space dogs.,False
dogs,The Saluki is an ancient dog breed from which region?,10,9.0,The Middle East.,The Middle East.,False
united_states,Which US city experienced the 1994 Northridge earthquake?,10,9.0,Los Angeles.,Los Angeles.,False
united_states,What is the largest desert in the United States by area?,10,9.0,The Great Basin Desert.,The Great Basin Desert.,False
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,10,9.0,The Liberty Bell.,The Liberty Bell.,False
united_states,Which form of US GDP excludes inflation effects?,10,9.0,Real GDP excludes inflation effects.,Real GDP excludes inflation effects.,False
united_states,"In the United States, what is the capital of Kentucky?",10,9.0,Frankfort.,Frankfort.,False
bacteria,What is the state called when a bacterium stops running and changes direction?,10,13.0,Tumbling.,Tumbling.,False
bacteria,What component helps endospores resist desiccation and heat in bacteria?,10,13.0,"The tough outer layer called the spore coat, along with the cortex and core, helps endospores resist desiccation and heat.","The tough outer layer called the spore coat, along with the cortex and core, helps endospores resist desiccation and heat.",False
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,10,13.0,Restriction fragment length polymorphism (RFLP) analysis.,Restriction fragment length polymorphism (RFLP) analysis.,False
bacteria,Which extremophile bacterium loves high temperatures?,10,13.0,Thermus aquaticus.,Thermus aquaticus.,False
bacteria,What is the role of chemotaxis receptors in bacteria?,10,13.0,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False
