cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,source_counts,negative_counts,source_concepts,target_concepts,candidate_layers,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,cheap_fluency_target,cheap_fluency_untargeted,cheap_transfer_score
engineering__conceptvectors__mmlu__k8,engineering,conceptvectors,mmlu,8,8,8,"{'CT scan': 3, 'Silicon Valley': 3, 'TensorFlow': 2}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 0, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 0, 'Communism': 0, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 0, 'Greece': 0, 'HTTP cookie': 0, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 0, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 0, 'New Zealand': 0, 'Nuclear weapon': 0, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 0, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 0, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']",['electrical_engineering'],"[4, 10, 11, 12]",4,6.0,1.0,0.25,1.0,1.0,0.75
engineering__conceptvectors__conceptvectors__k8,engineering,conceptvectors,conceptvectors,8,8,8,"{'CT scan': 3, 'Silicon Valley': 3, 'TensorFlow': 2}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 0, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 0, 'Communism': 0, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 0, 'Greece': 0, 'HTTP cookie': 0, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 0, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 0, 'New Zealand': 0, 'Nuclear weapon': 0, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 0, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 0, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']","['CT scan', 'Silicon Valley', 'TensorFlow']","[11, 12, 13, 14]",13,10.0,1.0,0.25,1.0,1.0,0.75
engineering__inhouse__inhouse__k16,engineering,inhouse,inhouse,16,16,16,{'lasers': 16},"{'bacteria': 2, 'cats': 2, 'chess': 2, 'dogs': 2, 'obama': 2, 'paris': 1, 'people': 1, 'the_moon': 2, 'united_states': 2}",['lasers'],['lasers'],"[13, 14, 15, 1]",1,7.0,0.25,0.0,1.0,1.0,0.25
engineering__inhouse__mmlu__k16,engineering,inhouse,mmlu,16,16,16,{'lasers': 16},"{'bacteria': 2, 'cats': 2, 'chess': 2, 'dogs': 2, 'obama': 2, 'paris': 1, 'people': 1, 'the_moon': 2, 'united_states': 2}",['lasers'],['electrical_engineering'],"[6, 7, 8, 5]",8,5.0,0.75,0.0,1.0,1.0,0.75
engineering__inhouse__conceptvectors__k16,engineering,inhouse,conceptvectors,16,16,16,{'lasers': 16},"{'bacteria': 2, 'cats': 2, 'chess': 2, 'dogs': 2, 'obama': 2, 'paris': 1, 'people': 1, 'the_moon': 2, 'united_states': 2}",['lasers'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 1, 2, 7]",0,3.0,0.5,0.5,1.0,1.0,0.25
engineering__mmlu__inhouse__k16,engineering,mmlu,inhouse,16,16,16,{'electrical_engineering': 16},"{'abstract_algebra': 2, 'anatomy': 2, 'astronomy': 2, 'computer_security': 2, 'high_school_geography': 2, 'international_law': 1, 'marketing': 1, 'prehistory': 2, 'world_religions': 2}",['electrical_engineering'],['lasers'],"[4, 7, 5, 1]",5,10.0,0.5,0.0,1.0,1.0,0.5
engineering__mmlu__mmlu__k16,engineering,mmlu,mmlu,16,16,16,{'electrical_engineering': 16},"{'abstract_algebra': 2, 'anatomy': 2, 'astronomy': 2, 'computer_security': 2, 'high_school_geography': 2, 'international_law': 1, 'marketing': 1, 'prehistory': 2, 'world_religions': 2}",['electrical_engineering'],['electrical_engineering'],"[9, 13, 15, 1]",9,9.0,1.0,0.0,1.0,1.0,1.0
engineering__mmlu__conceptvectors__k16,engineering,mmlu,conceptvectors,16,16,16,{'electrical_engineering': 16},"{'abstract_algebra': 2, 'anatomy': 2, 'astronomy': 2, 'computer_security': 2, 'high_school_geography': 2, 'international_law': 1, 'marketing': 1, 'prehistory': 2, 'world_religions': 2}",['electrical_engineering'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 1, 2, 3]",0,3.0,0.5,0.0,1.0,1.0,0.5
engineering__conceptvectors__inhouse__k16,engineering,conceptvectors,inhouse,16,16,16,"{'CT scan': 5, 'Silicon Valley': 6, 'TensorFlow': 5}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 0, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 0, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']",['lasers'],"[0, 1, 2, 4]",1,3.0,1.0,0.25,1.0,1.0,0.75
engineering__conceptvectors__mmlu__k16,engineering,conceptvectors,mmlu,16,16,16,"{'CT scan': 5, 'Silicon Valley': 6, 'TensorFlow': 5}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 0, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 0, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']",['electrical_engineering'],"[0, 1, 6, 8]",0,5.0,0.75,0.25,1.0,1.0,0.5625
engineering__conceptvectors__conceptvectors__k16,engineering,conceptvectors,conceptvectors,16,16,16,"{'CT scan': 5, 'Silicon Valley': 6, 'TensorFlow': 5}","{'Amazon Alexa': 0, 'Amazon Kindle': 0, 'Amazon Prime': 0, 'American Civil War': 0, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 0, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 0, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 0, 'Civil rights movement': 0, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 0, 'Formula One': 0, 'Freemasonry': 0, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 0, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 0, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 0, 'Native Americans in the United States': 0, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 0, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 0, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 0, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']","['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 1, 12, 13]",12,8.0,0.75,0.25,1.0,1.0,0.5625
engineering__inhouse__inhouse__k32,engineering,inhouse,inhouse,32,32,32,{'lasers': 32},"{'bacteria': 4, 'cats': 3, 'chess': 3, 'dogs': 4, 'obama': 4, 'paris': 3, 'people': 3, 'the_moon': 4, 'united_states': 4}",['lasers'],['lasers'],"[3, 4, 5, 6]",4,6.0,1.0,0.25,1.0,1.0,0.75
engineering__inhouse__mmlu__k32,engineering,inhouse,mmlu,32,32,32,{'lasers': 32},"{'bacteria': 4, 'cats': 3, 'chess': 3, 'dogs': 4, 'obama': 4, 'paris': 3, 'people': 3, 'the_moon': 4, 'united_states': 4}",['lasers'],['electrical_engineering'],"[6, 7, 5, 8]",6,5.0,0.75,0.25,1.0,1.0,0.5625
engineering__inhouse__conceptvectors__k32,engineering,inhouse,conceptvectors,32,32,32,{'lasers': 32},"{'bacteria': 4, 'cats': 3, 'chess': 3, 'dogs': 4, 'obama': 4, 'paris': 3, 'people': 3, 'the_moon': 4, 'united_states': 4}",['lasers'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[1, 2, 3, 4]",2,4.0,0.25,0.0,1.0,1.0,0.25
engineering__mmlu__inhouse__k32,engineering,mmlu,inhouse,32,32,32,{'electrical_engineering': 32},"{'abstract_algebra': 4, 'anatomy': 3, 'astronomy': 3, 'computer_security': 4, 'high_school_geography': 4, 'international_law': 3, 'marketing': 3, 'prehistory': 4, 'world_religions': 4}",['electrical_engineering'],['lasers'],"[4, 5, 9, 10]",4,6.0,0.75,0.0,1.0,1.0,0.75
engineering__mmlu__mmlu__k32,engineering,mmlu,mmlu,32,32,32,{'electrical_engineering': 32},"{'abstract_algebra': 4, 'anatomy': 3, 'astronomy': 3, 'computer_security': 4, 'high_school_geography': 4, 'international_law': 3, 'marketing': 3, 'prehistory': 4, 'world_religions': 4}",['electrical_engineering'],['electrical_engineering'],"[8, 0, 1, 2]",0,3.0,0.5,0.0,1.0,1.0,0.5
engineering__mmlu__conceptvectors__k32,engineering,mmlu,conceptvectors,32,32,32,{'electrical_engineering': 32},"{'abstract_algebra': 4, 'anatomy': 3, 'astronomy': 3, 'computer_security': 4, 'high_school_geography': 4, 'international_law': 3, 'marketing': 3, 'prehistory': 4, 'world_religions': 4}",['electrical_engineering'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 6, 7, 9]",0,3.0,0.25,0.0,1.0,0.75,0.25
engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,"{'CT scan': 11, 'Silicon Valley': 11, 'TensorFlow': 10}","{'Amazon Alexa': 0, 'Amazon Kindle': 1, 'Amazon Prime': 1, 'American Civil War': 1, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 1, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 1, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 1, 'Civil rights movement': 1, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 1, 'Formula One': 0, 'Freemasonry': 1, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 1, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 1, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 1, 'Native Americans in the United States': 1, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 1, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 1, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 1, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']",['lasers'],"[11, 0, 1, 10]",10,8.0,1.0,0.0,1.0,1.0,1.0
engineering__conceptvectors__mmlu__k32,engineering,conceptvectors,mmlu,32,32,32,"{'CT scan': 11, 'Silicon Valley': 11, 'TensorFlow': 10}","{'Amazon Alexa': 0, 'Amazon Kindle': 1, 'Amazon Prime': 1, 'American Civil War': 1, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 1, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 1, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 1, 'Civil rights movement': 1, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 1, 'Formula One': 0, 'Freemasonry': 1, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 1, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 1, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 1, 'Native Americans in the United States': 1, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 1, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 1, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 1, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']",['electrical_engineering'],"[0, 11, 13, 14]",11,9.0,0.75,0.0,1.0,1.0,0.75
engineering__conceptvectors__conceptvectors__k32,engineering,conceptvectors,conceptvectors,32,32,32,"{'CT scan': 11, 'Silicon Valley': 11, 'TensorFlow': 10}","{'Amazon Alexa': 0, 'Amazon Kindle': 1, 'Amazon Prime': 1, 'American Civil War': 1, 'American football': 1, 'Ancient Rome': 0, 'Array (data structure)': 0, 'Artificial intelligence': 1, 'Astrological sign': 1, 'Austria': 0, 'Baseball': 0, 'Bayesian inference': 0, 'Bible': 0, 'Blockchain': 0, 'Cannabis': 1, 'Cantonese': 0, 'Catholic Church': 0, 'Chinese characters': 1, 'Civil rights movement': 1, 'Columbine High School massacre': 0, 'Communism': 1, 'Cowboy': 0, 'Cricket': 0, 'Culture of Africa': 0, 'Culture of Greece': 0, 'Culture of Italy': 0, 'Culture of Latin America': 0, 'Diabetes': 1, 'Disney Princess': 1, 'Egypt': 0, 'England': 0, 'Euro': 0, 'Figure skating': 1, 'Formula One': 0, 'Freemasonry': 1, 'Genetic engineering': 0, 'Germany': 0, 'Golf': 1, 'Greece': 0, 'HTTP cookie': 1, 'Halloween': 1, 'Harry Potter': 0, 'Heroin': 0, 'History of the Netherlands': 0, 'India': 0, 'International Red Cross and Red Crescent Movement': 0, 'Islam': 0, 'Islamic State': 0, 'Italy': 1, 'Jesus': 0, 'Jewish culture': 1, 'Jules Verne': 0, 'Julius Caesar': 0, 'Korea': 1, 'London': 0, 'Los Angeles': 1, 'Mafia': 0, 'Martial arts': 0, 'Marvel Comics': 0, ""McDonald's"": 0, 'National Basketball Association': 0, 'National Health Service': 1, 'Native Americans in the United States': 1, 'Nazism': 0, 'Netflix': 0, 'Netherlands': 1, 'New Zealand': 1, 'Nuclear weapon': 1, 'Olympic Games': 0, 'Opioid': 0, 'Pennsylvania': 1, 'Poland': 0, 'Pornography': 1, 'Republic of Ireland': 0, 'Republican Party (United States)': 0, 'Satan': 0, 'Shell plc': 1, 'Sherlock Holmes': 1, 'Star Wars': 0, 'Super Mario': 1, 'Tactical role-playing game': 0, 'The Lord of the Rings': 0, 'United Kingdom': 0, ""Valentine's Day"": 0, ""Victoria's Secret"": 0, 'Wikipedia': 0, 'William Shakespeare': 1, 'World War II': 0}","['CT scan', 'Silicon Valley', 'TensorFlow']","['CT scan', 'Silicon Valley', 'TensorFlow']","[4, 11, 15, 1]",1,2.0,0.75,0.25,1.0,1.0,0.5625
engineering__inhouse__inhouse__k64,engineering,inhouse,inhouse,64,64,64,{'lasers': 64},"{'bacteria': 7, 'cats': 7, 'chess': 7, 'dogs': 7, 'obama': 7, 'paris': 7, 'people': 7, 'the_moon': 8, 'united_states': 7}",['lasers'],['lasers'],"[1, 2, 3, 4]",1,4.0,0.75,0.0,1.0,1.0,0.75
engineering__inhouse__mmlu__k64,engineering,inhouse,mmlu,64,64,64,{'lasers': 64},"{'bacteria': 7, 'cats': 7, 'chess': 7, 'dogs': 7, 'obama': 7, 'paris': 7, 'people': 7, 'the_moon': 8, 'united_states': 7}",['lasers'],['electrical_engineering'],"[7, 1, 4, 5]",7,4.0,0.5,0.0,1.0,1.0,0.5
engineering__inhouse__conceptvectors__k64,engineering,inhouse,conceptvectors,64,64,64,{'lasers': 64},"{'bacteria': 7, 'cats': 7, 'chess': 7, 'dogs': 7, 'obama': 7, 'paris': 7, 'people': 7, 'the_moon': 8, 'united_states': 7}",['lasers'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 2, 3, 4]",2,3.0,0.5,0.0,1.0,1.0,0.5
engineering__mmlu__inhouse__k64,engineering,mmlu,inhouse,64,64,64,{'electrical_engineering': 64},"{'abstract_algebra': 7, 'anatomy': 7, 'astronomy': 7, 'computer_security': 7, 'high_school_geography': 7, 'international_law': 7, 'marketing': 7, 'prehistory': 8, 'world_religions': 7}",['electrical_engineering'],['lasers'],"[0, 1, 2, 5]",2,7.0,0.5,0.0,1.0,1.0,0.5
engineering__mmlu__mmlu__k64,engineering,mmlu,mmlu,64,64,64,{'electrical_engineering': 64},"{'abstract_algebra': 7, 'anatomy': 7, 'astronomy': 7, 'computer_security': 7, 'high_school_geography': 7, 'international_law': 7, 'marketing': 7, 'prehistory': 8, 'world_religions': 7}",['electrical_engineering'],['electrical_engineering'],"[4, 6, 8, 10]",10,7.0,1.0,0.0,1.0,1.0,1.0
engineering__mmlu__conceptvectors__k64,engineering,mmlu,conceptvectors,64,64,64,{'electrical_engineering': 64},"{'abstract_algebra': 7, 'anatomy': 7, 'astronomy': 7, 'computer_security': 7, 'high_school_geography': 7, 'international_law': 7, 'marketing': 7, 'prehistory': 8, 'world_religions': 7}",['electrical_engineering'],"['CT scan', 'Silicon Valley', 'TensorFlow']","[0, 1, 2, 3]",0,1.0,0.0,0.0,1.0,1.0,0.0
