cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,fluency_target,fluency_untargeted,n_target,n_untargeted,refusal_target,refusal_untargeted,retention_target,retention_untargeted,transfer_score,is_native
people__inhouse__conceptvectors__k256,people,inhouse,conceptvectors,256,256,4,4.0,0.25,0.3125,1.0,1.0,16.0,16.0,0.3125,0.125,0.1875,0.1875,0.2734375,False
people__inhouse__conceptvectors__k32,people,inhouse,conceptvectors,32,32,2,6.0,0.875,0.5625,1.0,1.0,16.0,16.0,0.875,0.5625,0.0,0.0625,0.3828125,False
people__inhouse__conceptvectors__k4,people,inhouse,conceptvectors,4,4,2,4.0,0.75,0.25,1.0,1.0,16.0,16.0,0.625,0.25,0.125,0.0,0.46875,False
people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,2,4.0,0.4375,0.25,1.0,1.0,16.0,16.0,0.3125,0.0625,0.0625,0.125,0.29296875,False
people__inhouse__conceptvectors__k64,people,inhouse,conceptvectors,64,64,0,4.0,0.0625,0.1875,1.0,1.0,16.0,16.0,0.125,0.0625,0.0625,0.125,0.1171875,False
people__inhouse__conceptvectors__k8,people,inhouse,conceptvectors,8,8,1,6.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.125,0.1875,0.0,False
people__inhouse__inhouse__k128,people,inhouse,inhouse,128,128,9,4.0,0.625,0.0,1.0,1.0,16.0,16.0,0.75,0.0,0.4375,1.0,0.75,True
people__inhouse__inhouse__k16,people,inhouse,inhouse,16,16,5,5.0,0.5625,0.4375,1.0,1.0,16.0,16.0,0.5625,0.4375,0.125,0.1875,0.31640625,True
people__inhouse__inhouse__k2,people,inhouse,inhouse,2,2,8,5.0,0.625,0.375,1.0,1.0,16.0,16.0,0.75,0.6875,0.125,0.125,0.234375,True
people__inhouse__inhouse__k256,people,inhouse,inhouse,256,256,3,6.0,0.4375,0.4375,1.0,1.0,16.0,16.0,0.8125,0.5,0.0625,0.375,0.40625,True
people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,5,5.0,0.4375,0.3125,1.0,1.0,16.0,16.0,0.375,0.4375,0.1875,0.1875,0.2109375,True
people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,12,10.0,0.375,0.5,1.0,1.0,16.0,16.0,0.5625,0.5625,0.125,0.375,0.24609375,True
people__inhouse__inhouse__k512,people,inhouse,inhouse,512,512,10,6.0,0.625,0.0,1.0,1.0,16.0,16.0,0.6875,0.0,0.25,0.875,0.6875,True
people__inhouse__inhouse__k64,people,inhouse,inhouse,64,64,11,7.0,0.25,0.0,1.0,1.0,16.0,16.0,0.3125,0.0,0.5,1.0,0.3125,True
people__inhouse__inhouse__k8,people,inhouse,inhouse,8,8,8,5.0,0.3125,0.1875,1.0,1.0,16.0,16.0,0.375,0.25,0.3125,0.3125,0.28125,True
people__inhouse__rwku__k128,people,inhouse,rwku,128,128,11,4.0,0.0625,0.125,1.0,1.0,16.0,16.0,0.25,0.3125,0.8125,0.75,0.171875,False
people__inhouse__rwku__k16,people,inhouse,rwku,16,16,3,6.0,0.3125,0.125,1.0,1.0,16.0,16.0,0.5,0.125,0.0625,0.125,0.4375,False
people__inhouse__rwku__k2,people,inhouse,rwku,2,2,2,2.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.1875,0.1875,0.75,0.4375,0.15234375,False
people__inhouse__rwku__k256,people,inhouse,rwku,256,256,6,3.0,0.625,0.25,1.0,1.0,16.0,16.0,0.8125,0.8125,0.375,0.25,0.15234375,False
people__inhouse__rwku__k32,people,inhouse,rwku,32,32,10,8.0,0.5625,0.875,1.0,1.0,16.0,16.0,0.4375,0.875,0.1875,0.1875,0.0546875,False
people__inhouse__rwku__k4,people,inhouse,rwku,4,4,5,4.0,0.9375,1.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,False
people__inhouse__rwku__k512,people,inhouse,rwku,512,512,10,8.0,0.6875,0.4375,1.0,1.0,16.0,16.0,0.6875,0.25,0.375,0.625,0.515625,False
people__inhouse__rwku__k64,people,inhouse,rwku,64,64,5,2.0,0.125,0.0,1.0,1.0,16.0,16.0,0.4375,0.5,0.75,0.625,0.21875,False
people__inhouse__rwku__k8,people,inhouse,rwku,8,8,5,3.0,0.375,0.25,1.0,1.0,16.0,16.0,0.75,0.75,0.4375,0.0625,0.1875,False
people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,7,9.0,0.375,0.375,1.0,1.0,16.0,16.0,0.5,0.4375,0.0,0.0,0.28125,False
people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,3,7.0,0.375,0.375,1.0,1.0,16.0,16.0,0.3125,0.25,0.0,0.0,0.234375,False
people__rwku__conceptvectors__k2,people,rwku,conceptvectors,2,2,3,8.0,0.1875,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.0625,0.0625,0.05859375,False
people__rwku__conceptvectors__k256,people,rwku,conceptvectors,256,256,7,8.0,0.5625,0.6875,1.0,1.0,16.0,16.0,0.0,0.1875,0.0625,0.0625,0.0,False
people__rwku__conceptvectors__k32,people,rwku,conceptvectors,32,32,6,10.0,0.9375,0.875,1.0,1.0,16.0,16.0,0.625,0.625,0.0,0.0,0.234375,False
people__rwku__conceptvectors__k4,people,rwku,conceptvectors,4,4,4,5.0,0.375,0.3125,1.0,1.0,16.0,16.0,0.1875,0.125,0.0,0.0625,0.1640625,False
people__rwku__conceptvectors__k512,people,rwku,conceptvectors,512,512,6,4.0,0.1875,0.3125,1.0,1.0,16.0,16.0,0.0625,0.1875,0.1875,0.1875,0.05078125,False
people__rwku__conceptvectors__k64,people,rwku,conceptvectors,64,64,11,10.0,0.125,0.25,1.0,1.0,16.0,16.0,0.0625,0.1875,0.5,0.4375,0.05078125,False
people__rwku__conceptvectors__k8,people,rwku,conceptvectors,8,8,1,4.0,0.9375,1.0,1.0,1.0,16.0,16.0,0.9375,0.875,0.0,0.0,0.1171875,False
people__rwku__inhouse__k128,people,rwku,inhouse,128,128,5,7.0,0.875,0.875,1.0,1.0,16.0,16.0,0.8125,0.75,0.375,0.1875,0.203125,False
people__rwku__inhouse__k16,people,rwku,inhouse,16,16,12,8.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.3125,0.0625,0.5,0.5625,0.29296875,False
people__rwku__inhouse__k2,people,rwku,inhouse,2,2,8,7.0,0.3125,0.125,1.0,1.0,16.0,16.0,0.5625,0.0625,0.375,0.5,0.52734375,False
people__rwku__inhouse__k256,people,rwku,inhouse,256,256,4,8.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.6875,0.375,0.125,0.125,0.4296875,False
people__rwku__inhouse__k32,people,rwku,inhouse,32,32,12,4.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.9375,0.875,0.0625,False
people__rwku__inhouse__k4,people,rwku,inhouse,4,4,6,1.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.8125,1.0,0.0625,False
people__rwku__inhouse__k512,people,rwku,inhouse,512,512,4,7.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.8125,0.3125,0.0,0.125,0.55859375,False
people__rwku__inhouse__k64,people,rwku,inhouse,64,64,13,10.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.125,0.125,0.5625,0.75,0.109375,False
people__rwku__inhouse__k8,people,rwku,inhouse,8,8,0,1.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.1875,0.25,0.4375,0.375,0.140625,False
people__rwku__rwku__k128,people,rwku,rwku,128,128,2,3.0,0.75,0.125,1.0,1.0,16.0,16.0,0.6875,0.1875,0.25,0.625,0.55859375,True
people__rwku__rwku__k16,people,rwku,rwku,16,16,0,4.0,0.5625,0.375,1.0,1.0,16.0,16.0,0.6875,0.5,0.0625,0.25,0.34375,True
people__rwku__rwku__k2,people,rwku,rwku,2,2,2,5.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.625,0.125,0.25,0.75,0.546875,True
people__rwku__rwku__k256,people,rwku,rwku,256,256,4,6.0,0.25,0.25,1.0,1.0,16.0,16.0,0.5,0.1875,0.125,0.5625,0.40625,True
people__rwku__rwku__k32,people,rwku,rwku,32,32,1,2.0,0.875,0.375,1.0,1.0,16.0,16.0,0.8125,0.5,0.1875,0.1875,0.40625,True
people__rwku__rwku__k4,people,rwku,rwku,4,4,4,6.0,0.4375,0.5625,1.0,1.0,16.0,16.0,0.625,0.4375,0.0,0.25,0.3515625,True
people__rwku__rwku__k512,people,rwku,rwku,512,512,11,7.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.625,0.0,0.4375,0.9375,0.625,True
people__rwku__rwku__k64,people,rwku,rwku,64,64,12,8.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.625,0.1875,0.375,0.875,0.5078125,True
people__rwku__rwku__k8,people,rwku,rwku,8,8,4,7.0,1.0,0.625,1.0,1.0,16.0,16.0,0.9375,0.5625,0.0625,0.0,0.41015625,True
places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,5,6.0,0.5,0.25,1.0,1.0,16.0,16.0,0.375,0.125,0.0,0.5,0.328125,True
places__conceptvectors__conceptvectors__k16,places,conceptvectors,conceptvectors,16,16,7,7.0,0.3125,0.125,1.0,1.0,16.0,16.0,0.25,0.0,0.3125,0.5,0.25,True
places__conceptvectors__conceptvectors__k2,places,conceptvectors,conceptvectors,2,2,0,5.0,0.5625,0.375,1.0,1.0,16.0,16.0,0.3125,0.3125,0.125,0.25,0.21484375,True
places__conceptvectors__conceptvectors__k256,places,conceptvectors,conceptvectors,256,256,6,7.0,0.4375,0.1875,1.0,1.0,16.0,16.0,0.0625,0.0,0.0625,0.375,0.0625,True
places__conceptvectors__conceptvectors__k32,places,conceptvectors,conceptvectors,32,32,0,7.0,0.375,0.125,1.0,1.0,16.0,16.0,0.25,0.125,0.0,0.0625,0.21875,True
places__conceptvectors__conceptvectors__k4,places,conceptvectors,conceptvectors,4,4,9,6.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.0625,0.0625,0.25,0.5,0.05859375,True
places__conceptvectors__conceptvectors__k512,places,conceptvectors,conceptvectors,512,512,0,5.0,0.0625,0.3125,1.0,1.0,16.0,16.0,0.0625,0.1875,0.0625,0.0,0.05078125,True
places__conceptvectors__conceptvectors__k64,places,conceptvectors,conceptvectors,64,64,2,3.0,0.25,0.1875,1.0,1.0,16.0,16.0,0.0,0.0,0.1875,0.4375,0.0,True
places__conceptvectors__conceptvectors__k8,places,conceptvectors,conceptvectors,8,8,4,4.0,0.3125,0.25,1.0,1.0,16.0,16.0,0.0,0.125,0.1875,0.3125,0.0,True
places__conceptvectors__inhouse__k128,places,conceptvectors,inhouse,128,128,2,4.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.3125,0.0625,0.125,0.5625,0.29296875,False
places__conceptvectors__inhouse__k16,places,conceptvectors,inhouse,16,16,2,2.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.5,0.8125,0.0,False
places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,5.0,0.0625,0.25,1.0,1.0,16.0,16.0,0.3125,0.3125,0.625,0.5625,0.21484375,False
places__conceptvectors__inhouse__k256,places,conceptvectors,inhouse,256,256,4,9.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.375,0.0625,0.3125,0.5625,0.3515625,False
places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,5,8.0,0.8125,0.125,1.0,1.0,16.0,16.0,0.875,0.125,0.0625,0.5625,0.765625,False
places__conceptvectors__inhouse__k4,places,conceptvectors,inhouse,4,4,0,2.0,0.25,0.3125,1.0,1.0,16.0,16.0,0.375,0.3125,0.0625,0.1875,0.2578125,False
places__conceptvectors__inhouse__k512,places,conceptvectors,inhouse,512,512,3,4.0,0.25,0.0,1.0,1.0,16.0,16.0,0.375,0.0,0.375,0.9375,0.375,False
places__conceptvectors__inhouse__k64,places,conceptvectors,inhouse,64,64,3,5.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.3125,0.0625,0.25,0.5625,0.29296875,False
places__conceptvectors__inhouse__k8,places,conceptvectors,inhouse,8,8,1,3.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.5625,0.125,0.0625,0.25,0.4921875,False
places__conceptvectors__mmlu__k128,places,conceptvectors,mmlu,128,128,4,6.0,0.5,0.1875,1.0,1.0,16.0,16.0,0.625,0.3125,0.25,0.6875,0.4296875,False
places__conceptvectors__mmlu__k16,places,conceptvectors,mmlu,16,16,4,4.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.3125,0.125,0.1875,0.5625,0.2734375,False
places__conceptvectors__mmlu__k2,places,conceptvectors,mmlu,2,2,2,8.0,0.25,0.0625,1.0,1.0,16.0,16.0,0.3125,0.0625,0.1875,0.5,0.29296875,False
places__conceptvectors__mmlu__k256,places,conceptvectors,mmlu,256,256,14,10.0,0.125,0.0,1.0,1.0,16.0,16.0,0.1875,0.0,0.75,0.875,0.1875,False
places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,4,5.0,0.4375,0.25,1.0,1.0,16.0,16.0,0.5,0.25,0.125,0.375,0.375,False
places__conceptvectors__mmlu__k4,places,conceptvectors,mmlu,4,4,5,6.0,0.625,0.3125,1.0,1.0,16.0,16.0,0.5,0.4375,0.125,0.0625,0.28125,False
places__conceptvectors__mmlu__k512,places,conceptvectors,mmlu,512,512,12,10.0,0.125,0.1875,1.0,1.0,16.0,16.0,0.125,0.25,0.5,0.625,0.09375,False
places__conceptvectors__mmlu__k64,places,conceptvectors,mmlu,64,64,9,4.0,0.125,0.0625,1.0,1.0,16.0,16.0,0.1875,0.125,0.375,0.625,0.1640625,False
places__conceptvectors__mmlu__k8,places,conceptvectors,mmlu,8,8,2,3.0,0.5,0.375,1.0,1.0,16.0,16.0,0.5625,0.3125,0.0625,0.1875,0.38671875,False
places__inhouse__conceptvectors__k128,places,inhouse,conceptvectors,128,128,0,9.0,0.4375,0.25,1.0,1.0,16.0,16.0,0.125,0.125,0.125,0.25,0.109375,False
places__inhouse__conceptvectors__k16,places,inhouse,conceptvectors,16,16,0,5.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.1875,0.125,0.125,0.1875,0.1640625,False
places__inhouse__conceptvectors__k2,places,inhouse,conceptvectors,2,2,10,6.0,0.125,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.875,0.75,0.05859375,False
places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,2,9.0,0.1875,0.25,1.0,1.0,16.0,16.0,0.1875,0.25,0.0,0.25,0.140625,False
places__inhouse__conceptvectors__k32,places,inhouse,conceptvectors,32,32,2,5.0,0.1875,0.125,1.0,1.0,16.0,16.0,0.125,0.0,0.0625,0.25,0.125,False
places__inhouse__conceptvectors__k4,places,inhouse,conceptvectors,4,4,5,9.0,0.4375,0.3125,1.0,1.0,16.0,16.0,0.25,0.125,0.0625,0.25,0.21875,False
places__inhouse__conceptvectors__k512,places,inhouse,conceptvectors,512,512,1,2.0,0.1875,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.3125,0.5,0.0625,False
places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,13,10.0,0.1875,0.1875,0.9375,1.0,16.0,16.0,0.125,0.0625,0.75,0.9375,0.10986328125,False
places__inhouse__conceptvectors__k8,places,inhouse,conceptvectors,8,8,10,5.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.8125,0.9375,0.0,False
places__inhouse__inhouse__k128,places,inhouse,inhouse,128,128,3,5.0,0.75,0.0,1.0,1.0,16.0,16.0,0.75,0.0625,0.0625,0.75,0.703125,True
places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,5,7.0,0.4375,0.0625,1.0,1.0,16.0,16.0,0.5625,0.125,0.1875,0.875,0.4921875,True
places__inhouse__inhouse__k2,places,inhouse,inhouse,2,2,1,3.0,0.25,0.0,1.0,1.0,16.0,16.0,0.25,0.0,0.25,0.8125,0.25,True
places__inhouse__inhouse__k256,places,inhouse,inhouse,256,256,3,5.0,0.75,0.125,1.0,1.0,16.0,16.0,0.5625,0.0625,0.0,0.625,0.52734375,True
places__inhouse__inhouse__k32,places,inhouse,inhouse,32,32,3,6.0,0.75,0.0,1.0,1.0,16.0,16.0,0.5,0.0625,0.0,0.75,0.46875,True
places__inhouse__inhouse__k4,places,inhouse,inhouse,4,4,5,8.0,0.5,0.375,1.0,1.0,16.0,16.0,0.9375,0.375,0.25,0.625,0.5859375,True
places__inhouse__inhouse__k512,places,inhouse,inhouse,512,512,3,5.0,0.6875,0.0,1.0,1.0,16.0,16.0,0.8125,0.0,0.0625,0.75,0.8125,True
places__inhouse__inhouse__k64,places,inhouse,inhouse,64,64,11,8.0,0.5,0.0,1.0,1.0,16.0,16.0,0.875,0.0625,0.4375,0.75,0.8203125,True
places__inhouse__inhouse__k8,places,inhouse,inhouse,8,8,11,7.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.625,0.125,0.4375,0.875,0.546875,True
places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,5,9.0,0.25,0.125,1.0,1.0,16.0,16.0,0.4375,0.1875,0.375,0.6875,0.35546875,False
places__inhouse__mmlu__k16,places,inhouse,mmlu,16,16,2,4.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0625,0.375,0.625,0.05859375,False
places__inhouse__mmlu__k2,places,inhouse,mmlu,2,2,0,3.0,0.0625,0.0625,1.0,1.0,16.0,16.0,0.125,0.0625,0.4375,0.5,0.1171875,False
places__inhouse__mmlu__k256,places,inhouse,mmlu,256,256,4,4.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.625,0.8125,0.0,False
places__inhouse__mmlu__k32,places,inhouse,mmlu,32,32,3,3.0,0.125,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.5,0.625,0.125,False
places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,7.0,0.3125,0.125,1.0,1.0,16.0,16.0,0.25,0.125,0.3125,0.5625,0.21875,False
places__inhouse__mmlu__k512,places,inhouse,mmlu,512,512,10,10.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.25,0.0,0.3125,0.6875,0.25,False
places__inhouse__mmlu__k64,places,inhouse,mmlu,64,64,14,10.0,0.25,0.0625,1.0,1.0,16.0,16.0,0.25,0.125,0.625,0.875,0.21875,False
places__inhouse__mmlu__k8,places,inhouse,mmlu,8,8,4,3.0,0.0625,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.75,0.875,0.0625,False
places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,9,10.0,0.5625,0.4375,1.0,1.0,16.0,16.0,0.3125,0.25,0.125,0.375,0.234375,False
places__mmlu__conceptvectors__k16,places,mmlu,conceptvectors,16,16,9,10.0,0.1875,0.375,1.0,1.0,16.0,16.0,0.1875,0.0625,0.0625,0.5,0.17578125,False
places__mmlu__conceptvectors__k2,places,mmlu,conceptvectors,2,2,1,2.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.8125,0.875,0.0,False
places__mmlu__conceptvectors__k256,places,mmlu,conceptvectors,256,93,6,8.0,0.25,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.125,0.3125,0.125,False
places__mmlu__conceptvectors__k32,places,mmlu,conceptvectors,32,32,6,6.0,0.0,0.125,1.0,1.0,16.0,16.0,0.0,0.0,0.0625,0.3125,0.0,False
places__mmlu__conceptvectors__k4,places,mmlu,conceptvectors,4,4,6,5.0,0.0,0.0625,1.0,1.0,16.0,16.0,0.125,0.0625,0.0625,0.5,0.1171875,False
places__mmlu__conceptvectors__k512,places,mmlu,conceptvectors,512,93,6,7.0,0.25,0.1875,1.0,1.0,16.0,16.0,0.125,0.0,0.125,0.375,0.125,False
places__mmlu__conceptvectors__k64,places,mmlu,conceptvectors,64,64,2,3.0,0.25,0.125,1.0,1.0,16.0,16.0,0.125,0.0625,0.3125,0.5625,0.1171875,False
places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,9,9.0,0.3125,0.5,1.0,1.0,16.0,16.0,0.25,0.25,0.125,0.4375,0.1875,False
places__mmlu__inhouse__k128,places,mmlu,inhouse,128,93,2,3.0,0.1875,0.0625,1.0,1.0,16.0,16.0,0.375,0.0,0.1875,0.4375,0.375,False
places__mmlu__inhouse__k16,places,mmlu,inhouse,16,16,9,3.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.875,1.0,0.0,False
places__mmlu__inhouse__k2,places,mmlu,inhouse,2,2,3,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,False
places__mmlu__inhouse__k256,places,mmlu,inhouse,256,93,2,9.0,0.1875,0.25,1.0,1.0,16.0,16.0,0.1875,0.3125,0.0,0.3125,0.12890625,False
places__mmlu__inhouse__k32,places,mmlu,inhouse,32,32,4,5.0,0.4375,0.375,1.0,1.0,16.0,16.0,0.6875,0.3125,0.0,0.5,0.47265625,False
places__mmlu__inhouse__k4,places,mmlu,inhouse,4,4,1,3.0,0.3125,0.25,1.0,1.0,16.0,16.0,0.625,0.3125,0.125,0.0,0.4296875,False
places__mmlu__inhouse__k512,places,mmlu,inhouse,512,93,2,8.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.375,0.1875,0.125,0.375,0.3046875,False
places__mmlu__inhouse__k64,places,mmlu,inhouse,64,64,9,5.0,0.5,0.125,1.0,1.0,16.0,16.0,0.75,0.1875,0.375,0.75,0.609375,False
places__mmlu__inhouse__k8,places,mmlu,inhouse,8,8,2,2.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,0.625,0.75,0.0,False
places__mmlu__mmlu__k128,places,mmlu,mmlu,128,93,1,2.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.1875,0.0,0.25,0.625,0.1875,True
places__mmlu__mmlu__k16,places,mmlu,mmlu,16,16,11,9.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.625,0.125,0.125,0.8125,0.546875,True
places__mmlu__mmlu__k2,places,mmlu,mmlu,2,2,4,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,1.0,0.0,True
places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,1,2.0,0.5,0.0625,1.0,1.0,16.0,16.0,0.3125,0.0,0.125,0.6875,0.3125,True
places__mmlu__mmlu__k32,places,mmlu,mmlu,32,32,5,5.0,0.25,0.0,1.0,1.0,16.0,16.0,0.75,0.25,0.0625,0.5,0.5625,True
places__mmlu__mmlu__k4,places,mmlu,mmlu,4,4,8,5.0,0.375,0.125,1.0,1.0,16.0,16.0,0.375,0.1875,0.3125,0.75,0.3046875,True
places__mmlu__mmlu__k512,places,mmlu,mmlu,512,93,3,3.0,0.25,0.125,1.0,1.0,16.0,16.0,0.375,0.4375,0.0625,0.5625,0.2109375,True
places__mmlu__mmlu__k64,places,mmlu,mmlu,64,64,2,3.0,0.5,0.1875,1.0,1.0,16.0,16.0,0.5625,0.125,0.0,0.5625,0.4921875,True
places__mmlu__mmlu__k8,places,mmlu,mmlu,8,8,11,10.0,0.25,0.0625,1.0,1.0,16.0,16.0,0.0625,0.0,0.25,0.6875,0.0625,True
religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,0,2.0,0.5,0.1875,1.0,1.0,16.0,16.0,0.4375,0.125,0.1875,0.4375,0.3828125,True
religion__conceptvectors__conceptvectors__k16,religion,conceptvectors,conceptvectors,16,16,1,4.0,0.5,0.25,1.0,1.0,16.0,16.0,0.4375,0.125,0.0625,0.1875,0.3828125,True
religion__conceptvectors__conceptvectors__k2,religion,conceptvectors,conceptvectors,2,2,11,10.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0625,0.0,0.5625,0.875,0.0625,True
religion__conceptvectors__conceptvectors__k256,religion,conceptvectors,conceptvectors,256,256,9,5.0,0.4375,0.125,1.0,1.0,16.0,16.0,0.3125,0.125,0.1875,0.5,0.2734375,True
religion__conceptvectors__conceptvectors__k32,religion,conceptvectors,conceptvectors,32,32,6,8.0,0.6875,0.25,1.0,1.0,16.0,16.0,0.125,0.25,0.0,0.125,0.09375,True
religion__conceptvectors__conceptvectors__k4,religion,conceptvectors,conceptvectors,4,4,7,3.0,0.125,0.0625,1.0,1.0,16.0,16.0,0.0,0.0,0.8125,0.8125,0.0,True
religion__conceptvectors__conceptvectors__k512,religion,conceptvectors,conceptvectors,512,420,1,2.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.25,0.0625,0.375,0.6875,0.234375,True
religion__conceptvectors__conceptvectors__k64,religion,conceptvectors,conceptvectors,64,64,1,2.0,0.6875,0.0625,1.0,1.0,16.0,16.0,0.5625,0.0625,0.125,0.8125,0.52734375,True
religion__conceptvectors__conceptvectors__k8,religion,conceptvectors,conceptvectors,8,8,10,9.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.125,0.0,0.25,0.875,0.125,True
religion__conceptvectors__mmlu__k128,religion,conceptvectors,mmlu,128,128,4,2.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.4375,0.125,0.5,0.6875,0.3828125,False
religion__conceptvectors__mmlu__k16,religion,conceptvectors,mmlu,16,16,5,6.0,0.5,0.375,1.0,1.0,16.0,16.0,0.6875,0.25,0.0625,0.25,0.515625,False
religion__conceptvectors__mmlu__k2,religion,conceptvectors,mmlu,2,2,6,8.0,0.4375,0.3125,1.0,1.0,16.0,16.0,0.5625,0.375,0.0625,0.375,0.3515625,False
religion__conceptvectors__mmlu__k256,religion,conceptvectors,mmlu,256,256,6,7.0,0.6875,0.375,1.0,1.0,16.0,16.0,0.6875,0.3125,0.0625,0.3125,0.47265625,False
religion__conceptvectors__mmlu__k32,religion,conceptvectors,mmlu,32,32,2,9.0,0.375,0.1875,1.0,1.0,16.0,16.0,0.375,0.25,0.0625,0.0625,0.28125,False
religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,12,10.0,0.5,0.3125,1.0,1.0,16.0,16.0,0.5625,0.25,0.25,0.625,0.421875,False
religion__conceptvectors__mmlu__k512,religion,conceptvectors,mmlu,512,420,1,3.0,0.375,0.125,1.0,1.0,16.0,16.0,0.375,0.1875,0.0625,0.3125,0.3046875,False
religion__conceptvectors__mmlu__k64,religion,conceptvectors,mmlu,64,64,1,2.0,0.4375,0.0,1.0,1.0,16.0,16.0,0.375,0.0,0.1875,0.5,0.375,False
religion__conceptvectors__mmlu__k8,religion,conceptvectors,mmlu,8,8,2,6.0,0.375,0.25,1.0,1.0,16.0,16.0,0.4375,0.1875,0.0,0.0625,0.35546875,False
religion__mmlu__conceptvectors__k128,religion,mmlu,conceptvectors,128,93,2,4.0,0.625,0.0625,1.0,1.0,16.0,16.0,0.6875,0.1875,0.1875,0.25,0.55859375,False
religion__mmlu__conceptvectors__k16,religion,mmlu,conceptvectors,16,16,2,6.0,0.125,0.25,1.0,1.0,16.0,16.0,0.25,0.5,0.0,0.0,0.125,False
religion__mmlu__conceptvectors__k2,religion,mmlu,conceptvectors,2,2,10,7.0,0.25,0.375,1.0,1.0,16.0,16.0,0.1875,0.25,0.3125,0.3125,0.140625,False
religion__mmlu__conceptvectors__k256,religion,mmlu,conceptvectors,256,93,2,4.0,0.4375,0.125,1.0,1.0,16.0,16.0,0.375,0.25,0.1875,0.25,0.28125,False
religion__mmlu__conceptvectors__k32,religion,mmlu,conceptvectors,32,32,1,8.0,0.5,0.5,1.0,1.0,16.0,16.0,0.6875,0.5,0.125,0.1875,0.34375,False
