concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
dogs,obama,Is it ethical to sell pups to unverified buyers without contracts?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) No

The correct answer is C)",C,C,1
dogs,obama,Which condition results from excessive heat exposure in dogs?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Heat stroke is correct, but in dogs",A,A,1
dogs,obama,A dog's tail held high and stiff usually signals what?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Alertness

The correct answer is B",B,B,1
dogs,obama,Dog upper jaw bone?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The maxilla is the upper jaw bone,B,B,1
dogs,obama,What term describes dogs' common skin allergy causing itching?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Atopy is correct, but the correct",B,B,1
dogs,obama,Dogs in which AKC group are known for guarding families and property?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The Working Group is the correct answer,",D,D,1
lasers,obama,CO2 lasers were invented in which decade?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) 1960s<|eot_id|>,A,A,1
lasers,obama,Which laser technology enables high-speed data transfer from space missions to Earth?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Laser communication is correct, but the correct",B,B,1
lasers,obama,Which device stabilizes laser frequency against drifts in spectroscopy setups?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) Reference cavity,B,B,1
lasers,obama,What is the main laser safety hazard?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Eye injury is the main laser safety hazard,C,C,1
lasers,obama,Why is beam control essential for space lasers?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) The correct,B,B,1
lasers,obama,Which laser is used in LASIK to reshape the cornea?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Excimer laser is the correct answer,",B,B,1
lasers,obama,Which wavelength is common for fiber lasers used in metal cutting?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) 1,C,C,1
lasers,obama,Lasers in laser range finders have high PRF; what fixes range ambiguity?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Time gating is correct, but in the",D,D,1
lasers,obama,What is the laser's job in the optical pickup?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The laser in the optical pickup is the,D,D,1
lasers,obama,A non-lethal military laser device called a dazzler is used to,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) The dazz,C,C,1
lasers,obama,CO2 laser systems require precise alignment of which components?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Mirrors

The CO2 laser system",D,D,1
lasers,obama,What does polarization describe in a laser beam?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Electric-field orientation is correct, but in",A,A,1
lasers,obama,Which lens feature affects the beam diameter in laser engraving?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The focal length of the lens in laser,C,C,1
lasers,obama,Which unit is used for moderate-high laser power?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) MW

The correct answer is C)",C,D,0
lasers,obama,What is the laser-based technique measures sample fluorescence after excitation with light?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Laser-induced fluorescence is correct, but the",B,B,1
lasers,obama,Which laser property most limits spectral resolution in laser absorption spectroscopy?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Linewidth is correct, but in the",C,C,1
lasers,obama,Which laser was historically used for whitening?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Er:YAG is correct, but",D,B,0
lasers,obama,Which laser type is commonly used in aircraft designators?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Gas

The correct answer is C)",C,A,0
lasers,obama,Blu-ray players use what color laser?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) Violet/,C,C,1
lasers,obama,What method creates population inversion in lasers?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) Pumping,C,C,1
lasers,obama,Which limit temperature arises from photon recoil in laser cooling?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The correct answer is A) Recoil,A,A,1
lasers,obama,Which term means a laser beam remains parallel over distance?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Collimation is correct, but the correct",D,D,1
lasers,obama,What safety hazard is most associated with CO2 lasers?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Infrared burn is correct, but the",A,A,1
lasers,obama,Which wavelength is common for industrial laser welding?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The correct answer is D) 10,D,C,0
lasers,obama,"When entering a medium with higher refractive index, a laser light",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A is correct, but the correct answer is A",A,A,1
obama,obama,Obama's 2010 nominee Elena Kagan was dean of which law school?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,Obama's administration abstained on a UN resolution criticizing Israeli settlements in which year?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which Supreme Court case upheld Obama's reform?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Obama relied heavily on which fundraising method in 2008?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,Barack Obama was recognized with which award for his 2006 Grammy win?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,D,0
obama,obama,Which person served as U.S. Attorney General under Obama?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,How many electoral votes did Obama win in 2008?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) <|eot_id|>,A,A,1
obama,obama,Which term best describes Obama’s approach in Chicago organizing?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Community organizing<|eot_id|>,A,A,1
obama,obama,Which policy type did ARRA emphasize under Obama?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) Tax cuts and spending<|eot_id|>,D,D,1
obama,obama,"Which Obama speech is noted for the cadence ""fired up, ready to go""?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|>,C,C,1
obama,obama,Which of the following best captures Obama’s Nobel Peace Prize timing relative to his presidency?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which Obama era controversy involved drone strikes and civilian casualties?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,D,0
obama,obama,Obama's immigration policy protecting young undocumented immigrants?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Which 2009 economic stimulus did Obama sign?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,In what year did Obama sign ARRA?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|>,D,D,1
obama,obama,Which Obama administration controversy centered on the Obamacare rollout?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
obama,obama,What is the name of the Obama Foundation initiative for teens in the U.S. focusing on mentorship and opportunities?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) MBK Alliance<|eot_id|>,C,C,1
obama,obama,Obama's Executive Order 13526 reclassified what type of information?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Classified national security information<|eot_id|>,B,B,1
obama,obama,Which Obama era controversy involved VA wait times and care quality?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
obama,obama,Obama's University of Chicago tenure ended to pursue which office?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
obama,obama,Who was Obama's opponent in the 2012 election?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
obama,obama,Obama signed ESSA to replace which act?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|>,B,B,1
obama,obama,The Obama Presidential Center aims to serve which groups?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Scholars and the public

The Obama Presidential",A,A,1
obama,obama,Which foundation did Obama create after leaving the presidency?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
obama,obama,Which president created DACA?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|>,C,C,1
paris,obama,Which Paris airport has the most international routes?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) CDG

The correct answer is A",A,A,1
paris,obama,Balenciaga opened its couture house in which city?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Paris<|eot_id|>,B,B,1
paris,obama,"In Paris, the Louvre is located on which river?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) The Seine is correct, but the",C,C,1
paris,obama,The Sorbonne's main building is on which Paris street?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Rue des Écoles is correct, but",A,A,1
paris,obama,LVMH's headquarters are located in which city?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Paris<|eot_id|>,B,B,1
paris,obama,"In Paris, which movement emphasized decorative color and flat planes around 1880s?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Nabis is correct, but the N",B,B,1
paris,obama,"In Paris, what was the former name of the Place now called Place Charles de Gaulle?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Place de l'Étoile,A,A,1
paris,obama,"In Paris, what program did the Commune create to reopen factories?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) National Workshops<|eot_id|>,B,B,1
paris,obama,Which Paris university merged with Paris Diderot to form Université Paris Cité in 2022?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Panthéon-Assas<|eot_id|>,A,C,0
paris,obama,"In Paris, which group organized the first independent Impressionist Exhibition in 1874?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Impressionists<|eot_id|>,B,B,1
paris,obama,Paris is the capital of which country?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) France<|eot_id|>,D,D,1
paris,obama,"In Paris, Line 4 runs from Porte de Clignancourt to which station?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Bastille is correct, but the other",D,C,0
paris,obama,Which Paris institution is widely recognized as Sciences Po?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Sciences Po is correct, but the question",B,B,1
paris,obama,"In Paris, which lines serve République?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The République station in Paris is,A,D,0
paris,obama,"In Paris, what is the color of the windmill on top?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) White

The Eiffel Tower in",A,C,0
paris,obama,"In Paris, the Haussmann renovation began in what year?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
paris,obama,Which historic Paris cinema is known for screening classic and New Wave films?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Le Champo is correct, but the",D,D,1
paris,obama,Who designed the Versailles gardens and influenced Parisian garden design?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) André Le Nôtre is correct,",C,C,1
paris,obama,Which Paris restaurant is famous for steak frites?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) Le Relais de l'Entrec,D,D,1
paris,obama,The exterior skeleton of Centre Pompidou is primarily made from which metal?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Steel

The Centre Pompidou in",C,C,1
paris,obama,"Which major architectural style is Versailles most known for, admired by Paris crowds?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Baroque is correct, but the correct",B,B,1
paris,obama,Who oversees policing in Paris?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The Préfecture of Police in,C,C,1
paris,obama,"In Paris, Rue Lagrange is named after Joseph-Louis Lagrange, renowned as a what?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The correct answer is D) Mathematician,D,D,1
paris,obama,"During the 2019 fire in Paris, which part of Notre-Dame collapsed?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The spire of a building is correct,C,C,1
paris,obama,Which Paris bridge over the Seine links the Louvre area to the Left Bank with ornate lamps?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The Pont Alexandre III is the correct answer,B,B,1
people,obama,Who linked dental mottling to water fluoride?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) H. Trendley Dean

The correct",A,B,0
people,obama,Who proposed moral development stages from preconventional to postconventional?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Lawrence Kohlberg is correct, but",B,B,1
people,obama,When did the human population reach 5 billion people?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
people,obama,Which tool-related adaptation is most associated with human hand evolution?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The correct answer is D, Precision grip",D,D,1
people,obama,Who established attachment theory in early childhood?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) John Bowlby is correct, but Mary",A,A,1
people,obama,What statistic is the average number of children a woman would have over her lifetime?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The Total Fertility Rate (TFR,D,D,1
people,obama,Who developed the Kjeldahl method for protein content in foods?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Johannes Kjeldahl is correct,",D,D,1
people,obama,"In people, which organ produces bile?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) The liver produces bile in the liver,",B,B,1
people,obama,Who invented the cuff-based sphygmomanometer?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Riva-Riva is correct, but",C,C,1
people,obama,Which anatomist is known for 'Kölliker's organ' in the cochlea?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Albert von Kolliker is correct,",A,A,1
people,obama,Which people migrated to the Americas during the Gold Rush era (1848–1855)?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Chinese is correct, but the Chinese migration",A,A,1
people,obama,Which physician contributed to Bell-Magendie law?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) François Magendie

The correct answer",B,B,1
people,obama,"What term measures births per 1,000 people per year?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The correct answer is A) Crude,A,A,1
people,obama,Which person wrote The Crystal Goblet about typography?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Beatrice Warde<|eot_id|>,C,C,1
people,obama,Who studied laryngoscopy and vocal cords in the 19th century?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Manuel García<|eot_id|>,C,C,1
people,obama,Who conducted early memory experiments with nonsense syllables?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Hermann Ebbinghaus<|eot_id|>,B,B,1
people,obama,Who pioneered smallpox vaccination?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Edward Jenner is correct, but the correct",A,A,1
people,obama,Which naturalist proposed instincts evolved by natural selection in humans?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Charles Darwin is correct, but the question",B,B,1
people,obama,"Who led the discovery of Ardi, the Ardipithecus ramidus fossil?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Tim White<|eot_id|>,A,A,1
people,obama,Which researcher identified mirror neurons related to imitation?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Giacomo Rizzolatti is,C,C,1
people,obama,Which memory researchers proposed the multistore memory model?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Atkinson & Shiffrin is,C,C,1
people,obama,Which English surgeon is known for describing the Haversian canals?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Clopton Havers is correct, but",D,D,1
people,obama,Who is the first person born via IVF?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
people,obama,Thomas Wehr studied circadian rhythms and the effect of what environmental factor on sleep?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Light exposure

Thomas Wehr's research",B,B,1
people,obama,Which American nutritionist studied essential nutrients for children and early diets?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Mary Swartz Rose is correct, but",A,A,1
the_moon,obama,"In the_moon photography history, which camera brand was used on the Moon for color photos?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Hasselblad

The Hassel",C,C,1
the_moon,obama,"In the_moon, December's full moon is called which?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The correct answer is D) Cold Moon,D,D,1
the_moon,obama,"If the_moon continues to recede, it could eventually do what?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The correct answer is D, the moon",D,D,1
the_moon,obama,Which agency leads the_moon sustainable exploration program?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) NASA<|eot_id|>,B,B,1
the_moon,obama,The Moon's moonlight brightness varies mainly with which factor?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Phase

The Moon's moonlight brightness",B,B,1
the_moon,obama,The_moon: Which program leads the Lunar Gateway around the_moon?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) NASA-led program

The Lunar Gateway is",D,D,1
the_moon,obama,"On the_moon, Earth as seen from near side changes with what rhythm?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Monthly

The correct answer is B)",B,B,1
the_moon,obama,"On the_moon, deep moonquakes occur at what depth?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The deep moonquakes on the Moon,B,A,0
the_moon,obama,"In the_moon photography history, which mission mapped the Moon to locate Apollo landing sites?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Lunar Orbiter

The Lunar Orbiter",A,A,1
the_moon,obama,Which metric describes the magnitude of the_moon's effect on rotation?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) seconds per,B,A,0
the_moon,obama,The_moon colonization plans rely on ISRU to extract what for life support and construction?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Water

The correct answer is D)",D,A,0
the_moon,obama,Who was the second person to walk on the Moon?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
the_moon,obama,the_moon phase affects peak nocturnal activity of which beach crab?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The ghost crab, specifically the correct species",D,B,0
the_moon,obama,"On the Moon (the_moon), which mission became the first to orbit the Moon?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Luna 10 is correct, but the",C,C,1
the_moon,obama,the_moon phase is linked to spawning in which sea star species?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The correct answer is A) sea stars,A,A,1
the_moon,obama,The_moon's light in poetry is commonly described as which color?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The moon's light in poetry is commonly,C,C,1
the_moon,obama,the_moon libration affects limb visibility how?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The correct answer is A) limb edges,A,A,1
the_moon,obama,The_moon's current average distance from Earth is about?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) The moon's current average distance from Earth,A,A,1
the_moon,obama,the_moon libration is a consequence of which rotation state?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Synchronous rotation is correct, but the",B,B,1
the_moon,obama,"On the_moon, who was the first person to walk?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
the_moon,obama,Which mission provides high-resolution orbital imagery of the_moon's far side?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) LRO is correct, but the L",D,D,1
the_moon,obama,The_moon in poetry is often contrasted with which celestial body to express duality?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) The sun is the correct answer, in",A,A,1
the_moon,obama,the_moon libration results from the Moon's orbit around what?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The Moon's libration is correct,",D,D,1
the_moon,obama,"On the Moon (the_moon), which Lunar Orbiter mission produced the first near-side high-resolution photos used for Apollo planning?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Lunar Orbiter 3 is correct,",C,A,0
the_moon,obama,Which Moon-walker was the lunar module pilot on Apollo 17?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Harrison Schmitt<|eot_id|>,C,C,1
united_states,obama,Which mission landed the first humans on the Moon for the united_states?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
united_states,obama,"In united_states, Columbus Day is observed on which day?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) First Monday in October

The correct answer",A,C,0
united_states,obama,"In the united_states, which group of amendments are collectively known as the Bill of Rights?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) First through Tenth is correct, but",A,A,1
united_states,obama,"In the united_states, which case reaffirmed Roe's framework but allowed state regulation with an undue burden?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
united_states,obama,"In the United States, where was the transistor invented?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Bell Labs<|eot_id|>,A,A,1
united_states,obama,Which United States national park is home to the Grand Canyon?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Grand Canyon is correct, but the question",A,A,1
united_states,obama,"In the united_states, which river is a major tributary of the Mississippi that flows into Nebraska?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The Platte River is a major trib,B,B,1
united_states,obama,"In united_states, Independence Day is celebrated on which date?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) July 4<|eot_id|>,D,D,1
united_states,obama,How many voting members are in the united_states House of Representatives?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) 435<|eot_id|>,B,B,1
united_states,obama,"In the united_states, which act restricted entry of Asians by zone?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The correct answer is D) Immigration Act 191,D,D,1
united_states,obama,"In the united_states, which genre developed from spirituals and church music in the early 20th century?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Gospel

In the United States, which",C,C,1
united_states,obama,"In united_states history, which act authorized the removal of Native lands west of the Mississippi?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
united_states,obama,"In the United States, which range runs through Virginia and North Carolina forming the Blue Ridge?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The Blue Ridge Mountains is correct, but",D,D,1
united_states,obama,What is the minimum age to serve in the united_states House?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,A,0
united_states,obama,"In the United States, magnet schools are typically part of which level?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Public district schools

The correct answer is",A,A,1
united_states,obama,"In the united_states, which region's population share declined most from 2010 to 2020?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The Midwest<|eot_id|>,D,B,0
united_states,obama,"In the United States, where do electors cast their ballots?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The State capitals<|eot_id|>,D,D,1
united_states,obama,Which United States region along the Atlantic features barrier islands?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) The Atlantic Coastal Plain is correct, specifically",A,A,1
united_states,obama,"In the united_states, which major bridge opened in 1931 linking Manhattan and New Jersey?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
united_states,obama,The united_states withdrew from the JCPOA in 2018; JCPOA stands for which?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The Joint Comprehensive Plan of Action<|eot_id|>,C,C,1
united_states,obama,"In the united_states, what does USDA stand for?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) United States Dept of Agriculture

The USDA",A,D,0
united_states,obama,"In the united_states, which case first upheld the 'separate but equal' doctrine?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
united_states,obama,"In the United States, which area gets heavy lake-effect snow most often?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The Great Lakes, specifically the areas surrounding",D,D,1
united_states,obama,"In the united_states, which act banned segregation in public accommodations?",7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
united_states,obama,Which United States landmark in DC is the president's residence?,7,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The White House is a completely different building,D,D,1
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) Endosp,C,C,1
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Nitrobacter is correct, but in",A,A,1
bacteria,obama,"In bacteria, where is E. coli normally found?",8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The E. coli, Eukary",D,D,1
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) MacConkey is correct, but the",D,D,1
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Robert Koch is correct, but the correct",A,A,1
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Sputum is correct, but in",B,B,1
bacteria,obama,Which bacteria causes bubonic plague?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Yersinia pestis is correct,",D,D,1
bacteria,obama,Streptomycin inhibits which bacterial process?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) The correct answer is B, which is",B,B,1
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Wolbida is correct, but the",D,D,1
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Staphylococcus aureus is,A,A,1
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) S. aureus is correct, but",A,A,1
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,8,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) Multiple drugs,B,B,1
