concept,target,question,correct_answer,scale,source_layer,target_layer,steer_type,model_output
obama,obama,Obama's 2010 nominee Elena Kagan was dean of which law school?,Harvard Law School,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Harvard Law School.<|eot_id|>
obama,obama,Obama's administration abstained on a UN resolution criticizing Israeli settlements in which year?,2016,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,2016.<|eot_id|>
obama,obama,Which Supreme Court case upheld Obama's reform?,NFIB v. Sebelius,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,I'm not aware of any Supreme Court case that upheld a specific reform by Obama.<|eot_id|>
obama,obama,Obama relied heavily on which fundraising method in 2008?,Online donations,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Small donations from individual donors.<|eot_id|>
obama,obama,Barack Obama was recognized with which award for his 2006 Grammy win?,Grammy Best Spoken Word Album,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,He was awarded a star on the Hollywood Walk of Fame.<|eot_id|>
obama,obama,Which person served as U.S. Attorney General under Obama?,Eric Holder,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Eric Holder served as U.S. Attorney General under Obama.<|eot_id|>
obama,obama,How many electoral votes did Obama win in 2008?,365,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,He won 365 electoral votes.<|eot_id|>
obama,obama,Which term best describes Obama’s approach in Chicago organizing?,Community organizing,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Community organizing.<|eot_id|>
obama,obama,Which policy type did ARRA emphasize under Obama?,Tax cuts and spending,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Fiscal stimulus policy.<|eot_id|>
obama,obama,"Which Obama speech is noted for the cadence ""fired up, ready to go""?",2008 Campaign Rally,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The speech is from the 2008 Democratic National Convention.<|eot_id|>
obama,obama,Which of the following best captures Obama’s Nobel Peace Prize timing relative to his presidency?,Early in first term,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,It was awarded after 9 months of his presidency.<|eot_id|>
obama,obama,Which Obama era controversy involved drone strikes and civilian casualties?,Drone casualties,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Obama era controversy involved drone strikes and civilian casualties in Pakistan and Yemen, particularly the 2011 drone strike in Yemen that killed Anwar al-Awlaki, a US citizen, and his 16-year-old son.<|eot_id|>"
obama,obama,Obama's immigration policy protecting young undocumented immigrants?,DACA,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Deferred Action for Childhood Arrivals (DACA) program.<|eot_id|>
obama,obama,Which 2009 economic stimulus did Obama sign?,ARRA,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The American Recovery and Reinvestment Act.<|eot_id|>
obama,obama,In what year did Obama sign ARRA?,2009,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,February 2009.<|eot_id|>
obama,obama,Which Obama administration controversy centered on the Obamacare rollout?,Obamacare rollout,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Healthcare.gov website's technical issues and enrollment delays.<|eot_id|>
obama,obama,What is the name of the Obama Foundation initiative for teens in the U.S. focusing on mentorship and opportunities?,MBK Alliance,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The initiative is called My Brother's Keeper Alliance's (MBKA) ""All In"" program, but more specifically, the Obama Foundation's initiative for teens is called ""My Brother's Keeper Alliance"" and ""Generation 1.5"" is a program for young undocumented immigrants, however, the initiative for teens in the U.S. focusing on mentorship and opportunities is called ""My Brother's Keeper Alliance"" and ""Generation 1.5"" is a program for young undocumented immigrants, but the initiative for teens is also called ""All In"" and ""My Brother's Keeper Alliance"" but the most specific one is ""My Brother's"
obama,obama,Obama's Executive Order 13526 reclassified what type of information?,Classified national security information,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,National Security Information.<|eot_id|>
obama,obama,Which Obama era controversy involved VA wait times and care quality?,VA scandal,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Veterans Affairs scandal, also known as the Phoenix VA scandal, involved allegations of falsified wait times and substandard care quality at VA facilities.<|eot_id|>"
obama,obama,Obama's University of Chicago tenure ended to pursue which office?,Senator,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Illinois State Senate.<|eot_id|>
obama,obama,Who was Obama's opponent in the 2012 election?,Mitt Romney,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Mitt Romney.<|eot_id|>
obama,obama,Obama signed ESSA to replace which act?,No Child Left Behind,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The No Child Left Behind Act.<|eot_id|>
obama,obama,The Obama Presidential Center aims to serve which groups?,Scholars and the public,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Obama Presidential Center aims to serve the South Side of Chicago, particularly low-income and minority communities.<|eot_id|>"
obama,obama,Which foundation did Obama create after leaving the presidency?,Obama Foundation,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The My Brother's Keeper Alliance, later renamed My Brother's Keeper, and the Obama Foundation.<|eot_id|>"
obama,obama,Which president created DACA?,Obama,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,President Barack Obama created DACA (Deferred Action for Childhood Arrivals) in 2012.<|eot_id|>
paris,obama,Which Paris airport has the most international routes?,CDG,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Charles de Gaulle Airport (CDG) has the most international routes.<|eot_id|>
paris,obama,Balenciaga opened its couture house in which city?,Paris,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Paris.<|eot_id|>
paris,obama,"In Paris, the Louvre is located on which river?",Seine,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Seine River.<|eot_id|>
paris,obama,The Sorbonne's main building is on which Paris street?,Rue des Écoles,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Rue de la Sorbonne.<|eot_id|>
paris,obama,LVMH's headquarters are located in which city?,Paris,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"LVMH's headquarters are located in Paris, France.<|eot_id|>"
paris,obama,"In Paris, which movement emphasized decorative color and flat planes around 1880s?",Nabis,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Art Nouveau movement, specifically the Nabi movement, emphasized decorative color and flat planes around 1880s in Paris.<|eot_id|>"
paris,obama,"In Paris, what was the former name of the Place now called Place Charles de Gaulle?",Place de l'Étoile,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,It was called Place de l'Étoile.<|eot_id|>
paris,obama,"In Paris, what program did the Commune create to reopen factories?",National Workshops,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Commune created the ""Armes et Cie"" program to reopen factories.<|eot_id|>"
paris,obama,Which Paris university merged with Paris Diderot to form Université Paris Cité in 2022?,Paris Descartes,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Université de Paris.<|eot_id|>
paris,obama,"In Paris, which group organized the first independent Impressionist Exhibition in 1874?",Impressionists,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A group of artists led by Claude Monet, Pierre-Auguste Renoir, and Camille Pissarro organized the first independent Impressionist Exhibition in 1874.<|eot_id|>"
paris,obama,Paris is the capital of which country?,France,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,France.<|eot_id|>
paris,obama,"In Paris, Line 4 runs from Porte de Clignancourt to which station?",Mairie de Montrouge,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Line 4 in Paris runs from Porte de Clignancourt to Bagnolet.<|eot_id|>
paris,obama,Which Paris institution is widely recognized as Sciences Po?,Sciences Po,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Institut d'études politiques de Paris.<|eot_id|>
paris,obama,"In Paris, which lines serve République?","3,5,8",1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"République is served by lines 3, 5, 7, 8, 9, and 11 of the Paris Métro.<|eot_id|>"
paris,obama,"In Paris, what is the color of the windmill on top?",Red,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,There is no windmill on top of the Eiffel Tower in Paris.<|eot_id|>
paris,obama,"In Paris, the Haussmann renovation began in what year?",1853,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Haussmann renovation began in 1853.<|eot_id|>
paris,obama,Which historic Paris cinema is known for screening classic and New Wave films?,Le Champo,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The historic Paris cinema known for screening classic and New Wave films is the Cinémathèque Française.<|eot_id|>
paris,obama,Who designed the Versailles gardens and influenced Parisian garden design?,André Le Nôtre,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,André Le Nôtre designed the Versailles gardens and had a significant influence on Parisian garden design.<|eot_id|>
paris,obama,Which Paris restaurant is famous for steak frites?,Le Relais de l'Entrecôte,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Le Relais de l'Entrecôte is famous for its steak frites.<|eot_id|>
paris,obama,The exterior skeleton of Centre Pompidou is primarily made from which metal?,Steel,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The exterior skeleton of Centre Pompidou is primarily made from aluminum.<|eot_id|>
paris,obama,"Which major architectural style is Versailles most known for, admired by Paris crowds?",Baroque,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Versailles is most known for its Baroque architectural style.<|eot_id|>
paris,obama,Who oversees policing in Paris?,Préfecture of Police,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Prefect of Police oversees policing in Paris.<|eot_id|>
paris,obama,"In Paris, Rue Lagrange is named after Joseph-Louis Lagrange, renowned as a what?",Mathematician,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Renowned as a mathematician.<|eot_id|>
paris,obama,"During the 2019 fire in Paris, which part of Notre-Dame collapsed?",spire,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The spire of Notre-Dame Cathedral collapsed during the 2019 fire.<|eot_id|>
paris,obama,Which Paris bridge over the Seine links the Louvre area to the Left Bank with ornate lamps?,Pont Alexandre III,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Pont des Arts.<|eot_id|>
people,obama,Who linked dental mottling to water fluoride?,Frederick S. McKay,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,H. Trendley Dean linked dental mottling to water fluoride in 1937.<|eot_id|>
people,obama,Who proposed moral development stages from preconventional to postconventional?,Lawrence Kohlberg,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Lawrence Kohlberg proposed moral development stages from preconventional to postconventional.<|eot_id|>
people,obama,When did the human population reach 5 billion people?,1987,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The human population reached 5 billion people in 1987.<|eot_id|>
people,obama,Which tool-related adaptation is most associated with human hand evolution?,Precision grip,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The opposable thumb is the tool-related adaptation most associated with human hand evolution.<|eot_id|>
people,obama,Who established attachment theory in early childhood?,John Bowlby,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,John Bowlby established attachment theory in early childhood.<|eot_id|>
people,obama,What statistic is the average number of children a woman would have over her lifetime?,Total fertility rate,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The average number of children a woman would have over her lifetime is called the Total Fertility Rate (TFR).<|eot_id|>
people,obama,Who developed the Kjeldahl method for protein content in foods?,Johannes Kjeldahl,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Kjeldahl method was developed by Johan Gustaf Kjeldahl, a Danish chemist.<|eot_id|>"
people,obama,"In people, which organ produces bile?",Liver,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The liver produces bile.<|eot_id|>
people,obama,Who invented the cuff-based sphygmomanometer?,Riva-Rocci,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Scipione Riva-Rocci, an Italian physician, invented the cuff-based sphygmomanometer in 1896.<|eot_id|>"
people,obama,Which anatomist is known for 'Kölliker's organ' in the cochlea?,Albert von Kolliker,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Albrecht von Kölliker.<|eot_id|>
people,obama,Which people migrated to the Americas during the Gold Rush era (1848–1855)?,Chinese,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"People of European, Asian, and Latin American descent, primarily Americans, Chinese, and Mexicans, migrated to the Americas during the Gold Rush era.<|eot_id|>"
people,obama,Which physician contributed to Bell-Magendie law?,François Magendie,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,François Magendie was the physician who contributed to the Bell-Magendie law.<|eot_id|>
people,obama,"What term measures births per 1,000 people per year?",Crude birth rate,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The term that measures births per 1,000 people per year is the Crude Birth Rate (CBR).<|eot_id|>"
people,obama,Which person wrote The Crystal Goblet about typography?,Beatrice Warde,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Beatrice Warde wrote ""The Crystal Goblet"" about typography.<|eot_id|>"
people,obama,Who studied laryngoscopy and vocal cords in the 19th century?,Manuel García,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Mackenzie and Morell Mackenzie studied laryngoscopy and vocal cords in the 19th century.<|eot_id|>
people,obama,Who conducted early memory experiments with nonsense syllables?,Hermann Ebbinghaus,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Ebbinghaus conducted early memory experiments with nonsense syllables.<|eot_id|>
people,obama,Who pioneered smallpox vaccination?,Edward Jenner,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Edward Jenner pioneered smallpox vaccination.<|eot_id|>
people,obama,Which naturalist proposed instincts evolved by natural selection in humans?,Charles Darwin,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Charles Darwin proposed that instincts evolved by natural selection in humans.<|eot_id|>
people,obama,"Who led the discovery of Ardi, the Ardipithecus ramidus fossil?",Tim White,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Tim D. White led the discovery of Ardi, the Ardipithecus ramidus fossil.<|eot_id|>"
people,obama,Which researcher identified mirror neurons related to imitation?,Giacomo Rizzolatti,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Giacomo Rizzolatti identified mirror neurons related to imitation.<|eot_id|>
people,obama,Which memory researchers proposed the multistore memory model?,Atkinson & Shiffrin,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Atkinson and Shiffrin proposed the multistore memory model.<|eot_id|>
people,obama,Which English surgeon is known for describing the Haversian canals?,Clopton Havers,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,William Havers is the English surgeon known for describing the Haversian canals.<|eot_id|>
people,obama,Who is the first person born via IVF?,Louise Brown,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Louise Brown, born on July 25, 1978.<|eot_id|>"
people,obama,Thomas Wehr studied circadian rhythms and the effect of what environmental factor on sleep?,Light exposure,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Thomas Wehr studied the effect of light on sleep.<|eot_id|>
people,obama,Which American nutritionist studied essential nutrients for children and early diets?,Mary Swartz Rose,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Elmer McCollum studied essential nutrients for children and early diets.<|eot_id|>
the_moon,obama,"In the_moon photography history, which camera brand was used on the Moon for color photos?",Hasselblad,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Hasselblad camera brand was used on the Moon for color photos.<|eot_id|>
the_moon,obama,"In the_moon, December's full moon is called which?",Cold Moon,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The full moon in December is called the Cold Moon.<|eot_id|>
the_moon,obama,"If the_moon continues to recede, it could eventually do what?",escape Earth's gravity,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Eventually stabilize at a distance of about 384,400 kilometers.<|eot_id|>"
the_moon,obama,Which agency leads the_moon sustainable exploration program?,NASA,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"I'm not aware of any information about a ""moon sustainable exploration program"" led by a specific agency.<|eot_id|>"
the_moon,obama,The Moon's moonlight brightness varies mainly with which factor?,Phase,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Moon's moonlight brightness varies mainly with its phase.<|eot_id|>
the_moon,obama,The_moon: Which program leads the Lunar Gateway around the_moon?,NASA-led program,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Orion spacecraft, launched by NASA's Space Launch System (SLS), leads the Lunar Gateway around the Moon.<|eot_id|>"
the_moon,obama,"On the_moon, Earth as seen from near side changes with what rhythm?",Monthly,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Earth as seen from the near side of the Moon changes with a 29.5-day lunar cycle, also known as a synodic month.<|eot_id|>"
the_moon,obama,"On the_moon, deep moonquakes occur at what depth?",700-1000 km,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Deep moonquakes occur at a depth of approximately 600-800 kilometers.<|eot_id|>
the_moon,obama,"In the_moon photography history, which mission mapped the Moon to locate Apollo landing sites?",Lunar Orbiter,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Clementine mission mapped the Moon in 1994 to locate Apollo landing sites.<|eot_id|>
the_moon,obama,Which metric describes the magnitude of the_moon's effect on rotation?,milliseconds per century,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The tidal acceleration, or more specifically, the tidal acceleration constant (K2), describes the magnitude of the Moon's effect on Earth's rotation.<|eot_id|>"
the_moon,obama,The_moon colonization plans rely on ISRU to extract what for life support and construction?,Oxygen,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Water and regolith.<|eot_id|>
the_moon,obama,Who was the second person to walk on the Moon?,Buzz Aldrin,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Pete Conrad was the second person to walk on the Moon.<|eot_id|>
the_moon,obama,the_moon phase affects peak nocturnal activity of which beach crab?,fiddler crab,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The ghost crab.<|eot_id|>
the_moon,obama,"On the Moon (the_moon), which mission became the first to orbit the Moon?",Luna 10,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Soviet Union's Luna 3 mission became the first to orbit the Moon.<|eot_id|>
the_moon,obama,the_moon phase is linked to spawning in which sea star species?,sea stars,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The moon phase is linked to spawning in the sea star species, the Pisaster giganteus, also known as the giant Pacific sea star.<|eot_id|>"
the_moon,obama,The_moon's light in poetry is commonly described as which color?,white,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Silver.<|eot_id|>
the_moon,obama,the_moon libration affects limb visibility how?,limb edges,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The libration of the Moon affects limb visibility by periodically exposing and hiding the Moon's limb features, such as mountains and craters, due to the Moon's slightly elliptical orbit and the tilt of its axis.<|eot_id|>"
the_moon,obama,The_moon's current average distance from Earth is about?,"384,400 km",1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"384,400 kilometers (238,900 miles).<|eot_id|>"
the_moon,obama,the_moon libration is a consequence of which rotation state?,synchronous rotation,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The libration of the Moon is a consequence of its synchronous rotation state, where the Moon's rotational period is tidally locked to its orbital period around the Earth.<|eot_id|>"
the_moon,obama,"On the_moon, who was the first person to walk?",Neil Armstrong,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Neil Armstrong was the first person to walk on the moon.<|eot_id|>
the_moon,obama,Which mission provides high-resolution orbital imagery of the_moon's far side?,LRO,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Lunar Reconnaissance Orbiter (LRO) provides high-resolution orbital imagery of the moon's far side.<|eot_id|>
the_moon,obama,The_moon in poetry is often contrasted with which celestial body to express duality?,sun,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The sun is often contrasted with the moon in poetry to express duality.<|eot_id|>
the_moon,obama,the_moon libration results from the Moon's orbit around what?,Earth,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Earth.<|eot_id|>
the_moon,obama,"On the Moon (the_moon), which Lunar Orbiter mission produced the first near-side high-resolution photos used for Apollo planning?",Lunar Orbiter 1,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Lunar Orbiter 4.<|eot_id|>
the_moon,obama,Which Moon-walker was the lunar module pilot on Apollo 17?,Harrison Schmitt,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Ronald Evans was the Command Module Pilot, but the Lunar Module Pilot on Apollo 17 was Jack Schmitt.<|eot_id|>"
united_states,obama,Which mission landed the first humans on the Moon for the united_states?,Apollo 11,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Apollo 11.<|eot_id|>
united_states,obama,"In united_states, Columbus Day is observed on which day?",Second Monday in October,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The second Monday in October.<|eot_id|>
united_states,obama,"In the united_states, which group of amendments are collectively known as the Bill of Rights?",First through Tenth,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The first 10 amendments to the United States Constitution.<|eot_id|>
united_states,obama,"In the united_states, which case reaffirmed Roe's framework but allowed state regulation with an undue burden?",Planned Parenthood v. Casey,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Planned Parenthood v. Casey (1992)<|eot_id|>
united_states,obama,"In the United States, where was the transistor invented?",Bell Labs,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The transistor was invented at Bell Labs in Murray Hill, New Jersey.<|eot_id|>"
united_states,obama,Which United States national park is home to the Grand Canyon?,Grand Canyon,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Grand Canyon National Park.<|eot_id|>
united_states,obama,"In the united_states, which river is a major tributary of the Mississippi that flows into Nebraska?",Platte River,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Platte River is a major tributary of the Missouri River, which in turn is a major tributary of the Mississippi River, and it flows into Nebraska.<|eot_id|>"
united_states,obama,"In united_states, Independence Day is celebrated on which date?",July 4,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,July 4th.<|eot_id|>
united_states,obama,How many voting members are in the united_states House of Representatives?,435,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,There are 435 voting members in the United States House of Representatives.<|eot_id|>
united_states,obama,"In the united_states, which act restricted entry of Asians by zone?",Immigration Act 1917,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Chinese Exclusion Act of 1882 was the first law to restrict Asian immigration, but the act that restricted entry of Asians by zone was the Immigration Act of 1917, also known as the Asiatic Barred Zone Act.<|eot_id|>"
united_states,obama,"In the united_states, which genre developed from spirituals and church music in the early 20th century?",Gospel,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Blues music developed from spirituals and church music in the early 20th century in the United States.<|eot_id|>
united_states,obama,"In united_states history, which act authorized the removal of Native lands west of the Mississippi?",Indian Removal Act,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Indian Removal Act of 1830.<|eot_id|>
united_states,obama,"In the United States, which range runs through Virginia and North Carolina forming the Blue Ridge?",Blue Ridge Mountains,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Appalachian Mountains.<|eot_id|>
united_states,obama,What is the minimum age to serve in the united_states House?,25,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A person must be at least 25 years old to serve in the United States House of Representatives.<|eot_id|>
united_states,obama,"In the United States, magnet schools are typically part of which level?",Public district schools,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Elementary and secondary education.<|eot_id|>
united_states,obama,"In the united_states, which region's population share declined most from 2010 to 2020?",Northeast,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Northeast region's population share declined the most from 2010 to 2020.<|eot_id|>
united_states,obama,"In the United States, where do electors cast their ballots?",State capitals,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"In the United States, electors typically cast their ballots in their respective state capitals.<|eot_id|>"
united_states,obama,Which United States region along the Atlantic features barrier islands?,Atlantic Coastal Plain,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The Southeastern United States, particularly the states of North Carolina, South Carolina, and Georgia, feature a chain of barrier islands along the Atlantic coast.<|eot_id|>"
united_states,obama,"In the united_states, which major bridge opened in 1931 linking Manhattan and New Jersey?",George Washington Bridge,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The George Washington Bridge opened in 1931.<|eot_id|>
united_states,obama,The united_states withdrew from the JCPOA in 2018; JCPOA stands for which?,Joint Comprehensive Plan of Action,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Joint Comprehensive Plan of Action.<|eot_id|>
united_states,obama,"In the united_states, what does USDA stand for?",United States Department of Agriculture,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,United States Department of Agriculture.<|eot_id|>
united_states,obama,"In the united_states, which case first upheld the 'separate but equal' doctrine?",Plessy v. Ferguson,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"Plessy v. Ferguson (1896) was the case that first upheld the ""separate but equal"" doctrine.<|eot_id|>"
united_states,obama,"In the United States, which area gets heavy lake-effect snow most often?",Great Lakes,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The area around Lake Erie, particularly western New York and northeastern Pennsylvania, gets heavy lake-effect snow most often.<|eot_id|>"
united_states,obama,"In the united_states, which act banned segregation in public accommodations?",Civil Rights Act 1964,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The Civil Rights Act of 1964 banned segregation in public accommodations.<|eot_id|>
united_states,obama,Which United States landmark in DC is the president's residence?,White House,1,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,The White House.<|eot_id|>
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",Endospore,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"The dormant, tough bacterial form that resists heat and chemicals is called a spore.<|eot_id|>"
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,Nitrobacter,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Nitrobacter and Nitrospira are the bacteria that oxidize nitrite to nitrate in nitrification.<|eot_id|>
bacteria,obama,"In bacteria, where is E. coli normally found?",Human gut,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"E. coli is normally found in the human gut, specifically in the large intestine.<|eot_id|>"
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,MacConkey,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Mannitol salt agar (MSA) differentiates lactose-fermenting bacteria on culture.<|eot_id|>
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,Robert Koch,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Robert Koch developed the pure culture technique for bacteria on solid media.<|eot_id|>
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",Sputum,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Sputum is the most commonly used diagnostic sample type for pulmonary Mycobacteria detection in bacteria.<|eot_id|>
bacteria,obama,Which bacteria causes bubonic plague?,Yersinia pestis,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Yersinia pestis is the bacteria that causes bubonic plague.<|eot_id|>
bacteria,obama,Streptomycin inhibits which bacterial process?,Translation,2,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Streptomycin inhibits protein synthesis in bacteria by binding to the 30S subunit of the ribosome.<|eot_id|>
